O00142 Q8N4B1
Q9P0W8 O00743
Q16613 Q6P2I3
Q9BSJ1 Q9BTA9
Q9BXW4 A0A075B6R2
A6NKU9 Q658P3
Q7Z6L0 Q5VWZ2
Q9H497 Q5CZ79
Q5T7W0 Q9BR46
P86790 Q9UJG1
Q96HB5 P11233
Q9H1M0 Q9NRD1
Q13326 P10451
Q9H668 Q8NAE3
Q96JW4 A8MZG2
Q86SH4 Q02218
Q8IVH2 Q7RTX9
Q8WWX8 Q5TYX0
A8K8V0 P47992
Q9H7H0 Q8N954
A6NM10 P60900
A6NL26 Q86U44
P06312 Q9NSP4
Q14781 O60870
Q8NGI4 A0A075B6S5
P34969 P35610
Q13158 Q9BQ08
Q9H6L2 Q8TBM8
Q9P258 Q8TDQ7
Q96LB9 Q6ZSA8
P30475 Q5W0B7
Q86X59 O75264
P19256 Q16656
Q8N9L7 Q8TF74
P04233 Q92918
P25100 P0CK97
P62955 Q8TDU5
O15350 P57771
P0DMP1 Q86XL3
Q9Y6F8 Q96C00
O75521 Q8N7H5
Q6IF42 Q5JX71
P57738 Q7Z465
A6NLC5 Q13072
A6NNL5 P78337
Q14585 Q86W10
P53365 Q13555
Q9BU61 Q9UBS8
P56470 P36383
Q8N7S2 Q7Z7A3
Q9HCQ7 P48645
Q9Y5Y4 Q6ZS92
O95081 O60906
Q9BSE4 Q9H3L0
Q9UJU2 Q96KS9
P24468 Q9BS40
Q6UXZ0 A8MQT2
Q9NRQ2 P22392
A4D0Y5 Q9H3L0
Q9NQX3 P08709
P58512 P20264
Q9UPY6 P35268
P21730 A6PVL3
Q96GX8 P37268
B6SEH8 A1L157
Q9BXS6 P38484
Q86TL0 P0DP58
Q9BSY4 Q86VP1
O95619 P27695
Q5VZ19 Q8N4V1
A6NDP7 Q9P2F5
Q86TN4 Q6XE38
Q53EZ4 P0DMS9
Q8TC94 P51795
Q9P1J3 Q9BWH2
Q86XW9 P50552
P18463 Q6ZNC4
Q96AG4 Q99747
Q8N988 Q8NEA5
P04181 P35222
Q9NYW5 Q8N7P3
Q86XS8 Q8IYJ3
Q6ZSY5 Q6P387
Q9NZ94 Q9P0N8
Q8WUW1 Q8N0X7
Q8NA31 Q9NRX5
P51168 Q16594
Q6IPU0 Q6UWN8
Q9H446 Q13421
Q8NBD8 Q96NG5
A8MU76 Q9NPR2
Q16769 Q9NP79
O60765 Q16778
Q9UM19 O15503
Q96IZ7 Q92888
Q8NH81 Q13087
Q13557 Q8NBK3
Q5H9J9 Q96LK8
Q14156 Q8N4L2
Q92561 A6NGH8
Q8NGR3 Q9BQY9
O15453 P08048
Q9P0W0 A6NJB7
Q00888 P26885
P55039 Q8WW27
Q9UBH0 Q8NGG1
Q8NH92 Q8NEA5
Q2M296 Q96CN4
Q02223 Q99619
Q9UGI0 P59541
Q2TAK8 Q6EBC2
P10072 Q96BZ8
Q9HA82 Q5T6X4
Q6TGC4 Q4VC39
P48426 Q8IWU4
Q9HB71 Q8N8Q9
Q9H490 A8MVU1
Q8IYK2 Q96IZ0
Q8NDF8 P14555
Q6PIY7 Q8NGC3
P00338 Q96HP8
P52564 Q8NF99
Q86V40 O43405
Q9BQ89 P14209
O75888 Q5T750
Q86XR2 Q9H6I2
Q96C23 P55073
P11387 P21695
Q6ZN04 P23280
Q9NQ30 Q6P050
P13994 Q13405
Q92932 Q14206
Q8NAA5 Q15853
Q9Y5J7 Q6QAJ8
O00178 P35557
Q8NGJ3 O14772
K7EIQ3 Q9H3M0
P49591 Q6RVD6
P30953 A6NK06
Q9UM19 Q1ED39
B1ANY3 Q9Y5F8
Q9UM11 Q96EL2
Q96CF2 Q8IU60
Q9P0J6 Q8NGG2
Q13158 Q6ZR54
P0DN77 Q9BYQ6
Q5VV41 P56880
Q9Y4P9 Q14435
P01892 Q5SQ13
Q14654 Q14209
Q8NGW1 Q9BXJ5
Q96GY3 Q01534
Q8N8P7 O43914
Q8IY63 Q13636
Q5TGY1 Q8N6K4
Q96MF2 Q9BVA0
P17252 P24557
Q5T9L3 Q9UJZ1
Q9Y2N7 P41236
A8MTQ0 O95049
Q693B1 Q8IW19
Q8NHP7 O94892
P30307 Q9NQS5
O43741 Q8N8J6
O43918 Q9P289
Q9P0V9 Q9H6R0
P62750 P08218
P47992 Q9NWV8
Q9GZW8 Q96Q83
P06881 Q9UDR5
Q0P651 Q8NH61
Q63HM1 Q9Y3C5
P28906 Q9BY11
Q14511 A6NDZ8
P29017 Q9NRR6
Q5TF39 O14508
A0A0C4DH25 P49736
Q9Y2P0 Q8N2U9
O76031 A0A075B6S4
Q8N6Y0 P56937
Q8NBI2 Q6IPU0
Q8N7H5 Q6IS14
Q9BQN1 L0R6Q1
Q96R05 Q9H2C0
Q9Y616 Q969M1
P34903 Q8IUH5
P25788 P07998
P05204 P78556
Q13401 Q7Z698
Q13285 Q495C1
Q4G0Z9 Q9BQC6
P56270 Q14390
P35250 Q9BZP3
Q8N4C0 P63241
P80303 A6NGS2
Q5TYM5 O95013
Q96RP8 Q9C004
Q8IVA1 Q9NP71
Q8TAL6 Q1L6U9
Q9GZY6 Q8NGQ4
Q5TA45 Q9BQA5
Q8TC29 Q5SV17
A6NJY4 A6NH52
P56556 Q5TFG8
P18054 A6NJ64
Q8N5I4 B2RC85
Q8IUB2 Q9H444
Q6NVV0 O00571
Q9ULI2 Q7Z4V5
Q9BXC0 P0CJ68
O43615 Q8WWY3
A6NIH7 Q8NCK3
Q8N1L1 Q9H147
Q9NZI7 Q0P641
Q08397 O75177
P11912 Q8N335
O00571 Q9NUU7
Q7Z3Z0 P33681
Q96HL8 O00273
Q13790 Q9BRQ3
Q96G23 P53041
P13761 P0CW21
Q9BYD5 Q96JS3
Q0VAF6 Q08AH1
Q86Y82 P29508
Q9NQZ6 P01282
P16473 Q96FF9
Q8N9W8 Q8TAU0
P55040 Q6P4H8
Q9P299 Q99909
F8WCM5 Q6XCG6
P55786 A6NK58
Q9NYJ1 Q9H0I3
O75603 O43603
Q14565 P13521
Q9BSA9 O15400
Q92581 Q969H8
Q6IBS0 P15559
Q8TEB7 Q8IW45
Q16629 P98182
O94868 P36896
Q14190 A8MTA8
Q14641 A6NIM6
O95389 O60759
P0CW18 Q9BZW2
Q9BSC4 Q8WVD5
P01909 P0C263
Q5HYL7 Q96AM1
P09104 Q86VD7
A6NDI0 Q9BX93
P53816 Q9H8X9
O95208 Q5VXT5
P23528 Q8WX92
A8MXT2 Q9BXU9
Q96GX8 O15524
P54368 Q4G0J3
Q9HBW9 Q99832
Q0D2K0 Q99807
Q86TG7 Q96MM3
Q9H596 Q5TC63
Q9NT99 Q86WX3
P61981 Q9Y620
Q9NV35 Q15286
P15169 Q96DW6
Q16740 Q96AA8
O95202 Q7Z398
O43462 Q9H777
Q86SK9 Q9UBS4
Q9BSH3 P06312
Q8WTX9 P0C2Y1
Q5VXT5 O95208
Q96N53 Q9Y4C5
Q5T681 Q8IWY4
Q9UIG8 O75828
Q9UJV8 P55073
Q8N300 Q96L03
Q8NHX4 P42229
Q2KHM9 Q9BYQ4
Q8N966 Q8WW33
Q13356 A6NDE4
P46734 Q9Y312
P30419 Q8N3L3
A6NE02 Q9NP98
Q3ZCX4 Q9NVS9
O75832 Q8N309
Q9BX10 Q9NYF3
Q9NS26 Q5MJ68
Q96LD1 A0A1B0GTK5
Q13616 Q8NFU3
B2RPK0 Q9NVN3
Q9UBT2 P23763
Q8N7R0 Q07812
O95990 Q8TB52
Q8IYJ0 Q6PML9
Q460N3 Q96HS1
Q8TAA1 Q96N77
Q9Y2W6 Q96HE7
P01571 Q8N300
Q8IU99 P01242
Q5MAI5 O00445
O14925 P55055
P0C7W8 Q658K8
P61266 Q9NRE1
Q8WZ33 O95427
Q99873 Q96GF1
Q99453 Q9H6X2
P41222 P30501
P17707 Q9UK59
Q5T6V5 P46109
Q86Y28 Q9H3U5
Q7RTX7 Q92759
C9JR72 Q86V42
Q9NRG9 O96006
Q56UQ5 O43324
Q8NAP8 Q99757
P35243 Q9UHJ6
P48730 Q5VTH2
P78413 Q96BQ5
P15509 P01817
Q7Z6J2 Q03014
Q6S8J7 Q99678
P56704 O43623
P21964 P19971
P49821 Q9BZQ2
Q9HDB9 Q16611
Q6PI25 Q9ULD6
Q6P1X6 Q8NGZ0
P62937 O96019
P0CG31 O14503
O60603 A7E2U8
P06312 Q96GI7
Q04759 Q13547
Q8NGG2 Q6UX40
P10176 Q8NEY8
Q8TAV5 Q9HCN8
Q7L804 Q9ULC3
A6NLU5 O14733
Q6TCH7 Q9NPJ1
A0A075B6K4 P42773
Q96PH1 Q9BX74
A8MUZ8 P51608
A0A075B6K2 Q7Z4V5
Q8NBN3 Q15019
Q9BYC5 P07148
P31358 A6NLX4
P84157 P0CL85
A1A4Y4 P30939
Q9BQA9 Q16851
Q8WVF1 Q8WUU4
A6NH52 P04436
Q96L03 Q6NZ67
A6NMD2 Q9BXG8
Q16864 Q8N8P7
Q8WUJ1 Q86WA6
P28331 P62987
Q86YH2 A8MYV0
P60409 Q9GZT4
Q08629 Q8IZ81
Q8NGU4 Q9Y296
Q8N0S2 Q12951
Q29980 Q15165
O00744 P46778
Q9NRW4 Q96M61
P41145 P01215
Q9NUQ7 Q9HCQ5
A0PJX0 Q9C0K0
Q9UHC3 Q9Y259
H0YKK7 P30953
P78368 P51157
Q9H469 Q8NGP9
Q96PD2 P31275
Q13607 P78536
Q4FZB7 O14842
P57055 Q00888
Q8N9F0 Q8TDF6
P04437 Q8IYX7
Q86UE3 Q96KS9
Q96HE8 Q9Y5S8
Q9Y2P0 Q8NG77
B2RXF5 Q96T88
P23297 Q8IXH6
Q16763 Q8N594
Q8IZA3 P19652
Q9NZN4 Q9UKF7
P24394 Q8NCH0
Q9HC23 A0A0B4J1X8
A8MZ36 Q7Z7K0
Q9Y5R8 P0C7V4
Q96FF7 P0DN25
P58004 Q99497
Q86XT2 Q9UGF6
Q96EY8 A0PJK1
Q01546 Q14093
Q96GN5 Q86WS5
Q96DU3 Q9UHQ9
Q96EY8 Q8WV15
P30273 P00558
Q03393 Q9BQN1
Q15286 Q5T036
Q96D70 A1L162
P50570 Q5PR19
P16219 Q6ZMJ2
A6NJI1 B1ATL7
O75746 P37173
P53985 Q9BZE7
Q9NPJ4 Q9UFW8
Q05823 Q08ET2
Q8WVV9 Q9P2J3
P28070 Q9GZR2
Q96JX3 P08754
Q96C19 Q6ZS82
Q9BU64 Q8N187
Q96LB8 Q5T6X4
Q6ZSV7 Q9BZI1
Q96QS3 Q86UC2
Q8IYU8 Q8NHS2
Q8NGN5 O43776
Q8NGR8 Q86XE5
Q96DR8 Q13061
Q92882 P20382
O95677 Q9BTM9
Q96NZ1 Q8TCW9
Q5T5B0 P05783
Q9H6D8 Q12872
Q9UBA6 Q9Y2Y0
P83731 O60240
Q8N377 Q5U5Z8
O15245 Q04828
Q8N9H6 Q6DKI2
O43815 P01858
P0C0S8 Q8WV93
Q4VX76 P78426
A0A1B0GUA7 P51608
Q9HC47 Q86UE3
B1AJZ1 Q8TD22
O00522 Q9NQ25
Q9UDY6 Q6DKI7
O60493 Q8IWU5
Q9HA47 O95429
P30679 Q8N3F9
Q8NGC0 Q9BWV7
Q15434 O43173
Q5XKL5 Q05215
Q9UJA9 Q14103
Q8IUF1 Q86SM5
Q9BUL9 Q8N957
P20700 Q96ET8
Q3B7T3 Q9H5N1
Q6ZSV7 Q9GZQ4
P17706 P51991
P30041 O75531
P60006 Q8NGE5
Q7RTU7 O95727
Q9H8W2 P0DMR3
Q92754 P14209
P78368 O94992
P35659 Q8WXA2
Q5VZ72 Q969Q4
O76081 Q8N4S7
P28908 Q8NGH5
P07203 Q63HQ0
Q16445 Q9UM07
Q8WV24 O00391
Q05586 P69208
A6NLC8 Q6WBX8
Q6ZTY9 Q8N8Z3
A5LHX3 Q8TCB6
Q8ND04 Q9UHA4
Q14331 Q5W0B1
Q5TF58 P26447
P0C7P2 Q9Y6H3
Q9BTC8 O95813
Q14508 Q9HA82
Q05639 Q13153
Q9BT73 Q9H0E3
Q709F0 O14662
Q9NXZ2 Q6IED9
P04553 Q9Y619
Q14050 Q9UNP4
Q9Y265 P52744
Q8IV56 P48066
Q9H8Y8 Q13106
Q8N5D6 P00390
Q9NZV6 P14598
P29275 Q8WVQ1
Q9Y6W6 Q96M78
P31431 P12314
P78356 P82979
O15304 Q9NQR7
P61964 P53370
Q8IWV2 A8K830
Q9BTY7 Q9GZT9
A2RUB1 Q8WVK2
Q9H0I2 Q86XR2
Q7Z2W9 P17844
O75943 P31948
Q03923 Q9NSA3
A6NNV3 Q9UI43
Q9UKW6 Q9HCZ1
O14879 Q86XZ4
Q3ZLR7 P47887
Q15003 P42766
Q5JTB6 Q92914
P41247 P21291
Q0D2K3 Q9UEW3
Q9H7Z6 Q86X40
Q8IUS5 P15313
Q9NPD7 Q96C36
Q6ZQT0 Q9BR09
Q8TD06 Q9Y243
P15172 Q02928
Q8WWH5 O43464
O43236 A8K4G0
Q96JM3 Q99942
Q969M2 O60729
A0A1B0GTQ4 Q96ED9
P16860 Q9BS18
Q9UPT5 Q96GU1
A8MWP4 Q9NZH4
Q96C11 Q8IVW1
Q9UIV1 Q96CH1
O15432 A6NM66
Q9Y450 P20336
Q9UI43 A6NNV3
Q9BRV8 Q9UEG4
Q00005 Q9NR80
Q5TA79 O75150
Q15506 Q9NWQ9
O94778 Q02161
Q8TAL6 Q02878
O15131 Q5HYN5
Q96A25 P79522
Q5JU67 P57764
Q9UBL6 Q96CU9
Q8N7C7 Q16548
Q10471 P98187
Q8NI60 P31350
Q9NQF3 P50406
A6ND48 P36980
Q14108 A6NGN9
Q6IS14 Q9NZ53
Q6ZWT7 P0DMU4
P24385 P0DN87
Q9NRY7 Q12982
P52735 A1L4Q6
Q5T089 Q9NZH8
O95711 Q92581
Q9HB40 Q9BZC1
Q3SX64 P01701
P36383 P11441
Q8TF74 Q496J9
Q5JTN6 Q96LB4
Q9NSI2 Q9NP71
A6NFA0 Q9BXC9
Q9GZX3 Q6NUM6
Q16520 Q9NVS2
Q9UFV3 Q8NGA5
Q96PK6 P02654
Q9BS16 Q16206
Q4VC39 Q6TGC4
Q6NXT1 Q13546
P15151 Q86UV6
Q15776 Q8N0Y7
Q9BY14 Q9H8M5
Q8N6G1 P18031
Q9NZN4 Q7L1S5
P25788 P10915
Q96F25 P56696
P36957 Q96CX3
Q9NV44 C9J302
P30511 Q9UM44
P98066 Q8N1H7
P62072 Q8TAQ9
O95976 Q96FV0
P48668 Q9NS86
P53539 Q96M15
Q9NXK8 Q96J84
Q9NXH3 Q8TD33
P55160 P62945
A5D8V6 Q00G26
P0C0P6 Q6P2M8
Q92913 P50591
Q7LGA3 Q4G148
Q9Y2D8 P78368
Q92611 Q9UJU2
P41219 Q9UGC7
Q0VG73 Q9BRR8
Q9BR77 Q9H444
Q99943 Q9UJC5
P0DMR2 Q15649
P39900 Q96IF1
H3BNL1 Q9NP98
Q14525 Q9BUL8
O95202 O14925
Q9NT62 Q6GV28
O95471 Q6UX07
P28328 P09914
Q8WZ33 Q9H8T0
Q9BSG1 Q9GZS0
P02655 P33032
Q8N8P6 Q86VP1
P43630 P23416
Q7RTN6 Q86XR8
O60575 Q32M78
Q6NTF9 Q96HA4
Q9BPZ3 O15535
Q6ZS72 O43315
Q8NGW6 Q9UEW8
Q96R28 Q92781
P48023 A0A1B0GTK4
Q96PQ5 Q9H1V8
Q9NYZ2 Q499Z4
P16189 O14817
Q96Q91 P49223
P83731 Q9NUJ7
O14543 Q5FWE3
Q9H0C2 Q96F85
Q9HAJ7 Q8N543
P0CG13 O14548
Q96QA5 Q6SPF0
Q9Y3M2 O43169
Q9Y5U5 Q8NFH4
Q9NQY0 P68543
Q15796 Q9C086
P36507 Q9H867
Q8NH42 P0DM35
Q9H1B7 Q9Y519
O60678 P58418
Q96FV0 Q765I0
Q8NGP2 Q96EX3
Q9Y399 Q9NQS7
Q96T25 A2RU14
O14493 P55287
P24046 Q02641
Q8N4Y2 P00488
P04155 Q9UEF7
P61565 Q86UN6
P58876 P13349
Q9Y2E8 Q92604
P26022 P51153
A0A087WTH5 Q5JUX0
Q5T750 Q9NWD9
Q8TF20 Q8TCD1
Q6PEW0 O75925
A6NI47 Q8WUR7
Q8N357 Q9UJ70
Q5VZ18 O43506
Q86YR6 Q6X784
P05160 P09104
P07476 P0DO97
P55347 P14652
Q8WWZ1 Q6UWV2
Q9BZJ7 Q9NZZ3
P49789 Q6ZQY3
P63162 P30086
Q6UWF9 Q9Y5Y7
Q9UI43 Q9HB15
P15085 Q8IV76
Q7L3S4 Q9UIG4
E9PJI5 Q8NGP4
P0DJH9 Q06520
Q6GV28 P30304
P35527 P60900
Q9NWQ4 P09067
Q9GZS3 P30954
Q8NH00 Q7RTT9
Q9H6V9 Q6NZI2
Q9HD47 Q6XR72
Q16473 Q01094
O43143 Q6UXH0
Q9H074 P0CH98
Q6P3R8 Q8N4L8
P09038 Q8IZ52
P07902 P0DPB6
Q9BT88 Q8WWB5
Q5SY16 Q8IZ16
Q8NGS5 Q7RTY1
Q8IXM6 B3EWG3
P0CW71 P55347
P24298 Q9NYP8
Q8N6Q3 Q15560
B2RXF5 Q8NGC8
Q8NH00 K7EIQ3
P01303 P48147
Q86VQ1 Q9Y5V0
Q96F44 Q2QD12
Q96HP8 P48147
Q96G79 Q5T750
Q9Y5J5 Q9UJC5
Q96CV9 P08621
P84103 Q8NGF3
Q8N4U5 O15226
Q9Y606 Q92523
P0C628 Q8TAL6
Q15276 Q96NK8
Q96A72 Q8IXQ9
O00116 Q96A19
Q9HCN6 O43298
Q9H091 A0A1B0GTS1
Q5VTD9 A0A0B4J2A2
Q9NP79 Q16769
Q5T036 Q9BR77
P25874 P98175
O00257 Q9BSF0
Q96SJ8 P62241
Q4VC12 Q9C0D3
Q9NW61 Q14244
P55317 P09972
Q49A33 Q7RTX0
Q9NSU2 Q8TAM6
Q9NWS0 B5MCN3
A0PJX4 Q9UM00
Q13099 Q9Y4M8
O60256 Q6P1Q9
O15544 Q6IEE7
Q9Y6W8 Q96IW2
B2RC85 Q8N5I4
Q96GC6 Q96S82
O14737 Q7LGA3
Q9NPG2 Q15389
Q1HG43 P23416
Q8N684 O95500
Q8TF39 P02766
Q5VY80 O95057
P80294 Q8N423
O15143 Q8N428
Q9NS86 Q8IW92
Q96PW8 Q99583
P33260 P07358
O14813 Q8WUM4
Q8N6U2 P43378
P0C864 Q2M3D2
Q8IZQ5 Q08117
A8K0Z3 P26368
Q8IW03 A6NDX4
P61366 Q13156
P32297 Q9HCJ1
O94842 Q5T6V5
Q8NGL3 Q13405
Q9Y5R8 O00767
P0CL82 Q9UI26
P41279 P56377
P05543 P04234
Q9BXL8 Q9Y2Q9
O14807 P63211
A0A075B6P5 Q96LT7
Q8ND07 P67812
O75072 Q05048
Q9Y6A9 Q9GZU7
O75888 Q9P2C4
P52736 O60481
P43694 Q8TAE7
A6NEL2 Q8N5U1
Q6ZSG2 P52737
Q9UEW8 P09669
Q6AZY7 P61925
P01709 P14927
Q53GT1 O43908
P62753 P27635
Q9H4E5 A6NNL5
O43865 P26439
Q02045 O00391
Q7Z5V6 Q9NRI6
Q9P2B7 Q8IYX1
Q5T8R8 Q15513
Q9H3N1 Q8IY42
O14562 Q6P9B6
Q9UNQ2 P49281
Q5U4P2 Q9UI38
Q9NPF5 Q9Y330
P24666 Q9BTP6
P01715 Q9NY33
Q9NRI7 Q14320
Q9NWS0 P13804
Q92832 P0DMU4
Q53GG5 Q8NBX0
Q9BZK8 Q9P2B4
Q14094 Q6UXI7
Q8WXK4 A1A5D9
Q9NR00 P18754
Q9HBK9 P04085
P62683 P62851
Q6WRX3 O15229
Q96CG8 P10696
Q8NEJ0 Q86VI4
Q96IQ7 P30556
Q96NY7 Q15819
Q6P9B9 P01374
P20290 Q9Y5X1
Q75L30 Q96MI6
Q53FA7 Q8TDR0
Q9NZV1 E5RG02
P0DJJ0 Q96LP6
D6RA61 Q6ZV65
P09661 A2RUU4
Q8N5Z5 Q5T1S8
Q9GZS3 Q9HAP6
Q5VWQ0 P62899
P15863 Q9H2B2
Q96KW9 A0AVI4
Q13115 P68371
P20674 Q8WXS4
Q14249 Q401N2
O15305 Q16696
Q8TF74 Q6J4K2
Q9BYG8 Q0D2H9
P30456 Q9Y275
Q969T7 Q9NV64
Q7Z417 Q6ZPD8
Q6Y2X3 Q99439
P20962 P19438
A8MZG2 Q86T29
Q9NX38 Q96CT7
P98187 Q10471
Q9H867 P43357
Q69YW2 Q9NWT6
P09683 Q8NET5
P42575 P22303
Q7RTV2 Q9Y6P5
O75783 O60477
P09874 Q5TGS1
Q8IUR7 Q9H2V7
O43827 Q643R3
Q6ZQN5 Q9NWV8
Q96MM7 Q6NT16
P10265 Q08499
Q8N6F8 Q8NHW4
Q12950 Q9BVC4
Q02318 Q9UHG3
Q13394 O15405
P49755 Q9HA64
Q9UKK6 Q96EV8
Q9NX61 Q5SQ64
P51684 Q8TDC3
Q9P0P0 P01893
Q6NSJ0 Q86YN1
P30499 Q5XKE5
Q96DT0 Q9NQG7
P20036 Q30134
Q9H7R0 Q6P1K2
P11465 P14136
P02750 Q16570
Q6ZNC4 Q9NR28
P48539 Q4L235
Q8NGC9 O00526
Q96IF1 P39900
Q9H4I3 A0A0B4J1X8
Q9UGQ2 Q9H446
Q9NNX1 P29972
Q9Y535 P07202
Q6L8G8 P30485
P21266 P51608
Q96DZ9 Q07955
O60636 Q9NY43
P29460 P53673
Q5T5F5 Q96R28
Q9NTK1 O00161
P78348 Q8N743
Q9UJU5 Q8N4P2
Q9NQX1 Q96I76
P15882 Q5T619
Q96P88 Q7Z3G6
Q96H22 P52756
P08887 Q969L2
Q9UBS5 P69891
P04035 Q9BV68
Q8NGL2 Q92583
P42680 Q9UK97
Q8IZS5 Q9NUP7
Q9UBC3 Q86TS7
Q96H40 Q8NE86
F8W1W9 Q92681
P30536 Q969G6
Q8N0Z9 P35558
Q92786 P0DJG4
Q674R7 Q6P5X5
Q8WWG1 Q9BXS6
Q9ULX9 P19622
Q99541 P15291
P98182 Q9P270
Q2MJR0 Q4V9L6
Q99633 P30533
P01909 I6L899
Q8NC26 Q6P2C8
P62683 Q9BZ98
Q0D2K0 P08949
Q9NWS8 Q9P2J3
Q7L0Q8 P56278
Q8WTU0 Q9NV72
P49286 Q9H5N1
Q9Y5V3 P47972
Q5U5X0 Q8N4H0
Q8NGJ9 Q02928
Q86WN2 Q96PW8
A6NHZ5 O14965
Q6UX65 Q6UY18
Q15052 P05496
Q8TCX5 Q7L5Y9
Q8N5M1 Q9UQR0
P0CB33 Q3LHN1
P41181 P60568
Q96IK0 Q8IZP6
Q9UFN0 Q6P474
Q9NR30 A0A1B0GU29
Q7RTZ1 Q6UW32
Q6ICL7 Q86WV6
Q96II8 O96004
Q01105 A1A5B4
Q9NUQ7 Q9H2C5
Q9BXA5 Q8N443
Q9UIF3 Q8IY57
P78333 A4GXA9
P08590 Q8TAF5
Q8IY47 Q9BQP9
Q9NZT1 Q86UV5
Q8TC92 Q580R0
E9PQ53 P31639
P52732 P0DP23
O15232 Q96DZ5
Q3ZCQ3 P59534
P30101 Q9H7M9
Q8N782 Q9NZS2
Q5VXT5 Q13263
A6PVI3 Q68CZ6
P61550 P01848
O75586 Q9Y5G1
D3DTV9 O76002
Q9BPW5 Q6NSJ5
Q96LB4 Q9H246
Q12931 A1L170
O96002 P05386
Q14627 Q9UI42
Q96MN5 Q6ZWB6
Q8N5U6 Q9BUV0
O60938 O75608
Q9BVM4 Q9BW85
Q16552 P26992
Q6ZW13 Q8NHY0
Q9BPX1 Q92993
P25105 Q8ND94
B3GLJ2 P13761
O60507 Q9GZS1
I3L1I5 Q96TA0
P52798 Q56A73
Q3LHN0 P24385
A8MXE2 P34949
P59540 Q5XKP0
P50750 Q6UY09
O60279 P11177
O75478 Q7L3B6
Q9BUK0 Q9NXL2
P13236 Q5NDL2
O14894 Q5JXB2
P83876 Q8IW52
Q04743 O60481
Q8NHS1 Q8N3J5
Q5HYW2 E9PRG8
Q99584 Q14332
P11233 Q8N140
Q9BR09 O14792
P0CW71 Q13206
P09467 Q9P2N6
Q96I99 Q8TF44
P78406 Q2M3D2
Q9H5Q4 Q86Y27
Q0D2H9 O43610
Q8N6I1 Q9HD42
Q6P1A2 Q96CK0
Q9UJ94 Q16629
Q8WWM9 Q13825
P28472 P43631
Q96NU7 Q8NFH5
O60911 Q8N8Q3
Q8IV08 P25106
Q92551 O43255
Q96FC7 Q86SI9
P05089 Q9H2Q1
Q3B8N2 Q68EM7
Q96B02 Q96PG1
P59826 Q6P589
P22087 Q9P032
Q9BYT1 Q9BRK4
A4D1U4 Q9Y6Q6
P33993 Q9H228
P16220 Q13163
Q63ZY6 Q14032
Q9H6D7 P57738
O95859 O94892
Q96C74 P0C7M7
O75762 P0DJ07
Q9GZY8 Q9BVC3
A6NGY3 O60313
Q9Y5K1 O75319
P0CG21 Q96KG9
P57730 P05413
O75764 Q9BT22
P61550 Q9Y2G7
Q8WXT5 O60331
Q9BS31 O75031
Q8N1S5 O00238
Q15418 Q9Y3U8
A8MY62 P20700
Q9ULZ1 Q9NRX3
O95760 Q96GY0
Q16829 Q9P2W7
Q12894 Q03013
Q5JUX0 Q8IWY8
P57775 Q9Y651
Q9HB55 Q99442
Q96G91 Q9H777
P49863 P29317
P39877 Q9Y2B4
P05013 Q9H4L7
P0CI25 Q9NZ32
Q96HE9 P63121
Q16778 P08100
Q92526 O95816
Q7Z429 Q96EY7
O75594 Q5TFE4
Q08117 Q93015
Q9Y3A6 Q86Y97
Q14134 P0DP71
P31314 Q13323
Q5SQS8 Q6ZW33
Q8NA61 O14734
Q96CP7 Q8TF39
P53801 Q9P1Q5
P0CAP1 P03986
Q6PEW1 Q53HL2
O14964 Q8IY49
P05166 P49336
Q03924 Q9Y5K3
Q96MF7 Q92934
Q9Y6D0 O00338
Q01650 Q06124
Q8N5K1 Q8N2Q7
Q5FWF6 A0PK11
A6NG13 Q96EU6
Q96PD5 O15120
Q58FF8 P37288
Q86YL5 Q9BXL8
P07858 Q5TA79
O43399 Q58FF6
A6NFC5 Q16566
Q7RTY5 Q5VUJ6
P48047 Q96J86
Q6UX07 Q8IZ57
O95416 Q92575
Q9NRN9 Q96CW5
Q8WW43 Q5SY16
P60985 Q8NC51
A2AJT9 Q96NM4
Q9H5U6 Q9H3Z4
P0C7P2 P07360
Q9Y3A2 Q6UW56
P81277 O15453
Q15561 Q8WXD0
P08034 Q538Z0
P19388 P86481
P02786 Q3LHN2
P22830 Q96FN9
A0A1B0GUU1 O15481
Q2QL34 Q9H3H9
Q8IW92 Q9NS86
P16562 Q96T49
Q9P1W9 Q86YH2
Q96PG1 Q6TCH7
Q9H2L5 Q14761
Q9GZZ8 A0AV96
P48730 O75690
Q9NR56 P58511
Q13642 P39748
Q8TDW4 Q5VYX0
P06858 Q9NW81
Q8N4H5 O75352
A8MV24 Q5T7N8
O60260 O15165
Q9NP60 Q07817
Q96HT8 P51841
Q13617 Q96LW9
P51114 Q9H061
Q9H875 Q7Z4N8
Q8WVF1 Q969F2
P45954 Q86Y78
Q16587 O43615
O95715 A6NE21
P41145 P11279
Q4QY38 O43826
Q8NB90 Q5T6R2
P62280 Q9UNL4
Q92914 Q7Z5Q5
Q5DT21 Q6ZT62
Q9BYP9 P06858
Q9Y235 Q6P1J9
P08729 P26441
P14625 Q8TDN7
Q8NHA8 P0DJ07
Q9Y343 P59539
Q5TFG8 Q5T7P3
O75175 Q9Y4P9
Q96RB7 Q674R7
Q5T7R7 Q9BSY9
Q6UXY1 P05014
Q9H344 Q7Z3I7
O95918 A6NKF2
Q499Z4 Q9NUG4
P56880 Q96DF8
