P20226 Q9BW71
Q53HV7 P16473
P62820 Q86WP2
P35606 Q9BPX7
Q16602 Q86XR8
P11021 Q4V328
P29350 P37023
P06239 P17612
Q13177 P14091
Q15038 P30411
P23511 P35916
P40692 P24385
P46108 P17538
Q6P1K2 O95155
Q96EV8 Q9UJX3
P06400 P08727
Q9NPD3 P01112
Q12959 P40337
P02760 P18583
Q9Y2X7 Q9H1I8
P43405 Q12756
P52799 Q9Y6B7
P04628 P07101
Q15796 O60674
P54253 P06241
Q14511 P52594
P42574 Q08378
Q13144 Q8N122
P01011 P13861
P98155 P35221
Q5JVS0 Q03933
Q16666 P13631
Q8TEW6 Q16630
Q06265 P67870
P10071 Q14680
P14780 P15309
P08236 P62834
P00533 P42263
Q99706 P07332
P30153 Q99750
P06213 P22736
O15198 O60343
Q9UKS6 Q96HT8
P62993 O75593
P06241 Q13368
P11142 P20963
Q04759 O75771
P84022 Q9UK45
P21333 P14543
P63167 A1A4S6
P27694 Q9NZ52
P63104 P51617
P22681 P60228
Q96SB3 Q9NPI6
P07711 P05067
Q14573 P51681
P19525 Q06828
Q9Y4J8 P07101
P56524 Q9NSC5
P00918 Q13426
P23458 P01116
P35613 P23229
P02730 P10145
P28482 Q8WV99
P06400 Q8N111
Q09472 Q12840
P42224 P09466
Q13547 P19525
O14733 P50548
Q03181 P05114
P29350 P17927
P29590 P05129
P60520 Q6RSH7
O14939 Q6UVK1
P51692 Q9UPY5
P25101 Q9BVV2
P46531 O95905
P02751 P56817
Q6P2Q9 P54257
P08397 Q9H773
P54259 Q14344
Q93038 Q13563
Q6EEV6 P19801
P68400 P04921
P10275 P61247
P43026 P01042
P02686 Q96QH2
Q9GZT8 Q16690
O14512 Q9UKB1
P98082 Q02383
Q01344 Q2M1Z3
P08246 O95777
P49790 P55287
P51587 Q99640
P11388 Q53EV4
P67870 O75909
Q99683 A5YKK6
Q13526 P14866
Q14145 Q9UMD9
P42224 P84022
Q9GZR7 P41231
Q9Y490 P42263
Q5JY77 P21583
P01112 O15524
Q9Y2M5 Q9Y6H5
Q14186 O75771
O43572 O43295
P19793 Q92870
Q9Y3A3 Q9P0L0
O15553 Q9BQ16
Q8TBE7 P05000
Q9Y5U8 Q9P0L9
O15392 Q02556
P21246 P62826
Q03181 P48995
P16333 P38432
P36897 Q14966
P17252 P12757
Q86YW5 Q9ULK4
O00459 O15457
P67809 Q8N5U6
P16220 P42261
P25685 P35713
Q15796 Q9H410
P54253 Q14957
P21673 P24385
Q13131 Q9BZF9
P17706 P10276
P07384 Q96MA1
P19174 P04004
P17181 Q13257
P29590 Q7Z6J0
Q05513 Q96QT6
P37198 O95622
Q96RT1 Q16557
P27986 Q9GZP4
Q00994 Q16649
P19793 P37275
Q04724 Q15761
Q03167 O60568
Q92900 P52657
Q6VMQ6 Q8WU17
P19793 P12814
O15525 Q9NS69
Q92844 Q8WUH2
O14544 P43358
P24928 Q9UBI6
Q8TAD8 P28749
Q13432 P19174
P12004 P08621
P06454 P04406
P03372 Q9Y696
P14672 Q9UIF7
Q9P2H0 Q13214
O60383 P40855
Q9UPT6 Q05516
Q92793 P51692
P99999 Q9UKG1
Q04912 P04114
Q13547 P25101
P11233 Q92834
P18887 O14829
P02686 Q14511
P63010 Q03393
P12314 P13984
P23467 P08651
Q92851 O75674
P14921 Q9UM47
P03372 P33991
P84022 O14508
P55085 Q12788
P10586 Q03001
P10721 O00308
O43719 Q07812
P41134 O75971
Q13432 Q99801
Q07960 P08758
P78559 P08621
P04626 P49759
Q8IW41 P62873
Q5I7T1 O14818
P08134 Q13309
P10912 P17181
P02788 O95190
Q9ULV0 P78317
Q13868 P98082
P12259 Q8IZH2
O14939 P58004
O43541 P28482
Q9Y2J2 P63151
P43364 P21802
Q8IVH8 P54764
P17612 P01023
P17252 O00170
Q9BQD3 Q13002
Q99750 P67775
Q96EY1 Q15843
Q96GD4 O60500
P52566 Q96IT1
P16234 O43683
P54619 Q969R5
Q14315 P05160
P04637 P62330
O15151 P02458
P61244 P08247
P54764 P48426
P28069 Q16881
P06400 Q9Y616
Q9Y228 P43629
Q14160 P61011
Q00653 P24385
Q14469 P23297
P78545 P27694
Q8TEW0 Q9Y281
P62308 Q9HAV4
P31151 P51636
P28482 Q9H0H5
Q13432 P01903
P35568 P02745
Q9Y6K9 Q06330
Q5FBB7 O95365
P02751 O14965
P42574 P51116
P01282 Q08174
P17509 Q9UNA0
O15198 P30411
O00198 Q9UBT6
O95295 O00267
O00244 Q9UBL3
P40763 O75419
P04637 Q01130
P36897 Q66K89
Q9BTE0 P33176
Q13432 Q8TAI7
P15502 Q16653
P24941 Q9P0L2
P56597 Q7L804
P12259 O14646
Q9NYV4 Q9Y616
P29375 Q03013
Q99750 P11171
P38936 Q15084
P13010 Q7L4P6
Q9Y3C7 P35249
Q14203 P35813
P42166 Q9Y4C0
O14641 P49023
P61981 Q15669
Q8N490 Q06710
P43364 P11171
Q7Z3Z4 Q16394
Q14192 Q9Y5K6
O14733 Q9HCE7
P42858 Q13133
P00533 Q5VWK5
P54257 Q12772
O60674 Q5T3J3
Q8N8S7 Q13362
O14512 Q8WTR2
P42566 P45985
Q06587 P25445
Q9Y4P8 O60664
P24864 P39060
P12757 Q15628
Q06124 Q15427
Q9Y618 Q15424
O14757 P17612
Q9NY61 P43246
P12931 P17844
P30153 Q9H490
P19438 O15399
Q13415 Q9NQC3
P10071 Q6VMQ6
O15169 P43034
P11802 Q9Y5U2
P41218 Q15569
P27348 Q9UL18
Q96PU5 Q9UK23
P07339 P56134
P43364 Q13769
Q9Y6Q9 Q92558
P27361 P35080
Q9UMF0 P59998
Q9NRR5 Q99547
Q12962 O14920
P28482 P13501
P61201 O00204
P46060 Q92905
P00533 Q04864
P05412 Q8WWA0
O43683 Q8TEL6
P05771 P63096
P19174 O14777
P27986 P54826
Q99704 P08697
P16333 P28702
P31150 P48048
Q14152 Q93062
Q09472 P19174
Q15329 P08754
P09429 Q15555
Q04771 P07359
P15884 P52298
Q13257 Q9NR96
P41180 Q9H2V7
P15336 O95251
P42566 P06400
Q15834 Q9HD89
Q96MU7 Q8NAP8
P29375 P50148
P24588 P09493
O14744 P04629
O14786 Q9UQ84
P36897 Q6VMQ6
P04049 P25963
P15918 P63244
Q9UEW8 P04150
P17302 Q13114
P68871 Q04864
Q8N2W9 Q13057
P51116 P06241
Q14344 P52789
Q09028 Q16555
P41134 P13861
P02452 Q9BUL9
O43639 P35606
P08670 O60331
Q12933 P29317
P45984 P51449
Q7L591 P55083
Q99062 Q92797
Q03431 P41214
Q07869 P48058
O15264 O43264
Q96RU3 Q03933
Q96CS3 Q96CS4
P0CG47 P25490
Q06413 Q14203
P51946 P32942
P04156 P19086
P12757 Q13114
P11473 P34972
Q96B97 Q9NRL3
P62304 O14745
P01100 P01112
P38936 P15172
Q9HAP6 P84103
Q14789 Q9BW27
P42574 Q5T3J3
P28360 Q9BPX3
Q86XS8 Q9NX58
P49790 Q9Y620
Q92997 Q15833
P49810 Q15878
P62993 P16070
Q13873 Q08462
P68400 P25445
Q05655 Q96RI1
P46937 P06127
Q7L5N1 Q07812
P40424 P35573
P09874 P56279
P11387 P58340
Q9Y618 Q9H4G0
P84022 P07315
O14775 Q9H3Q1
P40937 Q15025
Q9HBE5 Q96KC8
Q15628 P61812
P11233 O60704
Q9Y6H8 Q15109
Q9H5V8 Q9UKC9
Q16623 Q99633
P40763 P61586
P22681 Q9UQM7
O43379 O96013
P48039 Q13158
Q9H8T0 Q86VP6
P51692 P17936
P15941 P04632
P09769 Q9NX47
Q8NDC0 Q9H5Z6
P46108 Q9UI46
Q8TEW0 P43246
Q16539 Q8NHQ1
P41219 P08651
P31994 O15294
P78559 Q9Y2T3
P61981 P17612
P61586 O14709
P04637 P42345
Q9H0B3 P56597
P02751 Q99650
P21728 Q15759
O75581 Q96FQ6
Q13361 Q9NYY3
Q92831 Q14289
Q13224 P57105
Q13885 Q86UL8
P25098 P40337
P19012 P16410
P04637 O60504
Q14203 P35548
O95229 Q13115
O60437 Q12789
Q92934 Q9H8T0
Q12834 Q99081
P12757 Q8TBE0
P09486 Q9UNA0
Q15834 Q96C24
P54727 Q8NFW9
P51116 Q9NZD8
Q10567 Q15836
P36956 Q8WVD3
P28482 P14672
P23284 P63244
P01100 P06730
P78396 Q5VWX1
P10145 Q9ULK4
Q13432 P35222
Q07820 Q9ULB1
Q6VMQ6 Q01113
P10721 Q9BQY4
O95716 P20073
P25025 P62306
P48736 P62308
Q02363 Q92772
Q9BZK7 Q9NZ43
Q9H4I2 P51684
P04150 Q969G9
P51617 Q7L5N1
P83369 O43592
P10721 Q9Y2L1
O14492 Q9Y4E5
P05129 Q07955
P48552 P23142
P84022 P52961
O75928 Q9BXF6
P63104 P04075
Q16576 P32971
P04150 P52701
Q9NY61 Q8N5J2
P03372 P23284
P11912 Q96QF0
Q99816 Q9H2M9
Q15834 P07711
P78527 Q05516
Q9UER7 P14927
Q16236 Q9GZX9
P63261 P68400
O75604 Q92997
Q7L5N1 Q15413
Q08999 Q14185
P52434 P01042
P27694 P78346
P15311 P51828
Q15700 O60674
P04637 Q56P03
Q14773 P80075
Q9UQF2 Q96Q15
O14920 P23582
Q9H422 Q8WWN9
Q7L5D6 Q15427
P54253 Q13263
O00401 O95219
P10415 Q01780
Q8TAE8 O15444
Q9NQT4 P07197
Q9P1W9 Q9NSB8
Q9UQM7 Q93009
P36957 P06850
P61289 Q9H8Y8
O14727 P07996
P31946 Q13547
Q8N5S9 P07910
P27986 O14775
P46108 Q5FBB7
Q92908 P84090
Q05516 P55211
Q9Y5X3 Q5JWF2
Q9NYL2 Q9BTE0
P31749 P29590
P12830 O60934
P52564 Q9NPC6
Q04206 Q9Y4I1
P49407 O75145
P15498 O95166
Q16543 Q13618
O00161 Q05655
P12004 O43913
Q9UL54 Q15834
P00533 Q8IWT1
Q86UR5 O00213
Q9H0D6 Q02156
O95425 Q14140
P25963 P28562
P16885 O43291
Q99638 Q8WUH2
Q9NRD5 P54764
Q15311 P08559
P43403 P62826
P07339 Q86VF7
Q92900 P46108
P15311 Q9NPG1
Q96A23 P08962
P15509 P42229
P19012 P17676
P42574 Q15834
Q9UJU2 O75674
P12004 Q16539
Q9UNE7 Q15149
P63096 P01100
Q16633 Q99972
Q09028 P08069
Q93009 P30273
Q99816 P15884
P08670 Q06587
P03372 P18848
Q15388 Q02447
Q02535 P17181
Q96KG7 Q9UQC2
P04637 O60682
P84022 Q04637
Q15796 Q13418
P01282 O95219
Q13485 P62424
O00161 Q99759
P61981 P07948
O75446 O15273
P31946 Q96KG7
P61981 Q99750
Q86XR7 Q92754
O15164 Q9H4E5
P35625 Q02383
Q9Y6K9 Q9P2K8
Q9UBD5 P09619
Q9UMX0 Q5UIP0
Q92793 P51617
P00734 Q9NQC3
P00533 Q92729
P26718 P35080
Q9Y3Q8 Q14164
O60674 Q03135
Q92794 Q969D9
P55060 O94941
Q15797 Q8WZ42
P49286 P11802
P12931 P22888
O14641 P21781
P04150 O60610
O14939 P11171
P35222 P21817
P10828 O75173
P43364 Q9BPX1
Q96CW1 Q9Y3L3
Q13485 Q13158
P62875 P61086
O15105 Q9UN86
P14555 Q8ND90
O14936 P08754
P05783 P63165
P21673 Q6ZRS2
Q01826 Q9Y5X1
P06748 Q15669
Q14511 P54105
Q02641 P0DJI8
P54253 Q92597
P68104 Q9H8Y8
Q9ULU8 O75689
O95084 Q02846
P40763 P55072
P24928 Q99075
Q9UBC3 Q96D03
P31150 Q96ER3
P50548 P51946
P63167 O00186
Q9UMX1 Q9P2K9
Q9NWF9 Q9BY84
Q9UNE2 P68400
Q14254 P07910
P0DP25 P98174
P68400 P05783
Q86UW7 P62877
P25116 Q86X55
P31946 P31749
Q9UQC2 Q9H0H5
P14210 P25774
O15379 Q16539
Q9BQ66 Q96PK6
P02649 P61224
Q6EEV6 P51808
Q9UIG8 P01112
Q9HD67 Q9BRG1
P11912 Q9BS34
Q9BZK7 Q86UN6
P63208 Q8IYI8
Q01860 P35606
P35222 Q9Y618
Q05193 P26641
P31946 P23946
P00533 O14530
Q9HB89 Q99575
P46531 P63165
P41235 Q96MU7
Q9Y2W2 P83369
P10827 P02708
P82650 Q99747
P27348 Q13885
Q9H1I8 O95218
Q9P2W1 Q12988
Q9NRW1 O95777
Q08050 Q9BWT7
Q9NQX5 P98082
Q13105 Q9NPC2
P28360 P13861
P10071 Q9HCE6
P00533 Q9UBS8
P15927 Q15118
P27694 P60891
Q16539 P53805
P16234 Q9Y5B9
Q16526 Q96SI9
Q8NFZ5 Q14526
P84022 O00268
P68104 O00214
Q15388 O60244
Q05655 Q9GZR7
P03372 P58546
P35243 Q13217
O95295 P22415
Q04721 Q9UBU3
P06239 P08195
P12931 P52292
Q9H0D6 P25116
O95967 Q8TAE8
P04150 P07951
O00238 Q04864
Q15645 Q8TES7
P68400 P23945
P13861 P07996
O95831 O15254
Q8N2W9 Q99250
Q9Y4K3 Q13887
P31749 Q12959
Q8TD08 P08697
Q93062 P25942
P29475 Q14012
P04150 Q9UHG2
P49368 P10415
P42166 O94829
Q14643 Q11130
Q02078 P42830
O14965 Q9BWC9
Q9UJM3 Q9UPY3
P39023 P52630
P21246 P08581
P36957 P15498
P42229 P21817
P19320 P56747
P07196 Q13671
O00463 P23142
Q04724 Q01094
P22681 Q13541
Q13315 Q9Y3C7
Q9NQC3 O95498
P54727 Q9UL45
Q96A23 Q9BXH1
Q13485 Q9UKG1
Q9GZT6 Q9NWA0
P63104 Q02846
Q9P287 Q13442
P21246 Q96IF1
O15162 P41134
P84095 Q13352
P31749 P36542
P68400 P28906
P09769 Q9HCS7
P02751 O15105
Q16594 Q9NPA2
P25791 Q9BUX1
P25116 P41212
P09960 Q9HCP0
P20338 Q04721
P04150 P45973
Q7L2E3 P51841
P35568 Q9UBL3
P68133 Q12955
P10644 O96017
P31269 Q00526
Q8N392 Q9NQP4
Q02962 Q92636
P25963 Q99972
P54764 P23588
P38432 Q13813
P46108 Q9BQD3
O60383 Q15223
P07948 Q00613
Q9GZT6 O15144
P54259 O14974
Q9NV56 Q99496
P51636 P34947
Q14192 P42858
Q92841 Q93033
P31949 Q9Y3S2
Q15811 Q9UQB9
Q13571 O00590
Q15651 P11388
O00220 P12980
P02686 Q9NS87
Q92597 P25788
Q13115 P63244
Q13257 P41159
P03372 P0DP25
P05412 Q15648
P63167 P23276
P49841 P05026
Q09472 P00533
Q9UPT6 O75689
Q13285 O14746
Q6VMQ6 P39880
Q12904 Q9Y5S8
Q08211 Q9Y4K3
Q16695 P37173
Q00610 Q96F10
Q07817 Q14247
O75943 O95897
Q15834 P60468
Q02548 Q9Y6H8
P05771 P62380
Q9UPT6 P41279
Q5PSV4 P31943
Q16236 P01236
P31749 Q15653
P04637 Q8N0X7
Q13501 P46527
Q8IWT3 P09429
Q99750 P45984
O43493 Q9Y4I1
P10275 P42830
Q9NRF9 Q9NZJ5
Q8N2W9 P51617
P49023 O94985
Q9NZV8 Q9Y4H2
P40763 Q96EC8
Q92934 P56178
Q9Y2Y9 Q13425
P43364 Q9BXJ0
P16144 O95163
P35813 Q9NVE4
Q13115 Q9NPH3
Q16665 Q12788
P47897 O95819
P51948 Q9UBT2
Q15596 Q9UMZ2
Q2M1K9 P29972
O95551 P42226
P03372 Q9C099
Q16288 P31689
P04637 P30556
P49768 P05556
Q92835 P20340
P16144 Q96J02
P12757 Q12933
P39880 Q9Y5X1
P46100 Q14512
Q9HA65 P32245
P46531 Q96F10
P24385 P17535
P02787 Q9UQ35
Q9UEW8 P55317
Q13794 P48552
P02679 O60725
Q15796 P06213
Q96A65 Q8IYB5
Q8N5J2 Q9UK45
P46663 O43752
P06213 P84077
P56134 P39060
Q04206 Q9H4L5
Q9UIV8 P60953
P06493 P78318
P78545 Q12967
P16871 Q13619
P67775 Q03135
Q9H427 P32245
Q13144 Q13596
P62993 Q9NVP2
P35222 O60583
P38398 P49755
P38484 P37275
P11226 P62873
P84022 Q13705
P02647 P00747
P21802 P31150
Q9P2E2 Q15438
Q96K80 Q9UI26
P30305 Q9UJ70
P31946 O00220
Q9ULZ3 O75688
P04150 Q9BXS5
P31273 Q12824
Q92796 Q9UBL9
P25942 Q14449
Q92956 O75094
Q99618 Q969W9
P21246 Q13464
P36575 P41236
O14733 Q8TBN0
P24928 P00734
Q9P287 Q13469
P10415 P28074
P15036 Q9BT49
P68104 Q96ST3
P57078 O75916
P62993 P34932
P08069 Q8IUX7
P52803 P55040
Q92831 P14859
P19823 Q15365
P12931 P05412
P02751 P09471
P35609 Q14191
P20936 Q9NQC3
P10721 Q14344
P13645 Q9BXI6
P06239 P09544
Q09472 Q05516
Q07864 O60496
P84022 Q16827
Q9UHD2 P18089
Q9Y478 Q13573
P06454 Q86UX7
P01178 P51685
P61981 Q9NXK8
Q8IVW6 Q04771
P19823 P26992
Q9HAU4 Q9BWD1
P11387 P41231
P20309 O43741
Q99720 Q96KC8
P15502 O75496
Q9H0I2 Q9UKW4
P19174 P41212
P13010 Q14155
P04049 Q15652
P42226 Q9Y2G4
P40763 P54920
Q13472 P27361
Q9Y3A3 P01112
P04899 O14578
O14776 P62993
P63279 P55211
P25788 Q9BSL1
P61981 P09874
Q9Y2W2 Q9NRR6
Q06141 Q9BQI3
P04637 P14598
P51692 Q16478
P17252 P22681
P09936 O95838
P54259 Q9NPH3
P21810 Q96Q15
Q06787 P23467
P21453 Q9Y624
P29597 P11831
P01185 O43173
O15055 P17544
Q00535 P02775
Q9Y5X4 Q9H3Z4
P84022 P27707
P05412 P31749
Q07889 Q8N2U0
Q92793 Q9HB71
P06493 P21802
P42858 O60383
O14733 P45984
Q9UDY2 Q7Z6J0
Q9NRD5 P04439
Q8TD16 Q8NF91
Q16695 Q9BW27
Q9UQF2 P62995
O14939 P53803
P61981 Q6ZU52
P31269 Q8N4C8
Q00994 P01591
O96004 Q9UI47
Q99717 Q12879
P49023 P02458
O00444 Q9NS23
P06239 P62424
P22004 Q12972
Q15796 Q99941
Q9Y297 Q9H814
P35900 P35813
Q05586 Q9Y3C7
Q96A73 Q9H2C0
P43250 P15924
P12757 P11233
P09661 Q8TAX7
P17181 O60496
P27986 Q14206
P30305 Q9NPA3
Q14938 P19525
P68431 P55769
P01100 Q9NQT5
Q12834 P51812
O14733 Q04756
P61769 Q15399
Q13011 Q13158
Q9NR48 Q96BT3
P27695 P04406
P17252 Q8N336
O95059 Q969F0
O00231 Q01955
P00533 P0CAP2
Q13485 P00742
Q16539 O60229
O75376 Q92905
P30519 Q99689
P31749 P26010
P06731 P13765
Q15047 Q9BT92
P51946 Q9UKA9
Q15306 P62312
Q9NYW8 P49848
P43405 A0A5B6
Q99750 P08253
Q9UKY1 Q13253
P17480 O00585
Q96RT1 P22415
P04049 Q01955
Q99836 P62979
P51587 P35556
Q9H9Y6 Q01831
P18206 Q8IUC8
P62993 Q68CP9
P16220 P0CG47
P35348 A6NE52
Q9H1I8 P08754
P06732 Q96MU7
P04183 P13591
P21580 P00813
O15105 P46721
Q9Y383 P51003
O00291 O43426
P61289 Q9H422
P25205 O14796
Q14573 Q86WV1
P05129 Q9H5Z6
P53350 Q13425
P60033 Q9C000
P68104 P06493
O60894 P19525
P21579 O60645
P54253 Q12905
P14868 O14639
Q15797 Q92736
P05412 Q00535
Q07666 Q13285
P02751 P31749
Q7L5N1 P51693
Q96PY6 P08588
P84103 Q5T5C0
P10275 Q00610
P13612 Q99460
Q9UMX1 Q13554
Q92831 P15498
P56945 Q9NR22
Q15047 P14780
Q13501 P61278
P19438 P09769
Q09472 Q6EEV6
Q8TDR0 P09327
Q9Y5K6 P18627
P05412 P98082
P68104 P0DP25
P16473 P48764
A6H8Y1 Q9H8V3
P06703 O00567
Q5U623 Q15942
Q00653 P02649
P45983 P11717
Q04206 Q16584
P41134 P17936
Q24JP5 Q9ULZ9
P19174 Q15797
P12757 P31946
P22681 P78396
Q8WU20 Q14934
Q9NR12 P68400
P60953 P14635
Q9H4G0 Q71U36
P29466 Q9BXA7
P55198 Q8IVH2
P17535 P11836
O00231 P41222
P00918 Q00532
P60953 Q09428
Q96IZ7 O15294
P24534 O60674
O95602 P19022
P06493 Q5T2W1
P50452 P05106
P12830 Q96KP4
O43924 P05165
P84243 P22894
Q12933 Q13415
Q06124 Q13422
P42285 Q7L5A3
O76003 Q9H1Y0
Q6IAA8 P15880
O60573 P25942
Q9NZU7 O43186
P62380 Q9H4E7
Q13555 P28329
Q96SB4 P27824
O75030 P49841
P15336 O75175
P10242 O14576
P35222 Q9Y4G8
Q9Y6Q9 Q15654
Q99502 P02750
Q5VWN6 Q7Z401
O75925 Q14566
P04637 Q9H3N8
P08887 P02649
P84022 P35318
P17252 P19256
P47897 Q8N6Q3
Q13227 Q15397
P26368 Q9H1I8
Q5T3J3 O60391
P07339 O43566
P63279 Q15797
Q9Y4J8 Q16623
P43403 P17544
P51692 P04792
P27348 P04183
P61956 Q93062
P19022 Q6PIJ6
P24941 P15408
P40763 P26641
Q13347 P30043
Q9UNE7 Q8IZL8
Q12824 P52735
Q13094 P33076
P54132 Q13261
P10636 Q7L2E3
P61981 P19793
P07948 Q13813
Q14203 P52907
Q6ZVK8 P01584
Q92831 P37088
Q96L34 P52657
P20248 O43521
Q8IZJ0 Q14934
P37231 Q92806
P46527 Q8WY54
P14784 O15372
P63167 P49815
Q06587 O00267
P0CG12 Q9BUZ4
P04637 P51911
P10114 P20366
P84022 P51636
P04439 P54762
P12956 P39748
O94805 Q13813
P14923 P02743
P55916 P40426
Q9BTW9 Q9GZX5
P08651 P10114
P04150 P04899
P55085 O95235
P06239 P08670
P14635 P08588
P42858 P63096
Q13868 Q06710
Q7Z7J5 P61764
P40763 P48443
Q12846 P35241
P06756 O75629
P49023 O14920
O60494 P50148
Q13555 O76093
Q7Z7J5 P06493
O14939 P43405
P55344 P02652
Q5JWF2 Q9Y261
P68363 P35372
Q9NZW5 P50281
P68032 P01730
P08138 Q13111
Q5RL73 Q08211
P11171 P51587
P43364 O14786
P68400 P25787
P23511 P05109
P46783 O60315
P15311 P51610
P04150 Q00872
O15534 P08519
Q15303 Q99933
P01112 O00151
Q96IP4 P17787
P98164 Q00975
P40424 Q9H0R5
Q9HAU4 Q99935
P13611 P27448
P17301 P30039
P63279 Q9UKA1
Q06830 Q92817
Q15078 P34947
Q07960 P05305
Q15796 Q16594
P30153 P10912
O75376 P46379
Q13547 P15822
Q13426 P49841
P40763 Q01780
Q99750 Q6VMQ6
P51955 Q13043
Q16637 Q99829
P18846 P11473
P60880 O75688
Q9HCE7 P00387
O43747 Q99759
P17252 P06493
P68400 P01023
P55010 Q13443
P09958 Q96F24
O60674 P35241
P25205 O76003
P30556 Q9NP66
Q9UKR5 Q7L190
Q12778 Q14677
Q16520 Q12778
O15525 Q14449
P78314 O43752
Q15796 P09619
Q9UHD8 P10915
Q96DF8 Q96MR6
P54253 P19022
P37198 P07384
P49815 Q7Z7A1
Q14005 P12956
Q15648 P62316
P18887 Q8IZJ6
P42574 P14625
Q9NRD5 P55211
P61981 O14641
P34947 Q8TDC0
Q14126 Q9ULH0
O60437 P35222
P19429 P56178
P61981 O95218
Q13424 Q9C0D5
P20338 P61586
P01023 Q14582
O15145 P11142
O43791 Q6W2J9
P51681 Q15155
P12757 O60894
Q04917 Q86Y01
P05771 P40926
Q9BQD7 Q8IUW5
P26641 Q8IYX0
Q02363 P62380
P05412 O15514
P06731 P08473
O75525 P00797
Q01344 P21695
Q9NPG1 P07996
Q6PIJ6 Q9BXH1
Q8IZL8 P12236
P42702 Q9HAT8
Q9HCU9 P18031
P12004 P30679
Q96D15 P36575
Q99558 O43914
O43707 P05129
Q13464 O00308
O96017 O95218
P46379 Q13643
O94983 Q6ZNA4
P17612 O60494
P48736 P30542
P19838 O75446
Q04721 Q16527
P60709 Q13387
P06400 Q96CN9
Q12933 Q9H6Z4
Q16352 Q13228
Q9UER7 Q9BVI4
P12004 P16066
P62993 P30876
P40763 P34981
P02458 P17612
P02671 P49798
P21860 P37287
O75340 O60500
P49137 P78381
P07359 P13747
P54920 P80192
P21675 Q8WXD2
P27797 P55036
P46108 O00303
P28702 Q8TAD8
Q01844 Q8N6P7
P50570 Q5T681
Q92835 P36894
P84077 P16455
Q9NP81 P05121
Q99598 P60880
P42229 P31785
O15105 P22455
Q13114 Q99828
P15311 Q9UM11
O14492 Q9UI26
P03372 O43150
P54136 P31749
P12931 P01130
P19012 Q15796
Q99814 Q9UBP5
O14980 P60002
P68400 Q9GZS1
P12830 P07948
O96017 Q9BSF8
P68133 P39880
P03372 P08620
P78552 P09544
P05412 Q96QH2
P07384 Q7Z6M4
P31431 P12931
P42680 P08631
O15198 P12643
P07359 Q9BSF8
Q15834 Q9HCE7
P01730 Q9UKW4
Q9UBU9 Q14643
P24941 Q8TCT9
Q15700 Q86U06
Q6IA86 Q14738
O94805 Q9GZY0
O14745 Q13363
P41279 O14818
P25098 Q9UM47
P10828 Q8TAI7
O14641 Q6PKG0
P06241 P42285
Q13501 P31749
P54132 P01112
P16870 P01303
Q6VY07 Q9UKX7
Q12933 P00450
P51116 Q9NRI5
O15169 P01112
Q5T3J3 P14780
O75340 P62873
P49848 O43597
P68133 P26006
P47712 Q8NCF5
P53350 Q14315
P00918 P61968
P20248 Q13541
Q99816 P01344
Q15834 O43808
P36897 Q5VZM2
P24941 Q96AX1
P25205 Q15303
Q9Y3A3 P16070
P49023 P24522
Q15744 P42773
Q7L590 O60763
Q96S53 Q8TF74
O43561 Q92997
Q15650 P12236
Q14831 O00203
Q05513 P45983
Q6PIL6 O14777
Q9Y2I6 Q92870
P00749 O43708
P54253 P01583
Q8TEQ6 Q9BVI4
P01111 Q13616
P54646 O75446
Q07157 P30047
Q13873 P05412
P21802 Q15287
P20827 Q96NT1
Q08211 Q9UMZ2
P04637 Q96H20
Q92835 Q96PN7
P48745 O43521
O15524 Q13480
P02760 P84022
O15527 P28068
O60825 P36575
P37198 P35226
P27694 P0DP25
P10398 P06748
P30153 Q9BUZ4
P21246 P12814
Q96B26 O75159
O75182 Q00610
Q99959 P13861
Q96JC9 O15409
O14543 P19525
P14923 P49005
O43318 P51572
P09132 O43172
Q969X0 Q9UKN7
P54259 O94875
Q13526 P41743
P27797 Q96MT8
P30153 P02686
P68366 P49356
P16870 Q14526
P41219 O75818
P31749 Q9Y2I1
P62487 O14492
P19174 Q92930
P29279 Q9ULV8
P05107 P36542
P54259 P22004
P68400 P05067
Q15751 Q13480
P24928 O75448
Q13263 Q9Y6W5
P27986 Q96L73
Q99569 P33176
Q9H0M0 Q9NUQ8
P42224 Q5RL73
Q9HAW0 Q8WYQ9
P31947 P08519
P16070 Q9BUT9
P46531 O60504
P33240 P30926
Q12834 P21802
O43150 P20963
Q13485 P49137
P42285 Q13393
Q99459 Q13480
P45983 P05089
Q14643 P06702
P07384 P55789
O60341 Q13571
Q9NRA1 Q9UKX2
P31749 Q15831
Q9BZR8 Q01844
P15923 Q6NZY7
P61981 Q9Y6K9
Q9UI14 P48742
P35222 Q8NFH8
O14786 Q14677
P06241 P16871
Q12959 O75475
P23528 Q05586
P19388 Q14978
P24278 O60391
Q9P0T4 Q14517
P51813 Q9NR46
P11274 Q03014
P45984 Q14332
P02458 P06127
Q92841 Q9H299
P60953 Q9Y597
Q96KG7 Q8N684
P46108 Q96AQ6
O14641 P06401
Q15303 P35520
P25116 P16473
P17252 P54253
Q03405 P49795
P28482 P29597
P68400 P42768
Q14686 Q13239
Q13889 O75533
P56270 O00198
Q15654 P51693
P22455 P38435
P60709 P13501
P29590 Q9P296
Q09472 Q96ED9
O60894 Q9UHF0
Q8N6Y0 Q96T60
P07384 Q00597
P04637 P82650
P16220 Q13177
P21246 P10586
Q96MU7 Q9HBA0
