Q9BQ66 Q9BT49
P32881 P48551
P62805 P24522
O00212 Q13485
P63165 Q13569
Q6IAN0 A0JLT2
P13349 P15923
P55327 O43399
O43719 P13984
P31645 P27797
Q9GZS1 O15446
Q9Y5X5 O43612
P52434 P62875
O15514 P19388
Q9BPZ3 P11940
P51636 Q03135
P02775 Q92879
Q16637 P22087
Q15842 P63252
Q15797 Q01844
P27824 P02730
P04198 P61244
P00734 P05546
Q9BXS5 P16410
P13686 Q8N357
O60383 Q9Y3A3
Q15637 P35637
O00590 P13501
Q96PU8 Q96PK6
Q9UI14 P62820
P62807 P06454
P50749 P01116
P84022 O15198
Q99731 P32248
P04637 P27695
Q9BV44 O95777
Q86SG3 Q96EP5
O00401 P60953
P07288 P12272
Q9BUN8 P04439
O00299 P0DI81
P28223 O00303
P02511 O75390
Q13867 P47914
O14893 P62314
Q9UNI1 P08519
Q13485 O15198
Q96EB6 Q9UBP5
P48039 P26641
Q01959 P14416
Q9NQX5 P30281
Q16637 Q96HA8
Q13158 Q9HAV5
O95218 Q01081
O95400 P14678
Q6NUQ4 O15116
P21453 P63096
O95166 Q99928
P62807 O15315
P10645 P00747
P00747 P13726
P42127 P32245
Q9Y5Y5 P40855
P05386 P56134
P63167 P04406
P26368 Q8N684
Q8N6I1 P84022
P00747 P04196
P50616 Q15797
P48549 Q92806
P09341 Q16570
Q9Y6M9 Q99689
Q15366 Q16629
P02775 Q9UBW8
Q01469 P31151
Q5XLA6 P29466
P04406 P15927
P23946 P01011
Q14232 P18089
P01111 P10415
O43541 Q15797
O14503 Q9C0J9
Q9UNN4 Q02535
Q9BU61 O15116
Q96B01 Q06609
P78358 P79483
O60551 P04637
Q86SG3 Q15038
Q9Y4Y9 O15116
Q99081 Q02363
P00918 P02730
Q9Y4Y9 P62310
Q9UI14 P62834
P41134 P13349
O43633 Q8WV92
Q9UKR3 P08697
P49354 P62745
O95257 P57060
Q9BWH2 Q9H1I8
Q8WXF8 Q92851
Q9NV56 O95619
P52434 P53803
P08754 P13987
P23946 P21583
O14717 Q7L5N1
P28074 Q99436
P08709 P13726
P78560 P42575
P15172 Q13485
Q16594 Q15545
Q02363 Q5RL73
O95751 Q96GM5
O15116 Q16637
Q15424 Q14103
P0CAP2 Q9BQ04
Q9Y4Y9 Q14103
P11940 Q14103
Q96AQ9 Q96EY1
Q9NZD8 Q9NTM9
P84077 P26641
Q9NT62 O95166
Q9NQT5 Q92945
P04637 P19338
Q9Y3C0 Q9UL45
P55212 P49768
O95136 Q14344
Q9NQ87 O96004
P29803 P11177
P17787 Q15822
P0CG47 P30304
Q53FA7 Q9BWH2
Q12988 Q9Y3C7
P19387 Q92804
Q9NTM9 Q9H1I8
P11488 P25116
O15297 P19338
P54368 P11926
Q15843 P61086
P08246 P25116
Q9NV56 Q9HAF1
P02792 O15198
Q07817 P99999
Q6EEV6 P11310
P50616 P84022
Q8IUM7 P27540
Q96HA8 Q9UL45
Q15696 Q01081
P32969 Q8TB05
Q96BD8 Q9UL45
P05305 P25101
P39748 P26641
Q15459 P84022
P14672 P23528
P63146 Q9Y3C7
Q13952 P23511
P04637 P29965
P51116 Q9BQD3
Q8WV24 O15371
Q13485 P62987
P25208 P23511
P62917 Q11203
O77932 Q15024
P18615 Q15836
Q16594 P38432
P11831 P15923
O14893 P62318
P27540 P35869
Q9GZM5 Q9BSR8
Q9H081 Q96IY1
Q16665 P61244
O75915 O60831
Q15038 Q9NY61
Q99598 O95257
Q9NVP2 P62805
P27701 P08962
Q07817 P02511
P52298 P55010
Q92597 P83731
Q8TF74 P42768
Q15796 Q02078
P08621 P02741
Q5VTL8 P61981
O00590 P51671
P10523 P35368
Q96RI0 O00254
Q16559 P15923
P35348 P25025
P61218 P62487
Q99717 P54687
P55209 P04637
P05154 P00750
P10696 P05187
P21246 Q9H5J8
Q13323 P10415
Q6P1Q9 P49768
P42574 P23588
Q92806 P14416
P41145 P41143
P30740 P08246
O43521 Q07817
Q14814 P27348
P61289 P51116
P25788 P38936
Q9UQN3 O43175
Q86YW7 Q96T91
O15467 P32246
Q9Y333 Q16637
P21246 Q6IB77
P38484 P08758
Q13526 Q99750
Q16665 P04637
P61978 Q5VWX1
P10082 P25929
Q13868 Q9NQT4
O94777 Q92535
Q9UQN3 Q8ND90
P28074 P25787
Q9UBW8 Q9BT78
P41597 P13500
Q9UI14 P62070
Q99814 P27540
Q9NQX5 Q9BQ66
P05155 P00750
P07307 P07306
P12544 P27695
Q06141 P34741
P61978 Q15365
P43235 P29508
P51965 P62253
Q16637 P04637
P42574 P62258
P08311 P25116
Q15796 P62987
P24390 P84077
P25685 P15559
P24158 P25116
O14558 Q9UJY1
P62380 Q00403
P36405 O75695
Q13432 P63279
P61970 P62826
P84077 Q99541
Q8IY57 P04198
P29466 P49768
Q9NQ87 P61296
P84022 P0DML3
P55854 Q13569
O43808 P40855
Q96BI3 Q9NZ42
Q9UHV9 Q9NQP4
P11597 O15145
O75056 P21246
Q9NZD8 Q53H80
Q96AE4 Q13155
P42574 Q07820
P23528 P63104
P04899 P11229
P52815 Q9NW97
P21246 Q6P1K2
P63241 Q9BU89
Q7L5N1 Q9BWC9
Q6EEV6 Q15181
P26641 P20827
P55316 P84022
P04437 P27824
P33240 Q9UKR5
Q9BPX7 Q70Z53
Q02535 Q99081
P61978 Q96PU8
Q99750 Q96HA8
Q92597 O95573
P63211 P08100
P13984 P35269
P21741 Q02543
O75508 O60637
P00747 P55085
O75817 Q16637
P63165 Q06609
Q15181 P04637
P50616 Q99717
P61956 O96020
Q7RTS1 P15923
Q96HA8 Q9BPX1
P38432 Q96EY1
P84022 Q15796
Q9NWA0 Q96G25
P25025 O95837
P30101 P11166
Q12981 P54920
O75554 Q07666
P25686 P62987
P22748 P48751
Q99717 P69892
O43617 Q9UL33
Q8WXF8 O75618
P07766 A0A5B6
P25105 P32121
Q7Z7C8 Q12962
P06858 Q7L5N1
Q99598 Q96HT8
P62308 Q8WXD5
Q9Y240 P21583
O95169 P35080
P61247 P04179
P23945 P0CG47
Q96EB6 Q14469
P25788 P14678
O60383 Q6P1K2
P52797 O95084
Q01844 Q8WWF6
P20151 P35237
O75888 Q9Y275
Q7LG56 P23921
Q06141 P05451
Q01844 P46926
Q9UKY0 P08865
O00590 O00585
P19387 P62875
O60704 P51685
O95977 P63096
Q9Y2Q5 Q9UHA4
O14732 Q15011
O75618 O15519
Q96G25 Q15369
P34995 O14684
Q14201 Q9UIV1
P30990 P32121
P14866 P61978
Q9C0J9 P15172
P27348 P30305
O43633 O94818
O43516 P42768
P24158 P01584
P38936 P62820
P63104 Q16613
Q9HB90 Q5VZM2
P55211 Q07817
Q9H0Y0 Q9H1Y0
P49286 Q15084
