Q7Z444 Q9P2M4
P50238 Q8N3F0
P02724 Q8WUT9
O43313 Q76KD6
P51151 A6NIJ5
Q9P2H0 Q86XG9
Q9UBB4 Q14765
O75310 Q6IV72
O75475 Q6IEE8
Q9BQS2 Q9H0K6
P02792 Q08AF8
Q8NDX1 Q9BUN1
Q96PH1 Q6IAA8
Q96C19 P52564
Q15669 Q9UHF3
Q5TCZ1 Q8N159
Q9NWW6 Q8NCN4
P21796 Q9NXH9
Q9BZQ8 P55212
P23771 P40938
O94805 Q5SR53
O15131 Q16595
Q5SQI0 P28329
A2RTY3 Q8IY18
Q8N393 P62081
P0C025 Q969K3
Q9HB07 P49736
Q7Z6L0 Q9H4A9
Q9BSJ2 P02794
Q9NWM3 Q9NS91
Q7Z5H3 O95243
Q6P444 Q92522
Q49AM1 Q8N9R8
Q8IV03 P62308
P51786 Q8IZU1
P09936 Q96GQ7
Q9NPC6 A6NI15
Q9H7X3 P11509
Q8WU08 Q6ZW61
Q93009 Q8N4T4
C9J798 Q9BXF6
Q5T124 Q6IN85
Q96J86 Q96KP6
P28331 Q7RTU0
P35240 Q6UX06
P49703 O94844
Q96MR7 Q02539
P00491 P63131
Q9NRA8 Q8N1A0
P21266 A6NFU8
Q99687 P60842
Q2VPB7 Q14451
P0DJD8 P52435
P46439 Q9Y4G2
Q8IY31 B6SEH9
Q8IZP1 P43364
Q7Z6J0 Q9Y2L8
Q9Y6Q3 I3L0S3
Q9UBC5 P33993
Q6UWP8 Q9NYT0
P51523 A8K8V0
Q9UK10 Q96DA2
P19429 Q9BZF1
Q96MN9 Q8IX01
Q8TBY8 Q96HD9
Q9NVA2 A1IGU5
Q14722 A1Z1Q3
Q8WU90 O00233
P82979 F5GYI3
Q9NPI8 Q5SQQ9
P07948 Q8IWS0
O15151 P28347
Q9ULH1 Q8NEN0
Q13470 O00178
Q96A56 Q9UQQ1
Q8N8L2 Q13642
Q8TEE9 P16662
Q8N3R9 Q9UFP1
P30291 Q6ZMN7
Q99592 Q9UP52
Q96NL3 Q9ULV3
Q6ZN11 P21399
Q8N912 P07316
Q5TEZ5 O76021
Q6IPR1 Q6PCE3
P20265 Q96S65
P22455 O14964
Q4KMG9 P10635
P56282 B0I1T2
Q9GZR7 Q9UJF2
Q9H2C0 Q93086
Q5MIZ7 Q8TAL6
Q8N1P7 P55008
O14753 O14593
Q08AF8 Q03936
Q9UFB7 P28845
Q9UJW7 Q9H8W4
P51956 O15151
P20142 Q15928
Q9NQW5 Q9UHW5
O95816 Q8TES7
Q9BQI3 Q8IXL7
Q8TF46 Q9NQU5
P49588 Q9Y228
Q8WTQ7 Q8WVD3
P80404 Q49AR2
Q15554 P86478
O95678 P17081
Q6P179 Q8NEN0
Q9Y4Z0 Q8N7H5
Q9Y2D4 A6NCC3
Q96LX7 P09622
Q6B0K9 O75955
Q9H5X1 Q9NYK6
Q9Y5P4 Q96HM7
Q2TAP0 Q9H0V9
Q16828 Q5TA31
Q8TED9 Q86XT2
Q9UQR0 P51589
O15155 P52790
Q53GI3 Q96ST8
P0CG41 P14651
Q7L099 O14713
Q99832 Q8N271
Q03111 Q5TAP6
P0C874 P20853
Q8IUF8 Q8N0V5
Q96CN5 O14641
A6NK59 P12955
P51690 A6NI79
P16383 Q9Y2E6
Q01064 Q96JJ3
Q96IU2 Q8TC07
P36404 Q92925
B2RPK0 P08047
Q86YT6 Q9NX09
Q14525 P0CG29
O15266 A5LHX3
Q9NR30 Q8N302
Q96N11 Q9Y3E2
Q8N567 P60323
P55010 Q8WVV4
Q5JX71 Q6B0B8
Q16612 Q9NZH5
Q8IZS8 Q8WYA0
O95503 P05113
P62745 O43504
Q99674 P54652
P40616 Q9P2S6
Q8TF21 O60828
A0A1B0GUA7 O60759
Q9UK45 Q9NWU5
P45880 Q9UJY4
Q5HYI8 P43155
Q58F21 P51955
O76042 Q9H7S9
P56915 Q6T310
Q8N573 P0CE72
Q8TB03 O00141
Q9NVL8 P49760
P40933 Q8N4F7
Q8IZP6 Q9Y5P8
A6NFU8 Q8N8I6
P35998 P50876
Q13572 Q7L2Z9
Q14186 O15270
Q8TCX5 Q9UK41
Q96F85 Q9UJD0
Q9UIJ7 Q60I27
Q5VV41 P41091
Q9P0J0 P07195
Q8NI77 P16402
Q01449 P40939
Q8TF20 A6NCQ9
Q96PM5 Q5FBB7
Q8WVJ2 Q9H7J1
Q8TEE9 Q70EL3
Q9BWC9 Q13501
P13725 A4QN01
Q9BY11 P35270
O00634 P21291
P54252 Q14149
Q86VY4 Q9Y235
Q9BR61 Q14CS0
Q8N9U9 Q8TDD1
Q05DH4 P21549
P49418 Q14596
O95741 Q9BXI2
Q9H1A3 Q8TD19
P59074 Q6PJ21
Q69YU3 Q15784
Q8IY51 Q9H5V7
Q6P1J9 P18545
O43448 Q5VTR2
P32881 Q9UKS6
P17023 O43861
Q8WXD2 Q8N118
Q86Y01 Q2TBE0
Q9UP83 Q6ZN92
Q8WWW8 Q9NQ29
Q16620 A8MXZ1
O43895 Q9H293
Q14236 Q16828
Q96MG7 A6NHL2
Q96A05 Q99962
Q8N271 O94887
P42773 O43304
P40429 Q8N143
Q8IYE0 P30305
O95780 Q9H4E7
Q6NUR6 O15391
O95863 Q86UD1
Q8WUZ0 P09630
O60264 P17036
A8MUH7 Q15067
O60504 P31271
P22736 Q16254
Q9Y6S9 P0DMU8
Q9Y4Z2 Q08345
A6NC57 Q6ZUS6
Q2M3G4 A0AVK6
Q9ULJ6 P0CW23
Q15327 Q6P2M8
P52657 P61201
Q86YF9 Q9BYJ4
P15173 Q01105
Q495C1 A6NEC2
P49789 Q9NV35
A4D2B8 Q3B7J2
Q6ZUG5 Q53H47
O95619 P02100
Q9BRX2 Q495M9
Q969E4 Q9NQ48
P14136 Q6AZZ1
P61201 Q5EBL8
Q10589 A6NHL2
O95399 O60268
Q8IYB1 Q9NZC9
P61550 O75564
P11308 O00442
Q9HBU1 Q8TCD6
Q9NQY0 Q96SB4
Q14849 Q9P2G9
Q8IY84 O43299
O43427 P36956
Q8NB46 Q9Y3C5
P18031 Q9UHN1
O43247 P21695
Q8WWW8 B3EWF7
P57768 Q8IYU8
Q92730 P42338
Q96KN3 Q17RN3
O60393 Q13772
Q86SG5 Q96EU6
Q8TAQ9 Q8WV92
Q9BR46 Q9Y5Q8
Q8N184 P53350
O43448 P52952
Q9NX70 Q9UM22
P08567 O60732
Q9Y3Y2 Q96KN2
P04075 O14813
P57772 Q96RP9
Q8N782 Q8TBZ5
Q309B1 Q9H3E2
Q684P5 Q8TDB6
Q8IYS2 Q13487
P26885 P56277
Q96LJ7 Q9Y4J8
P49116 Q8IWT0
Q99856 P14415
Q14296 P46952
P13797 P23109
P62826 Q9BY43
Q96QT6 Q96NW4
Q14511 P84095
P48741 Q14593
Q9HC16 Q6UWP2
Q0D2H9 Q9UBL6
Q96LR5 Q9Y2L1
Q9BVG3 P17752
Q5T6S3 A6NNH2
Q99594 Q96EG3
P51451 Q9H2A9
A8MT65 Q9UPN7
Q8TCI5 Q9UET6
Q9Y3X0 Q6P4E1
O76013 Q96EG1
O60711 P17174
Q8WY91 Q8N3R9
P52951 Q9UMX5
Q14532 Q96N16
A8K8V0 Q6DN90
A8MVX0 Q9Y4E5
Q14139 Q8NHU6
Q96PM5 Q8IV20
Q99865 Q9UN36
P83436 P31269
P35638 Q9H0A0
Q8NEJ0 A6H8Z2
Q969T9 Q9UL25
P0CI25 Q6NZ67
Q7Z4V0 O43422
Q5VTM2 Q9UF33
Q8IYN0 Q96GY0
Q6A163 P55060
Q9ULN7 A0A1B0GUU1
P27144 Q96B02
Q96QC0 Q01524
Q7RTU5 Q9NRH2
O43559 Q86VQ6
Q8IX94 P41226
P35080 Q3B820
O00506 O75843
Q6VEQ5 B7ZBB8
Q96DU7 Q9BY31
Q8IUY3 P24752
Q9BS31 Q8IX94
Q9BQA5 Q06124
Q5TFG8 Q8TDF6
P13639 Q86YE8
Q8WWF3 P48454
O95140 Q3KR16
Q9UPQ4 P27216
Q9NQC7 Q9BXL5
Q8N769 P48507
Q9NY47 Q86XI6
P54619 Q96A09
Q9P242 O76074
O14593 P15622
Q9H204 Q6ZSB9
Q96DC7 P14923
Q8TBB5 O43435
P30153 Q32M88
Q96CA5 Q9UP65
P25092 Q9UP52
P58004 Q9NQ48
Q68DL7 C9JLR9
P36405 O76050
Q8TF21 Q8N635
Q8TD55 Q8NCK3
Q96GI7 Q9UGK8
Q14680 Q9NZL6
Q14642 Q5VU69
Q86YR7 Q9H7H0
Q4FZB7 Q9NS56
Q8TCB0 Q9BZA0
A7E2U8 Q9H169
Q9ULA0 Q8TD55
Q5BKZ1 Q6P179
Q96C34 Q96M61
P28702 Q8TEE9
Q6IAN0 Q96F24
Q9NVR0 Q9NV92
A1X283 Q969Q5
P0C5Y9 Q8WV37
Q6NZ36 Q9H0X9
Q9HBY0 Q9Y6U7
Q8TEX9 Q5VIY5
P16415 Q7M4L6
Q53G44 Q9Y5M8
P22607 P34931
Q8N693 Q8TAU0
Q9BPZ2 O75676
P43363 Q96EG3
Q8NEG2 P39023
Q6ZTQ3 Q6PF04
O00592 O60688
Q96M34 P41743
P13994 A0AVI4
Q86TL0 Q6PCE3
Q9UBI6 O95149
Q96N35 P0CJ86
Q0VGE8 Q9UBU8
Q9HCR9 Q9UPU7
A6NCI8 Q9NZV6
P29376 Q13418
Q9UKT4 Q96H79
Q9NR55 Q02086
Q33E94 Q8IY63
Q92670 O14950
P36404 P68036
O00182 Q13562
Q9NUQ6 Q16659
O75808 P22607
Q8IWB1 Q6P1L8
Q8NG68 Q96SF7
P62318 Q5FYB1
Q15256 Q86SH2
P23919 A1L190
O15068 Q9NTG7
Q9Y2T7 Q9NRJ1
Q9NYL5 Q5VWK0
O75449 P10696
Q8IYT2 Q9ULK6
Q96BM9 C9JQI7
Q96S53 Q9BZ19
O43918 Q8NEM8
P49450 Q9BXU0
Q5VWP3 Q96NA2
Q9UBC1 P36897
F2Z398 Q68DL7
Q92771 P86496
Q5T7N2 A7E2U8
Q07352 Q0IIM8
Q9BZF2 P46459
Q9UKS6 Q92565
P63162 Q9C0E2
Q16772 Q9H714
Q96HZ4 P78316
P08686 Q9NVC6
Q53TQ3 Q8N3X1
Q15283 O95201
Q86T65 Q8N4Z0
Q8WUY9 Q8IZJ6
Q5TG30 P15927
Q6ZMZ3 Q8NHR7
Q8NEK8 Q5VZP5
Q9UKV5 Q8NBQ5
Q8N8L6 Q9H9T3
O00214 Q5T2T1
O94887 Q5VVJ2
Q14094 P29034
P05091 Q9HB58
Q9Y6C9 Q96N11
P43351 P20591
Q9NYA3 Q9BXU7
P25705 Q9Y2N7
Q6UWP8 Q9Y5A7
Q86W11 Q9UK11
P38919 Q9NQA5
Q16659 Q3KP66
Q99969 Q9Y673
Q8WWY6 Q9NYY1
Q5JNZ5 O94874
Q32M84 Q7Z6L0
Q5VYV7 P62699
Q99440 C9J3I9
Q92564 O60566
Q9H0T7 P63126
Q6JQN1 Q8N8J0
Q8NG04 P04183
P49441 Q9BRH9
Q9NWW6 Q9Y343
Q99811 P20339
Q9BYN8 Q6NXS1
A6NK58 Q8NCE2
Q13470 Q9BPY8
Q969X0 O75112
Q8N344 P62333
B3KU38 O15146
P49848 Q5T0J7
A6NHS1 Q70EL3
P11511 Q9H4E5
Q8IV01 Q9BWM5
Q92997 Q9HD90
Q3KP31 Q9Y5J3
P49419 Q9P2F5
Q9UPV7 Q01581
O14730 Q6ZT62
Q8N442 Q9BYN0
Q8N4S0 Q96L03
Q13618 Q96NN9
Q8WXK1 Q7RTU1
Q9NW61 P52333
P59074 Q9BXL7
P47929 Q15560
Q9Y2Z2 Q9NQZ2
Q8TAV0 Q9Y5Y2
Q6Q4G3 Q9H9K5
Q6UWP8 P0CB33
Q8N5Y2 Q9UBN4
A8MQ27 A6NIX2
Q96AJ1 O95237
P35590 A6NFD8
Q9UK58 P62699
P43353 Q8NAC3
Q96SB4 A6NNZ2
Q9H628 Q569K6
Q8IZU1 Q8IWZ5
O00451 O14910
Q8WXI3 P05177
P86452 A0A1B0GUU1
P09496 Q96LW1
Q8NB78 P49840
Q92567 Q15973
Q8N9X3 Q6ZRI8
Q13705 Q8N998
Q6ZUX3 A0A1B0GVH7
Q86SX3 Q8TB36
Q6ZRK6 Q8NEG0
Q32M84 Q9NZN3
Q8NEU8 Q53R41
Q9HAU4 Q13424
Q7Z6L0 Q6PGQ1
Q8WV92 Q8NEN9
O75030 Q86XH1
O94887 Q9Y6F9
O95147 Q5TYW2
Q9Y2D5 Q5TG30
P57082 Q5SXM1
Q92901 O14545
O60237 Q6I9Y2
P30050 Q6NVY1
Q9Y5K8 P62684
Q9NSC5 A0A1B0GTS1
P41208 Q9Y572
Q8IYJ2 Q06730
Q01432 P78371
A6NK02 A8MW92
P52738 P06865
Q13490 Q96M91
Q5JW98 Q8WVN8
P48378 Q7LGA3
P26641 O75911
P08263 Q9NUK0
Q9BUH8 Q6PIW4
Q96HB5 Q6ZR52
P08651 Q9P258
Q9UI43 Q9NSK7
Q9UHG3 Q9Y272
Q9BXM7 P14927
Q9HB63 P24298
A0A1B0GUV7 Q9Y5Y2
P59051 Q8IYD2
Q9C0C6 Q7Z6K4
Q6IPX1 Q8N0V1
P78424 O94876
O75469 Q2M385
Q3MHD2 Q9NR28
P00367 Q8NCN4
Q14161 P51668
Q5JTZ9 Q9Y3B9
Q68CQ4 Q15311
Q9HBU1 O95847
P17081 Q9Y2D8
O76015 Q9H0R5
Q8WUJ1 Q86UF2
Q15019 Q8N4U5
Q9BX10 Q96PX1
P24539 Q96QS6
A8MVU1 A6NCW7
Q9Y4X4 A8MTA8
Q01449 P0CJ86
Q8TC07 Q6PIF2
Q8N3Y7 Q8NA19
Q9NR64 Q7L8C5
A0A087X1C5 Q9NX05
A8MVU1 P47756
Q12772 Q9BRR0
Q6ZMU5 Q9BYU1
O00764 Q9HB31
Q8IYW5 Q9GZT6
Q9Y6R0 Q9UP52
Q6NT76 Q8IYX0
A6NGB7 Q96A59
Q9UQQ2 P61218
Q86Y01 Q99583
O00541 Q9Y295
Q9Y4P9 Q8N1B3
Q96CP6 Q96GY0
Q9NPB0 Q13905
Q5VVS0 Q8N4S9
Q7Z5H3 Q969P5
Q9C019 O15116
Q71UI9 Q8TAV3
Q9NXS3 O43294
Q15051 Q7Z695
P41247 Q5T2W1
Q9NUQ3 Q3ZCX4
Q9BYN8 P34059
P51589 Q9H2K8
P41247 Q16288
Q8WUB8 P00390
P56182 Q6PID8
Q96LX8 Q9H3E2
Q8N431 Q9Y2U9
Q96CU9 Q9C0K3
Q16665 Q5C9Z4
Q9H213 Q8N9W4
O00408 P11802
Q6KB66 Q86XI2
Q9NZH4 A6NMD2
Q6IB77 Q9BZ68
Q7L4I2 Q8NBQ5
Q9BR84 P20585
Q15907 P61586
Q12772 Q9NTX7
Q9BWG6 O75911
Q96NL0 Q9Y2B2
Q9P2G4 Q9Y2T7
Q9H4L5 Q9NRG4
A2RU37 Q9BZM3
Q92613 Q6A162
Q8IZQ8 Q9H7Z6
Q9UPV9 P0C5Z0
Q14585 P19113
Q9P0M2 Q8NBN7
O95704 Q96CN4
O15119 Q9BSK1
Q14134 Q6UWH4
Q07021 A0A1B0GUA6
Q99469 Q8TF61
P29966 Q15486
Q96RP9 Q8N9U0
Q9H213 Q00534
B2RPK0 Q96DT7
O75676 O75807
Q15582 Q93098
O14737 Q9BUV8
Q00G26 P11309
P07864 A8MT70
Q13190 Q8NFU0
Q6P996 P83731
P10721 Q96BN6
Q9UK10 A6NFY7
P53816 O43182
Q9Y2Z2 O14772
Q8N5U0 Q8TCG5
Q6Q788 Q9H8T0
P14550 Q96JK9
Q8TAQ9 Q15942
O94875 P31751
Q4G0U5 Q8N5C6
Q9Y2C2 P10412
Q9Y3C8 P51858
Q9HAU0 Q9Y575
Q5T1V6 Q8IYB9
Q6IV72 Q99676
A6NHC0 Q6P0A1
Q99963 Q8N8Y5
Q15928 Q06187
Q9BRA0 Q9NY47
P63121 P06703
P78545 O95365
Q13435 Q9BV47
Q99523 Q9NVU0
Q96EF0 Q9BUH8
Q14929 A6NKX1
O14818 Q5T7P8
Q6T311 P40425
Q9NZD2 Q9BYZ2
O43187 Q5SW24
P35218 Q93100
Q9H4R4 Q92530
O75541 Q9H981
Q96PC2 Q9Y5P4
Q9NZJ7 P32242
Q96DX8 Q15019
P51946 Q99708
Q6UXT9 Q86V87
Q15052 A6NFE3
P43699 Q15569
P16401 Q16533
Q9Y6A2 Q15582
Q9BZL6 Q9Y6Q2
P54136 P46063
Q9UHL3 P80303
Q96HE8 Q9H8M5
O95741 P19878
Q9Y2M5 Q9UIL4
P61224 O95704
Q13126 P51606
P78412 Q8NFD4
P0DJD8 P14921
Q13795 Q9BWU0
Q9Y276 P45379
Q86XP3 Q969S9
P62714 Q494X3
P50579 Q9Y473
O60239 Q13155
Q96I99 Q56A73
Q86SE9 Q16666
P19012 F2Z3M2
O95551 Q9Y4E8
O75223 Q9UGM6
A8MTY0 Q92502
Q8IVT5 Q8NE01
O14662 Q9NZ32
P24385 Q9H992
P49917 A6NEC2
Q9P107 Q9NS37
Q9NRG7 Q969F0
Q86VQ6 Q9HC38
Q99593 P53567
Q5W0V3 Q9Y5W9
Q9H871 P23526
Q569K6 O15481
Q96MN9 Q9HD43
Q15942 Q96BW1
E9PI22 O95759
P17010 Q96JZ2
Q8NBM8 Q9UGI9
Q659A1 Q8TF64
Q9NWZ3 P29966
Q96A49 Q9Y2R9
Q9Y6A9 Q9NUV7
Q13115 Q9UFV1
Q00536 Q2M329
Q96MD2 Q9Y508
Q9Y2J2 O95397
O95704 A8MZA4
P60604 Q9H478
Q6P4E1 Q76G19
Q96E17 Q2WGN9
Q8TE69 P11362
Q5JRX3 P27694
Q5VT79 Q8NE01
P05129 Q6NZI2
O76050 Q9BT23
Q15637 Q8TAP4
Q8IXT1 Q14995
Q9UMX6 P13928
Q9UJV9 O75110
P37108 Q8N228
P42574 Q9NVG8
P54278 O14757
O60284 Q13470
Q8IVM0 Q8N2I9
Q8IZ13 Q5SQ80
P52198 Q8N9U9
Q86YI8 B1AK76
A0A0J9YWL9 P63128
O15457 O95954
Q7Z736 P07902
Q6NVH7 Q9NX65
P52292 O43309
O43272 Q6IC98
Q9H0X9 Q96SF2
Q8TBJ5 Q9H426
Q86TM3 Q14CX7
Q6ZMJ4 Q8WU10
Q8WYJ6 O60237
Q1KMD3 Q6P2M8
Q9H568 A6NHS1
Q9BQI6 Q9UGU5
Q14938 Q96N06
A0A183 Q6P3W7
Q9H4M7 A4FU28
Q9UQ90 Q9UID3
Q9UQ07 Q17RD7
Q93009 P05091
Q9P1U0 Q66K74
P39210 Q3ZLR7
P22415 Q96KX1
Q8IZC7 Q9UBF2
Q3ZCM7 P50570
Q9Y678 Q8NCK3
Q7LDI9 Q68DY1
P0CJ92 O94875
Q13077 Q14588
Q5VZQ5 Q96GG9
P51948 P49770
Q8NAT2 O14492
Q96F10 Q92786
O00189 O00258
Q92585 Q96FA3
O96017 O75475
Q93100 Q92526
P52198 Q13351
O95416 B1APH4
O43150 P0DMC3
Q14164 Q6JQN1
P0DMU9 Q8NHV1
Q8IV76 P01112
Q9Y2D1 Q8NEQ6
Q96IF1 Q9NZW5
P47736 Q6J9G0
O43930 Q8TC20
Q92900 O00471
Q8IVB5 O15528
A2CJ06 Q8N693
Q9HCE1 P62070
Q7RTU1 Q5JNZ5
P09496 Q32MK0
O76021 Q8IVF7
Q9BYZ6 P34947
A6NLW8 P17544
Q9UKI9 Q9BXS5
P20339 P48443
O60583 Q32MZ4
P16383 Q5VYM1
Q9UJA5 P37059
Q5RIA9 Q9Y692
P17027 Q9NYF3
B7ZAP0 Q12986
A6NGB7 A6NNE9
Q5SQ80 Q96PD4
Q8WXD2 Q9UHA3
A6NNP5 Q9P258
Q969E2 Q16534
Q13795 Q00444
Q9BZL6 O75781
Q9P2G9 Q6QHK4
P07437 O15344
Q9NVF9 P11309
P09067 Q9BT92
Q9UQ10 Q13574
Q6NSI1 Q9H0C5
P13631 Q2TB90
P27037 Q5D0E6
Q9UL03 P48059
O15488 Q7RTU5
Q96K19 A6NKD9
Q15329 O43570
Q7Z4I7 O43633
Q8N7W2 Q8N228
Q6NUP7 Q96KG9
Q5FWE3 P49795
Q96MW5 Q96KN3
Q6DRA6 Q96NX9
Q96SF2 P02654
Q9BYD2 P00505
A0A1W2PPG7 P09972
O94782 P68371
P63173 Q8WUT9
Q9NUJ3 Q12894
Q8N5S1 P14317
Q8N6C7 Q96ED9
Q9UL18 Q96H40
P0DMU8 Q01101
Q9P2Y5 P56178
Q96PX6 A6NKD9
Q9BTY7 Q07065
Q9Y442 Q4UJ75
Q5TC63 Q9Y2D4
Q6H8Q1 P17081
Q8WUS8 Q9UBB4
Q9UKY1 Q13404
Q8N3F0 Q9UNE2
O00327 Q7Z614
Q0D2K2 Q99801
Q9Y6Q5 Q16740
P37108 Q8NHS9
Q2M2I8 Q5T2W1
Q6UWJ1 Q8N142
Q96CS7 Q6VVX0
Q5T2S8 Q6PID8
Q6ZMT1 O95057
Q6PH85 Q15438
Q8N0Y7 Q8IYJ2
B7Z6K7 O00541
P04054 Q9NV31
Q5JVG8 Q8IZJ4
Q09FC8 O60266
Q9UL59 Q6PEV8
P49184 Q9H2B2
Q8NET8 Q9BRQ0
Q15916 Q7L5Y1
Q01538 Q8NCV1
Q8NG68 O14503
P0CL84 P62310
Q8N8H1 P36894
Q07352 P55197
Q9Y2R0 Q12840
Q9P1W9 Q8NC51
O15117 Q8NA54
Q5SW96 O75478
P07355 O75127
Q8WXK3 Q9BXB5
Q9H714 A6NP61
P07199 Q8WW24
Q13011 Q5VUE5
Q96T51 Q9NV66
Q8N3F0 Q96RP9
P43357 P18545
Q99728 Q8NAP8
Q6UUV7 Q6P435
O43781 Q9BTA9
Q96NM4 P50539
Q16644 P40763
Q9BWG6 A6NE82
Q8N118 Q9UBB6
Q9UBC2 Q02978
O15164 A0A1B0GUU1
Q9Y252 Q9H0K4
Q9UM19 P08237
Q8WYH8 Q9P035
P18146 Q9BXF6
P22612 Q9NQY0
Q16537 Q9NSY2
Q8IV01 O00429
Q8TD90 Q9Y365
Q9HCY8 Q7L4E1
P43361 P48556
Q9H714 Q9HBH9
P04075 P86478
Q8N1L9 Q05655
Q9NSN8 Q9UKI9
P20393 Q9BRV8
Q8N3Y7 Q8IZW8
Q8NER5 Q2M3G4
Q8NFD4 Q8NCA9
O43299 P51159
Q86VE0 Q9NZU7
Q8WYQ4 Q8NHU0
Q7L8J4 P43268
Q9Y2U9 Q8WU10
Q9Y530 A6NKX1
Q8N9N2 P62684
P28370 P0C7P3
P43355 Q8NCT3
Q5SVQ8 O95721
O60894 A6NLU0
P51523 Q8N1B4
A6NFI3 Q9Y473
Q9P0N9 P25963
Q9NQ92 Q9BX82
Q9H0T7 Q9Y2S2
P0CB47 Q8WY64
Q9UN81 Q9HBT7
Q9UNF0 Q9Y365
Q7Z3V5 O75157
O95177 Q6IEE8
Q9BPX1 P49257
P68133 P28340
Q8TBZ8 Q9UBI6
Q8WUY8 Q86WC6
Q9UNY5 Q5VUJ5
Q5T2W1 O95361
P49641 Q6P280
Q8IXI1 P0CG38
Q71F23 Q8NBR6
P18848 P49841
P04181 O75925
Q969P5 P61952
P52747 P43155
Q3SY17 P04908
Q9NSC5 Q99612
P56192 Q96N20
Q9Y448 Q58A45
Q8N1G2 Q92618
Q13367 Q5T5S1
Q8N8U2 Q9Y4D1
Q9Y6R0 Q8TB52
O75949 Q7Z4Y8
Q9BX68 Q6QN14
P35240 Q16778
Q9BPW4 Q13164
O43542 P49758
Q5T0F9 Q8WWL2
Q8IXI2 P56915
Q9UG22 P07108
Q53T59 Q96MK3
Q96DR7 P0C7M6
Q9BR46 Q16623
P24385 P53618
Q8N9U9 Q08426
Q86VS3 Q8N3F0
P01116 Q53T59
O60733 A6NLW8
Q9BWV7 O75949
Q99661 Q4LEZ3
Q9BQK8 Q8NFH8
Q9Y4L5 P14555
Q5T440 Q5JVL4
O43570 P04049
B7Z1M9 Q6SA08
Q71UI9 Q9Y224
Q8IV48 P51817
A4D1S5 Q96RE7
Q9UHP6 Q8IYQ7
A6NCW0 C9J069
P07864 Q8NBQ5
P78426 P16435
Q14872 Q96NK8
P07384 Q9BWG6
O95786 Q13387
Q86XP3 Q8IZV5
P52737 Q9NNZ6
Q9NPI7 Q9NZ09
Q96BN8 Q9UHP3
Q9C0E8 P07355
Q8N1P7 Q9NQZ6
Q9UH65 Q7Z444
Q86U10 Q9Y615
Q9UM82 Q13485
Q8TEB9 Q330K2
Q6P9F5 A6NHY2
Q3ZCT1 Q6ZT52
Q7Z4S9 Q9H5Q4
P0CW24 P35219
Q7Z3E2 Q15973
P59095 Q8TB37
O15499 Q9NZ53
Q8N878 P32242
Q9H4Q3 Q15853
Q2M3D2 O75362
Q4VC44 P17735
Q15390 Q9Y6X8
P18545 P62877
Q6ZS27 P20042
A6NKP2 Q969S3
Q05315 O60701
Q8TF20 Q1A5X7
P05813 Q96GW9
B4DU55 Q9H981
O95999 Q9H9T3
Q03154 O75762
O14656 O75431
A8MW95 Q5JRV8
Q15528 O76027
Q9UJY4 Q8WVM0
Q16667 Q13077
B7ZAP0 O00305
P33993 Q5T681
Q86T29 Q9UPM6
Q9P258 Q8N7C3
Q13308 Q9NRG0
P52954 Q13106
Q8NB15 Q8N5C6
Q16621 P49798
P08567 A6NNL5
Q96P71 Q8N4L8
Q14254 Q02548
P51589 Q9NZD2
Q5TC82 Q8TBF2
Q6NXP0 P12525
Q8N9R0 Q92985
P02792 Q92558
Q5JVL4 Q99952
Q8IWF9 Q5VU69
O75431 Q9HBM1
Q71UM5 Q96PN8
Q05315 Q6ZS11
Q9UQB9 Q9NQG5
Q9NYJ8 Q15361
O94955 Q8IVF6
O43541 Q96MF0
A6NKC0 Q92698
P49619 P39023
P61586 Q9NUW8
Q8N8V8 P28562
P61026 P0CH99
P31350 Q9H0U4
Q569K4 P23193
Q8N815 Q6ZSA8
Q8NI51 Q12874
P61020 P27216
A0A1B0GUA7 P49642
Q6QHF9 O95833
Q9UJT0 Q52WX2
A0A183 Q76M96
Q9BPW9 P01574
Q9Y251 Q9HAW9
Q9NVE4 Q9Y6J9
Q86YJ7 Q9HC21
O14640 Q02156
Q53GQ0 Q5T1V6
Q96A33 Q15582
P0C7N4 Q3V5L5
P10588 O95759
Q9NYH9 Q8N7G0
O00178 Q13177
Q9UH17 P0C7X1
P49757 O75223
Q5VSY0 Q8NFW9
P13682 Q8TCY9
Q9GZR7 Q9Y2M5
O75290 Q8IXQ5
Q96JG6 O14905
P53370 P22570
P35914 Q9P2H0
Q00577 P55345
Q9NXL2 Q01629
P02724 Q96N16
Q8TAU3 P62316
Q92988 Q9NSB8
O00238 P20393
Q96T49 Q9NQI0
A6NGY1 Q8WWW8
Q86V86 Q9Y2B1
Q9UQ10 Q9HCU9
P0C2Y1 Q8IV76
Q9NXG2 Q6ZN55
Q8NBQ5 A6NNF4
Q68BL8 Q8NDZ2
Q96FS4 Q9UGN5
Q5VYM1 Q9P2W1
Q8N5S1 Q68BL8
Q8N4T8 Q96N95
Q10567 Q6UWJ1
Q05D60 Q13153
Q5JVG2 Q9Y5M8
Q8NFT6 Q86T82
Q96G75 P16401
Q8WVM0 Q99959
P27448 Q8NHY6
Q5T1J5 Q6ZSG1
P07315 Q8IWL3
A4D1N5 Q8NCA5
Q96H79 P24864
O95983 Q9HD43
Q9UIF7 P35527
O60341 Q9H5Z1
Q9BWW9 Q70YC5
O14929 Q6UW78
Q9Y467 O75474
Q9Y2T2 Q8IXR9
Q9H7M6 Q9H628
Q8IVN3 O43734
