O95476 Q8N9A8
Q96EQ0 O95881
Q7Z3S9 P59991
Q9NZJ0 Q16531
Q9BXC9 Q3SYG4
P60411 Q9NQL9
P60410 Q9Y5Y7
Q9H4L4 P0CG48
Q96HR9 Q99732
Q9NQL9 P60410
Q8N9W6 Q6P1W5
Q9BQ66 Q5TA82
Q9H3D4 P61978
Q12800 Q70IA8
Q07627 Q52LG2
Q6IMN6 P50542
P0DI81 Q8IUR0
P22692 P05019
P40197 P14770
Q9Y4R8 Q9NWS0
Q9NQS3 P60411
Q9UI95 Q9UM11
P60409 O75427
Q92804 P35637
P06881 Q16602
Q9BYQ3 A8MQ03
P63208 Q9UKA1
Q7Z3S9 Q8NAT1
P22392 P15531
Q6QNY0 Q6QNY1
O60506 Q9NR22
Q8N8F7 P21145
Q8WWB5 Q7Z699
A8MQ03 P60412
Q6ZS10 P27449
P09012 Q9BQ61
P40337 Q9UM11
P26715 P21145
O95848 Q96HA8
P49901 A8MQ03
Q9BQ66 O43597
Q9NQL9 Q9BYS1
P60370 Q5TA78
Q9UMX0 Q86VU5
Q99873 Q96HA8
P05019 P22692
Q9BZL3 P27449
O76003 P60412
P27658 Q7Z3S9
Q9BYR5 P60411
Q9BPU9 Q8N4P2
P50542 O75381
P30405 Q96DZ9
Q9BXN2 Q9BSE2
Q9BYR5 Q9BYQ4
P32322 Q99497
P06737 P11216
P05121 Q9UMX0
Q15762 Q92692
P07900 Q9H6T3
Q5T7P2 Q9BYR3
O43765 P80188
Q13242 P62995
Q8TCY5 Q01718
Q9NQS3 Q92692
P12104 O95994
Q5TA76 P60410
Q9UHD9 A6ZKI3
Q07666 P09651
P61165 Q9UMX0
P26371 Q5T5A8
P11464 P01137
P13224 P07359
P06396 P49407
Q9NYB0 O95848
Q8IWT6 Q6P9F7
O43765 Q71RC9
P10144 P14222
Q9NT62 Q7Z6L1
Q13257 Q12834
Q13427 Q8NC69
P0CG48 Q15717
O95273 Q5XG85
P0DJD3 Q9Y5E9
Q01780 Q9NPD3
P60411 P49901
P60410 Q9UHI7
Q8IWZ6 Q9BXC9
P0CG47 P54727
Q14D33 P61978
Q9UBK9 P60409
Q5TA79 P60409
O15144 Q9BR76
P60410 Q969P0
Q8TC57 Q9BT43
Q96I25 P26368
P60410 P27658
O76096 P53634
Q9UKU9 Q8N423
P46087 Q96GN5
P60410 P59990
Q86TG1 Q7Z3S9
P62995 P38159
Q8TBE0 Q08117
Q9BYQ2 P49901
P05231 P08887
Q9BX67 P57087
P61978 P43243
P31321 Q8IYS8
Q9BQ95 Q9Y285
P26371 P48146
Q9BSJ6 P04156
O43765 Q71RG4
Q8NBZ0 Q96EZ8
P24592 Q9UHD9
P14866 P40337
P60412 P26371
Q96JE7 P55735
Q5TA78 P26371
P60409 Q9UGL9
Q9UNG2 Q9Y5U5
P12643 Q6NW40
Q93062 O95967
Q7Z3S9 Q5TCM9
Q9UFF9 Q14106
Q99873 Q9NR22
Q5T7P2 Q9BYQ3
Q9NQX5 Q5VWX1
O00165 Q9ULQ1
Q9BQ66 Q5TA76
Q9NYB0 Q9Y5U2
O43617 A5PLN9
Q6PEX3 P27658
P84103 Q15287
P07510 O43597
Q92504 Q5T7P2
O95832 P09758
Q6IA69 P27658
Q9HCJ2 Q9Y2I2
O95363 Q7Z3S9
P13521 Q9UMX0
Q13426 Q8IW19
P49247 P22061
P60409 Q14554
P05305 P25101
P43115 P60410
P35070 Q96IJ6
Q5NDL2 Q9UKG4
P29218 O14732
Q9BRI3 Q6XR72
Q08117 Q96A72
Q9Y4P8 Q9NUX5
Q7Z3S9 P29972
Q5TA76 Q9BYQ0
Q6ZVN8 P12643
Q9BRI3 Q9NP84
P47884 Q16585
P13073 P00395
Q8IWT6 Q8TDW0
Q9H0R8 P60411
Q03135 Q12809
Q9Y561 P63244
P00492 Q9H1K1
Q9Y2Q5 Q8NBW4
O95751 Q9Y247
Q99795 Q9NUX5
Q9BYQ2 Q7Z417
Q9HAT0 Q15506
P60370 Q6L8G9
Q8N668 Q7Z4G1
Q9H246 Q8N682
O95273 Q8WWY3
Q9NYB0 P61978
Q9BYQ0 Q5T7P2
O43597 O43609
P29460 Q9NPF7
P60410 O75427
Q15415 P98179
Q7Z3S9 P43220
O14817 Q7Z3S9
Q08117 P60411
Q6UXB4 P80217
Q6P5X5 A8MQ03
P26368 Q08117
P46379 O43765
Q6L8G9 Q8NEC5
Q9UQL6 Q13761
Q9BVK8 Q5T700
Q03518 Q03519
Q9BYQ4 P60370
Q8N668 Q15369
Q13829 O15160
P03950 Q03405
Q96NZ9 O43765
Q14498 Q15365
Q9Y388 Q8N5F7
Q9P2X0 O60762
Q9BYE3 Q9BYQ3
P04637 P61978
P08648 Q9H0F6
P07910 Q86SE5
Q9BYQ0 P26371
Q15020 Q15287
O95644 O15294
P26371 Q9UKJ5
Q9GZX6 Q8N6P7
Q96NZ9 Q9UHD9
Q13347 O75821
P60520 P60411
Q9NQS3 Q15223
Q9BZL1 Q9BRX9
P60410 Q9Y223
Q5T5B0 Q9BYR5
Q9BYR5 Q9H2X0
P55957 Q03135
Q9UKC9 P63208
Q9UMX0 A6ZKI3
Q92934 O60238
Q5TA76 P60328
Q96CJ1 P0C1Z6
Q95460 P61769
Q96MU7 Q5VWX1
Q8NE35 P50616
Q9NP84 O43508
Q15777 Q08AM6
P07237 Q8TCT9
Q6P499 Q92838
P02808 Q8TAX7
P09914 P09913
O43704 O00204
P23246 Q9Y2W1
P60409 Q5TA79
Q9NWB1 P54253
P23528 P54253
P17813 P05556
Q14106 Q9UIV1
Q96HA8 Q9BYQ4
Q12834 P30260
P31431 O43765
P04792 P11413
Q7Z3S9 P60411
O75971 Q13287
Q99895 P60409
Q9BQ66 Q9BYE3
P00492 Q96HA8
Q15287 Q9H307
O95994 Q8NEC5
Q8NC69 Q8TBK6
P10321 P43628
Q9NYB0 O14604
P60410 Q6NUJ2
Q96E93 O95214
P08238 Q9UHD1
Q9BQ66 Q5TCM9
Q8N9A8 O95476
Q9BYQ6 Q5TA78
Q99853 P60410
Q96MX0 Q9H8S9
Q5TCM9 Q5TA81
A8MQ03 Q5TCM9
P35813 P49407
Q92844 P61956
Q9NWB1 Q93062
P04066 Q9UHD9
P27449 Q92838
Q7Z3S9 P26371
Q5TA81 Q701N4
Q8N684 P54253
Q5T5A8 Q9BYR3
O43609 A8MQ03
Q01718 Q8TCY5
A8MTZ0 Q96RK4
O43765 P07711
Q9BZ71 P55774
Q7Z3S9 P09603
Q13951 Q01196
Q8WZ59 P0C7H8
Q92575 Q9UMX0
Q9Y3D6 Q9NQG6
P46060 P63165
Q96HA8 Q99873
Q9UHD9 Q12805
Q96RK4 A8MTZ0
P22234 P51116
Q5FWF7 P63208
Q15022 O75530
P63172 Q9H2R5
P63313 Q9NUX5
O43390 Q5VWX1
Q5VWX1 Q96MU7
Q5TZK3 Q7Z3S9
P00734 P07204
Q13363 P56545
P60409 Q5TA78
Q9UJY1 Q9UBY9
P84090 A8MQ03
P0C7H8 Q8WZ59
Q01844 Q9NZ81
O15235 P58062
O95273 Q9NQL9
Q9NYB0 Q8N8S7
Q9BUR4 P38432
P60410 P07510
Q13585 P04731
Q9UHD9 P02745
Q9UMX0 Q96NZ9
P60412 Q8NEC5
P78536 Q13257
Q13601 Q9H171
P01275 P48546
Q9BZI7 Q9Y5S9
P26371 Q9BQ66
P61956 Q92844
Q8IU80 Q6ZVN8
Q9Y239 Q9Y2Z0
Q15543 Q15544
Q3LI76 Q5T4B2
P15151 P60411
Q96AY2 Q96NY9
Q8N983 P51116
Q6UY14 Q5TA78
P38936 P04637
Q7Z3S9 Q9UKJ5
Q9UKA1 P63208
P29692 Q96DN0
P31948 P08238
P57764 Q8NC69
Q9HAT0 Q14D33
O75386 P60370
P26371 Q8NEC5
O43809 Q16630
Q86SE5 Q96IZ5
Q5T5A8 Q9BYQ3
Q13444 Q93062
Q93062 Q9NWS0
P60370 O95363
P27930 P01583
Q9NZ81 P60370
Q5T5B0 P60410
P78345 O95707
Q96EZ8 Q96GN5
Q12834 Q13257
P27658 P60409
P05112 P24394
Q9ULZ3 Q96P20
Q9BR76 O15144
Q14498 Q8N9Q2
Q15762 Q495A1
P38159 O75525
Q9NYB0 Q96A72
Q9H6T3 Q96MX6
P63208 Q9UKC9
P09661 P09012
Q6XR72 Q99726
P19338 P04637
Q9ULV4 Q9BR76
P28799 P20333
A8MQ03 Q5T7P2
Q9BQ66 P60411
Q03135 P51636
P26371 Q7Z3C6
Q5TA78 P60411
Q8N668 Q9NX08
Q08117 Q5JXC2
P14222 P10144
P08514 P05106
P60329 Q8WWB5
Q9BQ66 Q9BYQ4
Q9BYE3 P60410
Q5TA78 Q9BYQ4
Q9BYQ4 Q5TA79
Q08050 O43524
P21145 Q92838
P02689 O95273
O75323 Q9GZQ8
Q16378 Q9UHD9
P80188 O43765
Q9NS86 Q9NYB0
Q9UI95 P30260
Q9NZ01 B0YJ81
Q15046 P08865
Q9H0F6 Q9UDY8
Q9BZR6 Q8IZA0
O75969 Q9BZX4
Q8IX30 P14780
Q9Y6M0 P36952
Q96MU7 P61978
Q8N423 Q9UKU9
P0C1Z6 Q96GN5
P13726 P08709
P25713 Q9NYB0
Q9H492 Q9NRR5
O15160 Q13829
Q8TED0 Q969X6
Q08AM6 Q9NNX6
P30260 O43524
Q9BXI9 O43765
P25116 Q03135
Q7Z3S9 P55064
A8MQ03 Q5TA76
P60410 Q5TA79
O75063 P07585
P34741 P18827
O14763 P50591
Q86XS5 Q8N423
Q96GN5 Q96EZ8
P60409 Q15077
Q9H0R8 Q8WXU2
Q08722 Q9P1W8
Q99932 P33240
Q96EZ8 Q9Y3C0
Q5TGU0 Q9UJ14
Q9BYQ3 P60410
O00180 A8MQ03
Q96GN5 P46087
Q8IXL6 Q9NP70
Q3SYF9 Q08AM6
O43597 Q9Y223
P04233 P61073
Q86SE5 Q13895
P06850 P34998
Q5VWX1 P38159
P60410 Q5T5A8
P27918 O76036
Q96LA8 P00973
Q14D33 Q93062
Q8N9W6 Q93062
P98175 Q9UMS4
Q0D2K3 Q93062
Q9Y223 P60410
Q8NCT1 P30518
Q9NYB0 P12104
P60411 Q5TA81
Q6UY14 Q6L8G9
Q07325 P11686
Q16531 Q96SW2
P41597 Q9BW27
Q07627 Q9H2X0
O95363 Q96DZ9
P26022 P98066
Q9BYR5 Q5TCM9
P52272 P52597
Q14019 Q9NYB0
P38159 Q14011
Q3SYG4 Q8TAM2
O95967 Q9UMX0
Q5TA79 P26371
Q9UK97 Q9Y4R8
Q7Z3S9 P60329
Q17RY0 P50616
O76003 Q16851
Q93062 Q6RSH7
Q7Z3S9 Q9NP91
Q99618 Q9GZU7
P07510 P60411
Q6UY14 Q9BYR5
P25103 P20366
O43765 P78358
Q9NWB1 Q6P1W5
Q96EE3 P55735
P21854 Q8N112
Q6PJG9 Q7Z3S9
P46379 Q9UHD9
P13612 P26010
O43765 Q8WUU8
Q9H3M7 P10599
Q9BYQ3 Q5TA76
Q99638 O60921
O43251 Q8N9W6
Q7Z3S9 O15232
Q99497 P63244
Q5TA81 Q2TAL6
Q86X55 O43809
Q86UY5 P47897
Q9NQX5 P60370
Q7Z5V6 Q3LI72
Q14773 Q7Z3S9
P59991 A8MQ03
P04792 Q9UJY1
Q9BRU9 P60411
Q701N4 Q9NPA0
P33681 P08138
P63208 Q9Y2K7
P32927 P05556
O14613 Q9Y5B8
P39748 P57081
Q15363 P41180
P18827 P34741
P38432 Q13895
Q92838 P21145
Q9BYQ3 Q9BYQ0
P60409 Q5T6M2
O43765 Q969H8
Q9BYQ3 Q7Z417
Q15366 P09012
P22466 P47211
P13984 P46776
Q12841 P01137
P60370 Q6PEX3
Q6NW40 P12643
Q12983 Q9BXN2
P00747 P02749
Q14249 Q8WW22
Q9BYR5 Q5T5B0
Q08AM6 Q8N0U6
P26371 Q9NQX5
Q9BQ70 Q9BUN8
O43765 P09681
Q9H6T3 P07900
P49901 Q9BYQ0
Q06520 O43704
Q9NYB0 Q5JTV8
Q8WTP8 Q08117
Q9NZD8 Q9NTM9
P37837 Q9NYB0
O75531 P50402
Q9NWQ8 P63244
Q14194 Q16555
P49810 Q9BQ95
Q8TAX7 P02808
Q5TCM9 Q9BYR5
P25311 Q9UHD9
Q7Z698 Q9NZD8
O95166 O75323
Q99757 Q96CG3
P55064 Q7Z3S9
Q3SYF9 Q93062
P56524 Q13761
P27487 O14625
P55061 Q9BSE4
O43583 Q9ULC4
Q86YD3 O76003
O43184 Q9BYQ0
Q99873 O43390
Q13443 Q9UI95
O95848 Q9NYB0
P08559 P11177
P0CG48 Q99062
Q96DA0 Q96EQ0
Q9NYB0 O75884
Q9BVV2 Q93062
Q9BSE2 Q9Y6I9
Q6ISS4 Q9Y6C2
P60409 P60370
P49286 P48039
Q6L8G9 P60409
P51116 P55081
Q13296 P50552
P60410 Q9NQS3
P60411 Q5TA78
P49902 Q70IA8
Q5VWX1 P98179
Q6NUJ2 Q7Z3S9
Q96C03 Q9UI14
Q96EE3 Q9BW27
Q16629 Q9UBU9
Q8IVP5 P60520
Q15287 P84103
Q9BUN8 Q9BQ70
Q8N6F1 Q9P0L9
Q01780 Q99547
O43765 Q96NZ9
P48146 Q8N9W6
O95273 Q96EH5
Q6UY14 P60370
Q9BYQ2 Q5TA78
Q9H665 Q6UW32
O60921 Q99638
Q08752 P63244
Q9BYQ3 Q9BYE3
P55064 P61978
Q9NS73 Q9NYP9
Q9BYR5 Q13895
Q5TZK3 P60409
Q9UMX0 Q13232
O43765 P28799
P09012 P26368
P32121 P06396
Q03135 P55957
Q96HA8 Q14749
Q8TAB7 P60411
Q96EX3 P38432
P11686 Q96IW7
Q9H1Y0 Q9GZQ8
Q9Y676 Q92552
Q96A72 P38159
Q13162 P30101
Q8WVV9 P61978
Q96HA8 Q8WWB5
P08311 Q7Z3S9
Q93062 Q5TAQ9
P05106 P06756
Q6RSH7 Q93062
O95210 Q9GZQ8
Q99732 Q96HR9
O43765 Q9NX94
Q13021 Q5T700
Q15437 Q8N684
P10644 P0DO92
Q9NQS3 P60410
P06307 P32239
Q9NWQ4 P60411
P04155 O00481
O43609 O43597
O43557 Q92956
Q9BYQ0 Q86YT5
P39748 Q96NY9
Q15365 Q14498
Q9NYB0 Q8IYL3
P63208 Q5FWF7
Q9NTM9 Q9NZD8
Q9NRG1 P46926
Q8WW34 Q9HC62
Q9BYQ0 Q5T5B0
P02795 Q13585
P61978 Q9Y5E9
P24588 P13861
O43765 P35070
Q9BYQ4 Q6PEX3
P49918 Q9NXK8
O76003 P60411
Q09028 Q13547
Q8N6R0 P09012
Q7Z3S9 P15151
P52756 Q9UMS4
O00300 O14788
Q15717 P0CG48
Q9Y5R4 Q9UJX2
O76003 Q9BYQ4
P98066 P13500
Q9UHD9 Q96B67
Q8TBE0 O75525
P09681 P48546
P51787 P15382
P21757 Q96IW7
P04070 P51511
Q701N4 Q5T5A8
Q5TAQ9 Q99873
Q5D1E8 Q9Y297
Q5TA76 Q9BYQ3
Q93062 Q6P1W5
P17181 Q9UKB1
O43809 Q8N684
P55291 O43765
Q9NPQ8 Q12805
P04792 P08473
P62324 Q9UIV1
Q5T5B0 Q9BYQ3
P48146 Q3LI66
Q9BUL9 O95707
Q7Z3S9 Q92911
P61326 O15234
Q9HCN3 P60409
O43251 Q6ZRY4
P42081 P16410
Q8IX06 P29972
Q08E93 P60409
P31995 P02741
P32121 P14618
P14416 P21917
Q9UIV1 Q9ULM6
Q8TDU9 Q8WXF3
P01583 P27930
P60409 Q9Y223
Q9Y5B8 Q9UBF9
P11177 P08559
Q9NQT4 Q9NQT5
Q3LI66 A8MQ03
P06733 P22303
Q8WXD5 Q9H840
P05556 P78423
Q15773 O75190
P59990 P60370
P60891 Q14558
P07858 Q9NYA1
Q96KC8 P01011
P26717 O43914
Q7Z3S9 Q5T5B0
Q96CD2 Q99757
Q92615 P63244
Q5TA82 Q9BYR5
P60370 O43609
Q99726 Q6XR72
Q8WTP8 P0DJD3
O43251 P52597
O75448 Q9Y2X0
Q03167 P01137
P60410 Q7Z3C6
P30260 Q13257
Q8WWB5 Q96FX2
Q8WWB5 Q96HA8
O15232 P60410
O14786 P08648
P50542 Q9NZ81
Q9BYQ4 P27658
P59991 Q14498
Q14558 P11908
Q13547 Q16576
P05060 Q8IXL6
O95881 Q9UHD9
Q7RTR2 Q9ULZ3
Q13829 Q8WZ19
Q9UHI7 P60411
Q13829 Q9NQT4
O95967 Q8WWY3
Q9BVV7 O14925
Q04941 P32246
Q5T6M2 P60409
Q9BQ95 P49810
Q9Y5Z9 P04035
P08238 Q96A26
P60411 Q9H4G1
Q96EZ8 Q86WP2
Q99731 P98066
Q9BYQ3 Q9UGL9
Q96N21 Q9NP55
Q8N3Y1 P63208
Q9HCG8 Q9Y421
Q96A72 Q14558
Q5T5B0 Q9BYQ2
Q13162 P18428
Q9NP70 Q8IXL6
O95218 P32121
Q08E93 P59991
Q9NT62 Q9GZQ8
Q9NPQ8 Q86Y26
P57081 P39748
O43561 O43765
Q969U7 Q7Z3S9
Q96S52 P60410
O43557 O95407
Q9H2X0 Q9BYR5
O95273 Q9P015
Q13563 P60410
P10145 P25025
Q03518 P30101
Q03519 Q03518
P59990 P60409
P11912 Q9H2H9
P50542 Q8WTR4
Q6UY14 P09228
P13497 O14793
P26371 P59991
O14786 P15692
P52272 O43660
O14879 Q8IXX5
Q9BYQ4 Q8NEC5
O95273 Q7RTY0
P09012 P09661
Q99618 O14595
Q96CD2 Q13427
P20155 P26371
Q9UMX0 Q9BXJ5
P63208 Q7Z6M2
Q9GZX6 Q08334
Q8NEC5 P60410
Q9BZL3 Q01453
O43609 Q07627
P08138 P33681
Q99726 O14863
Q7Z417 Q9BYR9
Q12841 P08571
Q8WTP8 P50402
P52803 Q9BSE4
P24588 Q9HBX9
Q96BJ3 Q9NWS6
P18084 P06756
P60411 Q9H0R8
Q9UMX0 Q14416
Q93062 Q96SW2
P05067 A4D1B5
Q6P1W5 P54253
P26678 Q92838
P60409 Q8TBE0
P09012 Q6ZRY4
Q96HA8 Q9UI14
P98179 P0DJD3
Q92990 Q02790
Q6ISS4 Q9UMX0
O43765 P03973
Q9NZD8 Q7Z698
Q12797 P60022
O43508 Q9NP84
Q969U6 P63208
Q9BRI3 Q99726
O95967 P56524
Q13363 Q9NYB0
P98175 Q15427
Q9BR76 Q9ULV4
O43597 Q9BYQ2
Q7Z4G1 Q9P000
Q86UN6 P31323
Q5T5B0 P60370
Q5TZK3 O95967
P09467 O00757
O43765 P01135
O75143 Q9H0R8
Q96DZ9 O95363
Q8TD46 P41217
Q9UHA4 Q8NBW4
Q64LD2 Q7Z3S9
Q8WX92 P10620
O95166 O95210
Q9Y5R4 P78358
Q96LA8 Q6P047
Q9UMX0 Q9UBU9
Q9BYQ6 Q8NEC5
P35637 Q9H3D4
P14416 Q01959
Q14137 Q9GZL7
P01130 P02749
O14977 Q9UMX2
P01135 O43765
Q96HA8 Q9H773
Q96IJ6 P35070
O43765 Q13232
O76003 Q6FI81
P60328 Q5TCM9
P05067 P21980
Q00872 Q14324
Q6UY14 O95363
P16930 P60410
Q8WZ19 Q9H3F6
P23246 P26599
P08253 Q8IX30
Q9UN74 O43765
Q6L8G9 Q5T7P2
P26371 P16930
Q9GZQ8 Q9H1Y0
Q96CG3 O95379
Q12834 Q9UI95
Q16576 Q13547
Q7Z3S9 P09681
P63208 Q7L273
Q9NXJ0 Q13021
P30405 P04637
Q3SY00 P78358
P29692 P13693
Q6UY14 Q86TG1
Q13895 P50402
Q14106 Q9UFF9
P26368 P09012
P60827 O75973
P09651 P31942
Q9NQT4 Q13829
Q9NQG6 Q9Y3D6
P25445 Q03135
P60411 Q9UGL9
Q6L8G9 P26371
P09228 Q7Z3S9
Q14162 P60410
Q09470 Q9Y5U9
P98066 P80098
P40259 O43765
P26371 Q7Z3S9
P09917 Q86Y26
Q7Z3S9 Q8WWY3
Q9BYR9 Q08E93
O76003 Q5TA82
Q9UBP6 P57081
Q07325 P27487
Q8N370 Q07627
O43597 P60370
O43597 Q5TA78
Q99497 P32322
Q01081 P61978
Q9BYR2 Q9UGL9
Q9NYB0 Q9NZ63
O00422 Q13547
Q8WXA8 P46098
Q8WVV9 Q93062
Q9Y5K3 P49585
Q7Z3S9 P16860
Q96D98 Q13547
O95751 P56524
Q5TZK3 P26371
P13688 P40199
Q86YD3 P53611
Q3LI66 Q9NU39
Q08117 Q8N684
Q86WS4 Q96FJ2
Q86WP2 Q96EZ8
P61964 Q9NS73
Q8N684 Q15437
Q9BYQ3 Q9BYR3
Q15041 Q9HC62
Q6NUJ2 Q93062
P0CG48 Q8N488
Q6PEX3 Q9BQ66
P49902 P51116
Q08AM6 Q3SYF9
Q9NPF7 P29460
P63208 Q96IG2
Q7Z3S9 Q08117
Q8IW19 P18887
Q9BYR3 Q9BYQ3
P09012 Q15366
P60370 Q9Y223
Q9NT62 O94817
P07900 P43034
Q9BZ11 Q9BXN2
Q9BYR0 O43597
Q9H3D4 P04637
P40199 P13688
Q8IZA0 Q9BZR6
P0C1Z6 Q96CJ1
Q15041 Q96CM8
O95848 Q8TBK6
Q9P121 Q13449
P55884 O75821
P04637 P13693
Q96SW2 Q93062
Q8NCR6 Q93062
P68402 Q15102
O00154 Q9UMX0
Q14990 P59991
Q9H6L2 Q7Z3S9
O43765 P01037
P06454 Q9NYB0
P42785 O60883
Q8N423 Q86XS5
P40337 P21980
Q5VWK5 Q13901
Q8N8F7 Q8N112
Q5TA81 O95967
P04155 Q96PJ5
Q86XK2 P04637
P60370 Q6NUJ2
P33681 P16410
P85037 O43524
Q15363 P13987
O43524 P30260
Q96EQ0 Q96SL4
P60409 Q9H9Y2
O75379 Q5T700
Q9BPU6 Q16555
P63208 Q5XUX1
Q13950 O15350
Q9UMX2 Q6P1W5
Q9UBD3 Q7Z3S9
Q6UY14 Q9BYQ2
Q03426 Q9NUX5
Q92537 P60410
Q9UI95 Q13443
P40189 P15018
P32314 Q9UKB1
Q9Y3B2 Q719H9
P60410 Q8TAB7
P10620 Q8WX92
Q3LI66 Q3LI76
Q9P0U1 Q9NS69
Q96HA8 P15531
P01588 P19235
O43915 Q15836
P60328 Q5TA76
O14817 Q8NEC5
P60410 Q5TA82
P01375 P19438
Q8NEC5 Q9BYQ6
P04155 Q6UX41
Q6P1W5 O43251
Q15427 Q9UBY9
Q15287 Q15020
Q5T700 O75379
P60411 Q5TA79
Q9BYR3 P49901
P07900 Q14318
Q9BYQ4 Q9BQ66
P07711 O43765
P55854 Q9HC62
Q9BYQ4 P60409
Q9UKJ5 Q8NEC5
Q8N9M1 Q9P121
Q7Z699 Q8WWB5
Q9Y548 Q96EC8
Q96HV5 Q7Z3S9
P26368 Q01081
Q8WXU2 P60520
Q13232 P15531
O14879 P09914
Q9GZQ8 Q03135
P60409 Q9NQS3
P38159 Q8WWY3
Q99757 Q8IUH3
P03950 P13489
P59991 Q8IY34
O43681 Q96SL4
P01589 P60568
Q9UJX5 Q12834
Q9C0C4 A8MQ03
P60410 P60409
Q9BYR5 O76003
Q8IXW5 Q9NWS0
Q12805 O43765
Q5TA81 Q5T7P2
Q9H8S9 Q9NWS6
P51677 P51671
Q5T7P2 Q6L8G9
Q6L8G9 Q9BQ66
Q7Z417 Q9BYQ6
P30542 P29274
O14863 Q6XR72
Q8N6F1 Q96JQ5
P38936 Q13309
Q9NYB0 Q9BUL9
P32121 Q14978
A8MQ03 Q92911
P60410 Q5XG85
P56279 Q6PID6
Q96EQ0 Q96DA0
Q96DN0 P29692
Q96FE7 Q9UMX0
P07510 P60410
Q12805 Q9UHD9
Q7Z3S9 Q92692
Q9BYQ3 P49901
Q9UBR2 Q7Z3S9
O43914 O00241
P02749 P02776
Q9NYB0 Q14019
P00395 P13073
Q96DZ9 Q9BW61
P43220 P60409
Q5TA77 P26371
Q5TA81 P26371
Q9UGL9 Q7Z3S9
P51116 Q96EZ8
P60409 Q969P0
Q06250 P60370
O60869 P20226
P31153 Q00266
Q8NBZ0 Q9UJX2
P28799 O43597
P60412 A8MQ03
Q16820 P14780
P54253 Q5HYW2
P60520 Q8WXU2
Q9Y5W5 A8MQ03
Q9NZ01 Q6Y1H2
Q5TA78 A8MQ03
P09681 Q7Z3S9
Q9BRU9 P60410
Q5T7P2 P60328
Q719H9 P0DI81
P08582 Q7Z3S9
Q9Y6C2 Q6ISS4
Q96DZ9 Q96PE7
Q9BXC9 Q8NFJ9
Q9NZ42 Q92542
O95967 Q5TA82
Q8TBK6 P38432
O76003 Q6UVY6
Q9NSU2 P60409
Q15365 P09012
P13693 P04637
P49407 Q14978
P41145 Q9H0R8
P11940 P50616
Q9UJY1 Q16082
O75143 Q9BSB4
P60410 P18084
O15409 P56545
P29274 P30542
P60371 Q5T686
P02814 Q9UMX0
Q9HC29 Q8N697
P11413 P04792
O95257 P57060
Q15415 P61978
P60411 O95363
P60410 P59991
O75884 Q9NYB0
Q9ULS6 Q7Z3S9
P61978 Q14D33
A8MQ03 O14633
Q5T013 Q05519
Q9UBY9 Q15427
Q8NEC5 Q9BYR0
Q676U5 P60520
P04637 Q06330
P61812 P05067
Q9H3M0 O95363
Q5TA81 Q9UKJ5
Q9NWS0 Q9Y4R8
Q96FJ2 Q96LC9
Q9UMS4 P52756
Q96DZ9 Q96CM8
P0CG48 Q14934
Q96IW7 Q9GZU1
P30260 Q9UM11
P60370 Q5TA79
Q07955 Q9UBU9
P59991 P60410
Q7Z417 Q9BYS1
Q9UMX0 Q8IYK4
Q9NWS6 O00244
P60411 Q9NWQ4
Q5T5A8 P60410
Q6PEX3 P59991
Q9XRX5 Q13287
Q9UBI1 Q8N668
P60370 Q06250
Q7Z3S9 Q9BYQ4
Q14657 P60410
P60409 P43220
P30511 P43629
P05067 P49768
P55884 Q13347
Q9UI14 Q96C03
P38159 P09012
Q9NQT4 Q9Y3B2
P50591 O14763
P78358 Q8WWV3
Q7Z3C6 P60410
P04637 Q96GM8
Q9NQX5 P26371
P60370 Q5T5A8
P61073 P04233
Q9UJX5 P30260
Q9BYQ0 A8MQ03
P09871 P00736
B0YJ81 Q9NZ01
P09913 P09914
Q8IXL6 Q9NRM1
Q9H0A8 Q8N668
P54727 Q92681
Q969P0 P60411
Q7Z417 Q9BYQ3
P02746 P02745
P25101 P05305
Q5TZK3 P60411
P60409 Q9NSU2
O75525 Q9NQL9
P60412 O43597
Q15415 P38159
Q9BYQ3 Q9BYR5
P04637 Q86XK2
Q5TA78 O43597
Q9UFF9 P62324
Q96NZ8 O14793
P26371 Q9H2X0
Q99547 Q13868
Q07627 P15151
P21980 P40337
Q9UI30 Q96BT7
P59991 Q3LI66
Q6PID6 P56279
Q96SL4 Q96EQ0
Q96SW2 Q16531
Q8TAB7 P60410
P26371 P60412
P16109 Q14242
Q8WWY3 Q5VWX1
Q96JC9 Q08117
P49768 P05067
Q16206 P09012
P60411 P48146
P61956 Q9P0U3
Q13868 Q9NPD3
Q86SE8 O75607
P15391 P01871
P29972 Q9BYR5
Q6UY14 Q9Y223
Q96HA8 P38432
P33681 Q9NZQ7
P78543 Q9UIV1
P09681 O43765
P08473 P21926
P59991 Q9BYQ0
P60410 P62857
P60370 Q7Z3S9
P49407 P04637
Q9HC29 Q10471
P05305 P24530
O95379 Q9NZ81
P15531 P22392
P08648 P05556
Q3LI66 O14633
Q14498 Q13427
Q96CD2 Q96HA8
A8MQ03 Q5TA77
Q5TA81 Q9BQ66
Q15424 P04637
Q7Z3B1 Q9P121
Q6P047 Q96LA8
Q96IG2 P63208
P35372 Q5T9L3
Q08117 P26368
P26715 Q13241
P60411 Q9BYQ2
A8MQ03 P60410
Q96LT7 Q13287
Q9BYR5 Q9BYQ0
