Q14511 P12830
Q9H3Q1 P36897
Q15370 Q9H765
P01222 P01215
P50616 Q13485
Q9UNE7 P04626
P63165 P25963
Q96H20 Q9BRG1
P16333 P43146
P12931 P13987
Q8WTS6 P04637
Q01780 Q9HAU5
Q9Y3F4 Q15796
O75631 O75841
O15399 Q05193
P49810 P07384
P21802 O60258
P28223 P29992
Q32NB8 O95166
Q15796 P08621
P25942 P52333
Q7L2E3 Q09028
Q16539 Q9UQD0
Q99717 Q9BWF3
P43694 P11831
P48729 P04637
Q92781 P47804
P19086 P21918
Q99967 Q09472
Q14192 P05556
P49736 O14775
P42702 P26441
P09429 Q13432
O43278 Q96IP4
P35221 P55291
Q13277 P61764
O43776 P54253
Q01780 Q86UX7
Q13885 O75056
P63165 Q12772
Q6PML9 Q15596
Q9NZJ7 P49768
P51116 Q9HAF1
O43823 P13861
O60296 O15294
Q9H6Z9 Q9BRX9
Q96ST3 O15294
Q9UQ13 P04049
Q13571 Q92995
Q12933 Q03135
Q8IZD9 P49768
P0CAP2 Q96FK6
Q9NPQ8 P50148
Q96P70 P30153
P11274 Q13432
Q13643 P11831
O75688 P24941
P09564 P27986
P17181 P40763
P25100 Q9NSN8
O60341 Q13547
Q9Y297 Q00653
Q9UKN8 Q16695
Q07666 Q06187
Q9UM01 P08195
P56134 O60341
Q15041 P49703
O00505 P38432
O00257 Q13363
O60504 Q6UY14
P21673 Q9Y3C7
P54253 Q86VZ5
P15374 Q14CW9
P04637 P13639
Q9HCU9 Q16576
P40189 P40763
P55769 P42773
P15104 Q9H8W4
P98164 Q92796
Q92519 Q9NRR5
P02751 O15198
Q07666 P06239
O60921 O60671
P06213 P56539
P52799 P12931
Q14183 P63172
P48551 P01574
P98175 Q86V42
Q01844 Q9BQD3
P09544 O00144
P27361 P04637
P19793 Q9NRR5
Q99613 P47813
P10644 Q92667
P13693 Q07820
Q96AQ9 Q96EY1
Q92870 P05067
Q15366 P21333
P13569 P15311
P21359 P62380
P61313 Q7L5N1
Q06495 O14745
Q09472 Q6PCB8
P20963 P26045
P50995 P31942
P63261 O95084
P29972 Q15654
P54259 P98164
O15350 P45983
P52799 Q9UPQ7
P51572 P23763
O95477 O15085
Q9BQ52 Q06587
P06454 P12004
Q08170 Q99590
P25942 P34932
Q9Y297 P25963
Q9UNE7 Q7Z7E8
Q9Y5Y9 P60709
P62993 P21854
P26641 P55316
P10398 P14618
Q9UGU0 P03372
O14924 P49146
Q9NR82 P0DP25
O14908 P22888
P35372 P09471
P53667 Q9Y281
Q13829 P29317
Q13444 Q15052
Q9Y297 P62837
Q99728 Q01844
P40189 P04626
O95989 P62917
Q8IX03 Q5T3J3
P17612 P26599
P02545 Q15365
P62191 P51665
P00533 P15514
O60880 Q9HBG7
P08238 P31749
P41145 P30679
P02647 P11597
P17600 P08670
P51617 O00206
Q99653 P48764
O15244 Q16633
P09848 P11021
Q5T0T0 P42081
O14775 P49802
P15941 P35222
P22607 P14866
O75056 Q14247
P54132 P39748
Q8NEM7 Q9NRR5
Q9UHF4 Q9NYY1
Q99972 P06732
Q99750 Q08E93
Q9NRA0 P06241
O95477 Q8TEU7
P07602 O96006
P08648 P00533
P12643 P50553
O75293 Q03181
Q9P0L9 P48788
Q9NVI1 Q9BXW9
P06239 P06127
P52803 P29320
Q14318 P10415
Q96KG7 Q96CW1
P04279 Q9NRR5
P16109 P15311
Q9UPW0 Q9ULK4
Q6IE81 P40337
P49916 P18887
P62851 P54257
Q96CJ1 P23193
P43119 Q5JWF2
Q8IZH2 P00338
P04637 P38398
Q99856 P04637
P08754 P21554
Q15185 P04150
Q16206 P43364
Q13867 Q8WVZ9
Q16254 Q14978
P30153 Q05586
P08758 P02458
Q13547 P24468
P54132 Q13111
Q06187 P42768
Q92743 Q9BYG5
Q03405 P06241
Q86SS6 O60506
Q9UNL4 P04637
P42574 P12830
O60925 Q13309
Q9BVJ6 O95257
Q86SG3 Q8TB72
P12830 P18206
Q9UKA4 P13861
Q99728 P04637
O75044 Q9Y6N7
Q96S53 P23528
P62826 P02686
P05771 P41594
P21728 P21333
P00533 P01133
Q13158 O60936
P06865 P17900
Q9Y5K3 P68133
O95182 Q9Y478
Q16851 O95376
Q8WY64 Q9Y2B0
P12757 P48307
O15151 O15350
P52799 P49796
P21580 Q8IUC6
P50750 Q13503
Q76FK4 Q7L523
Q16514 P20226
P02647 P00739
P31994 Q92835
O43745 P48764
P24043 P08865
Q9Y2Z0 P04271
P52803 P29317
P12757 P15104
P11831 P48443
P10275 P40189
P54253 Q6ZMT1
P11831 P54821
Q14974 P06454
P39748 P12004
P32942 Q05516
Q08170 Q9HAU4
Q8IYF1 Q15370
P98095 P15502
O15162 Q96RN5
P11362 P08620
P54764 P20827
P29475 P25100
P13861 P11137
P02686 Q15759
Q9H0M0 Q16630
Q9Y5X4 Q13547
P68400 Q9UD71
P10321 P11021
Q99623 Q02078
A6NMB1 P29350
P34998 Q5JWF2
P35813 P27986
Q03014 Q9BQ66
Q86YW7 Q96T91
Q9Y5U5 Q13114
P46527 Q12933
Q5RKV6 O95396
P09958 Q14315
O15234 O95793
P25391 P05067
P08588 P62993
P04080 P07339
Q13443 Q05655
P62424 P0CAP2
P54920 Q03113
Q96IP4 Q9P287
P43250 P08100
Q06495 P40855
Q15583 Q9Y3C7
Q96MP8 Q9UJY4
Q16665 Q13547
P05067 O75955
P31749 Q86YN6
P29590 P55854
P37268 Q149N8
P54725 O15265
Q01844 O96019
Q8TDQ1 P29350
P06239 P14784
P00491 P04637
P08238 P40763
O14543 Q15369
P17252 P18507
Q9UBN7 P68363
Q15544 P21675
Q9UBW7 P35637
P02766 Q99689
Q96S59 P05107
P04179 Q9H0R4
P38435 P00742
O14669 P46934
Q14191 P39748
Q9NSA0 O14745
Q99933 P06400
P06239 Q8IWV1
P12532 P21796
P04637 P25963
Q9UBK2 P19793
Q96HZ4 Q04724
P68366 P01374
P26678 P16615
P34932 O95084
Q06124 P15260
P17612 Q9UD71
Q9NRR5 Q96BY2
P24588 Q08209
Q12933 P19438
Q13113 Q7L5N1
Q12979 P35348
P56945 P10586
P11473 Q15651
O60716 Q9UMD9
P25116 P04899
P04049 Q92934
P63252 Q8NI35
Q01718 P42127
Q8IZH2 Q92900
O95990 O94967
P19784 P32121
O43184 P07947
Q92643 O43292
P14635 Q06413
O43186 O75531
P27986 O60603
P01563 P17181
P54257 Q9H7E9
Q15700 Q9ULK0
Q8IU57 O95777
P63104 P06733
P19235 Q13480
Q9GZV1 P04637
O60828 Q9Y3C7
Q71SY5 O75586
Q96RU7 Q5RL73
Q13485 Q99966
Q92835 P24394
P50895 P11171
P04406 Q16363
P05771 P18507
Q8IZH2 Q9Y4Z0
P13686 Q05516
O95257 P06493
P10144 P78527
Q02156 P41594
Q15388 Q6P1J9
P25445 P62834
P08670 Q9UHX1
Q96J02 Q16630
P98161 P05787
Q9BWF2 Q13045
Q14160 Q14155
P61981 O43524
P13798 P53990
Q9Y678 P21728
O43768 Q96SI1
P35269 P21246
Q01844 O60682
Q99590 P26368
O00451 Q99748
P63244 P29597
Q7Z7J5 Q9C0A6
Q16658 P17252
P26641 O43927
Q13887 P29084
Q9BZ72 Q99829
Q9NR28 P36941
P35221 P12830
Q9Y2R2 P07766
O15379 Q04206
O15379 P60510
Q03013 P04637
P49407 P25963
Q86X95 Q01130
Q9GZY0 P46821
Q9NVU0 P05423
O75475 Q07955
P63208 Q15653
Q5VWX1 P62993
Q5JR12 P63279
Q92597 P19338
O60504 Q8N684
P63279 P46060
Q15700 Q9NZ94
P07948 P46527
Q9UHV2 Q14CW9
P51168 Q12955
O00566 Q96G21
Q14206 Q08209
Q14469 O15287
Q6AI14 Q99653
O14842 P63096
P17612 P04004
P68104 Q14761
Q9HCU9 Q5T3J3
Q08345 P05997
P21246 Q9HC16
O00482 P01160
P29475 P35348
Q9UBB6 Q99698
P31943 Q09161
O43683 Q12834
P22626 P68400
Q9UPR5 P27348
Q8IWU2 Q15078
P59768 O95180
P04406 Q9NXU5
P49137 O00418
Q01844 Q9NQA5
Q9UNE0 Q13077
P63267 P04278
O14649 P60903
P24941 P46527
P56817 P30101
Q86WC4 O76081
P55010 P47813
Q8N3X1 Q14739
Q9NQB0 P49768
P08758 P37268
Q13418 P62328
Q15796 P0DML2
P00918 P48751
O75409 P42858
O95630 Q8WYA6
Q9Y6Q6 Q12933
Q8WUW1 P16333
Q9NRD5 Q01959
Q9Y294 P84243
Q99933 P10275
Q13363 Q09472
Q9BV79 P41235
Q86XR7 P51617
Q9Y561 O95295
Q9BV38 Q8NC60
Q13191 O43597
Q03135 P18031
Q01523 P07477
P31947 Q15884
Q9UM11 P14635
P49639 Q9BQ66
Q9NZT1 Q08188
Q9BUN8 P55072
P49841 Q16555
P57678 P14678
P62820 Q16658
P53618 Q9NRR5
Q8N488 Q99496
P61764 P07197
O15085 P48664
P22234 Q8TAP6
Q96J92 O95832
P20936 P51636
Q13158 Q9C099
O14939 Q8N122
O95257 P14635
Q13111 Q13263
Q8WV28 P11912
Q99720 Q01484
Q9Y221 Q76FK4
P42574 P06454
Q01658 P20226
O75553 P05067
Q05516 P56524
P34947 P37288
Q9UBB6 Q9C0C4
Q8N807 Q96HE7
Q09028 Q02447
P42773 Q13432
O95997 Q12834
P46527 P62993
Q9P209 Q05516
Q16674 P02751
P23468 P18433
Q92530 Q96C03
Q99972 P02746
Q10567 P32121
Q01844 Q01543
Q04759 P41594
O43312 P23468
P43250 P25101
P68400 Q05940
Q9H840 P14678
P43026 Q04771
P28072 Q9Y244
P16284 P06241
P63244 P28827
P40855 P33897
P67775 Q6DKJ4
Q01453 P40855
Q86YN6 P41235
Q15366 Q96PU8
Q969H0 P05412
Q07666 Q13588
Q9UBC3 P63165
Q8IYJ3 Q9ULB1
Q00013 P04921
P49790 P62826
P38432 Q674X7
P19784 Q05940
O95251 Q8WZ19
P01730 P02786
P38432 P24864
Q04724 P54259
P51116 Q9Y4E5
O95751 Q9BVJ6
O43597 P62993
P33151 O60716
Q02218 P09622
Q9Y618 Q06330
P40198 Q8N752
P16671 P07947
P50552 P63261
Q99750 Q96ES6
Q8IXH7 Q9H3P2
P05230 P67870
Q8IZX4 P20226
Q5JY77 P25116
P38432 Q9P2G9
P23471 P35612
Q9NP79 Q7Z7J5
Q14934 Q92793
Q9P2M1 Q9UNS2
P19338 P11387
Q6EEV6 P11388
P03950 P60484
Q07666 P07948
P05026 P58549
P40238 Q9Y4H2
Q14524 P22681
P56693 Q5T230
Q9Y5P4 O95197
O43639 P52799
P05089 P29475
P13693 P50993
Q9UER7 P48023
P98161 P08670
O43542 O15287
P06239 P09326
P54727 P54252
P49759 Q13247
Q01844 Q9NPC6
P52907 P04271
O43283 P30048
Q75N03 P12830
Q9NRR5 Q9UII2
Q09472 Q9H3D4
Q96T58 O14933
O75366 P46108
O75554 Q07666
O43261 Q7L5N1
Q01844 Q93009
P19012 Q9BVI4
Q96QK8 Q9Y4Z0
P54253 Q9Y6R0
Q8IV45 P19838
Q01844 Q6PJW8
P51608 P12755
P17612 P36382
Q15714 Q9UQ03
Q9Y3C4 Q96S44
P0CG47 Q8TF42
Q96KG7 Q86UW7
P17612 P48058
Q9NWA0 O75448
P12004 P24522
O43464 P05814
P60510 P62328
Q9UKJ1 Q06124
P25942 P41279
Q9Y265 P00747
Q7Z6J2 P41594
O75553 Q14114
P78552 Q8TDR0
P67775 Q99250
P43405 Q99062
Q59H18 P05413
Q13617 Q15369
P43403 O43516
O95292 P63027
P0CG47 P04150
P39687 P46821
P54132 Q13472
P35462 P62166
Q9BQ66 Q5T681
P27361 P49407
Q9NRR5 Q5VSY0
Q8NCW5 P02652
O75936 Q12988
P36896 P13385
P18848 P13984
P24666 Q9BYC9
P38646 P14625
P78504 P46531
Q13444 Q8WV41
P61925 P51817
Q6IA86 O60674
P33032 P01189
P32246 P23458
P42285 Q9NPD3
Q96J92 P55017
P04070 P12259
P07339 P02818
P31749 P12268
Q96JC9 O00472
Q15464 P31785
Q14627 P35225
P04637 P11388
P42224 P20333
Q13371 P17987
Q86XR7 O43187
Q14626 P20809
P24394 O60496
O75791 P23942
O43683 P78406
Q96T58 P10276
O15230 Q9BSF8
Q12933 Q13261
O14908 P35462
P15882 P61247
Q03013 Q9Y3C7
Q9UBJ2 P40855
P51948 Q5T3J3
P51812 P05114
P18031 O43561
P0CG47 Q13501
P12931 P61978
O14617 P51809
Q9H237 Q9H1J7
O43464 P47710
Q9UHK0 Q06787
O00401 P16333
O15460 P07237
P11488 P25116
P53611 P26374
P50570 P23284
Q13547 Q9Y6D9
P08195 P05556
Q13571 P08729
Q5FBB7 P05386
P14923 Q14126
P58753 O43187
Q9Y294 P68431
P15927 P05386
Q13287 Q14765
P05412 O75971
P54253 O60828
O75530 Q92800
P54710 P05023
Q92900 Q9BZI7
Q96SB4 P02686
Q8WXD5 P62318
Q5T1C6 P31749
Q15796 P62987
Q9BR39 P56539
Q8TCJ0 P63208
P27448 P63167
Q5JY77 P08173
Q9BTE0 Q9P2H0
P22001 Q14005
Q08211 O60502
P63104 Q01113
Q96IK5 P50402
Q96D09 P08588
P06401 Q13451
O43422 P05198
Q01650 P08195
Q9Y4X4 Q13363
Q14192 Q13683
O14490 Q12959
Q13547 P06400
P63167 P25963
Q13432 P49903
Q96S55 Q9HCU8
Q92597 P27824
Q99618 P30291
Q03135 P29350
Q14833 P50148
P52799 Q86YM7
P35222 P55291
P42285 Q9NQT4
Q92624 Q12788
Q15700 Q14524
P20963 P41240
P29597 P17181
P29475 P30411
P60468 Q15629
O00453 P05771
Q14344 P21731
Q13501 P42262
P00533 P0CG47
Q96PU8 Q96PK6
P29323 P29972
Q92824 P00797
O60763 P61764
Q5JY77 P43220
P14672 P48735
Q5JY77 O00222
P49662 O14727
Q14524 Q13425
Q5RKV6 O95777
P60022 P54257
O95841 P10588
Q5RKV6 P20618
Q92598 P35611
Q9NPG1 O14908
O75052 Q07954
Q8WVM8 Q13190
O95886 Q92796
P54284 Q00975
P67870 P38432
Q92609 P60520
Q14833 P21333
P09651 P46778
P04049 P32121
Q9H6T3 P36897
P16870 Q9BVJ6
Q15796 Q06413
Q9BSU1 Q9P2E2
P11487 P15880
P14317 P11912
P00387 P69892
Q9H307 P05783
Q8TBC3 P62993
Q9H3Q1 P17081
Q01629 Q96EY7
P15502 P08246
Q9UQ03 P18206
O75379 Q9BXS5
P29323 P34741
Q6UWE0 P49840
P08138 P62993
P36894 P43026
P0CG47 Q9BXW9
P02766 P27448
P16473 P40763
P33076 P25208
O15524 P10912
P43405 Q01362
O43524 O14920
P06213 P15090
Q8WW38 Q13363
Q13131 P13569
P14672 P51149
P37235 P54253
P06748 Q9UM73
P54257 Q9NZM5
P49407 O43298
P08697 P59665
P31751 P14672
P42229 Q9NRG1
O75177 Q92793
O75530 Q15910
Q96SD1 P38398
Q8IW41 P04637
P63279 Q92754
Q58WW2 Q15796
P31946 Q9BQA1
Q9BT88 O60260
O43561 P16885
Q9Y698 Q12959
O60508 Q9HCE7
P17252 P02686
P56748 Q07157
P45984 Q15427
Q99665 O60674
Q16514 Q12962
P17252 Q92686
P24394 O60674
P49888 Q13873
P10144 P20700
P51809 P52594
P08476 Q04771
P84022 P49790
Q9P2S2 Q9GZR7
Q12959 Q09470
O95376 A4D1P6
P24941 O15350
Q15424 P03372
Q9UDY8 Q13501
Q7L2E3 Q16576
Q7Z392 Q9H0R4
Q9HAP6 Q13002
Q9Y4K3 Q9HAV5
Q96SB4 P84103
P23468 P23469
Q13309 P20248
P48551 P29597
P22455 P12034
P54253 P63104
P15927 Q13432
Q92997 Q8WVP5
Q15582 P53420
Q06124 Q8N109
P25024 P30679
Q14114 P30533
Q9UKK6 P62826
P49815 P19021
O60832 O95372
O00151 Q53H12
Q9UQD0 P09471
Q9UL45 P02730
P04406 Q99653
P61812 P36897
Q5PSV4 O75446
P23469 Q14721
P00374 P07306
O15379 Q6W2J9
P25942 P22681
P63279 P19438
P61160 O15511
Q6ZYL4 Q13888
Q9P2T0 P48643
O15350 P46934
P10747 P48736
Q13438 Q16820
Q8TEQ6 O14893
O75925 P04637
Q99933 Q07817
P31749 O43521
P01127 P16234
P06454 P11802
P04406 O00231
Q14833 P30679
O15162 O76003
Q96JB2 Q14746
P63165 Q15788
O75061 Q00610
Q13501 Q9GZQ8
Q5JTV8 P02545
P59998 P61160
Q05516 P50052
P10721 P19235
Q16602 O60896
Q13137 Q96ME1
P02649 P02768
Q07960 P42768
P55212 P49585
Q09028 P38398
Q9BXS5 P11279
P04637 Q9BX70
P21246 O43147
Q92904 Q15038
P53674 Q09428
Q92597 Q04726
Q96HA8 Q9BPX1
Q9UHC3 Q96QZ7
P36897 Q12931
Q15750 P36894
O94907 O15198
P43355 P01889
P0CG47 P12004
Q13642 P11831
P08670 P55854
Q13432 P63279
Q9H840 P62304
O43592 P62826
Q15645 O60269
P02788 P0DP25
P01135 Q969F2
P48039 P21333
P38936 Q02978
P29350 P20273
Q5JY77 P25103
Q99816 P38936
P12644 O95405
P11142 P31689
P11912 P06239
Q99698 Q14974
Q92793 O15379
Q8NBJ4 Q8IYL3
Q13309 P30291
P49137 P04792
P23284 P04114
O75821 Q14152
P24666 P06213
Q99081 O95084
Q9ULB1 O43166
P42574 P38936
P78345 Q99575
P06454 P06493
O00213 Q12800
P17612 P30301
Q12789 P17936
P52435 P19387
Q9Y5Z0 P05067
O00231 Q96ID5
Q9Y5B0 P23193
Q01844 Q9H094
P46977 O75534
P38919 P61326
Q9UNS2 P05107
P08670 Q96AE4
P20248 P62324
Q86SG3 Q96PU8
O14757 P04637
Q92990 P08581
O96004 P22303
Q8WUA4 P06400
Q9BYF1 P30990
O75528 O00422
Q8NI35 Q9Y698
Q13155 P07814
O95977 P63096
Q15797 Q01844
P20226 P14859
P47224 Q9BVJ6
O14978 Q9NZD8
O14893 Q01130
P17612 O95477
P60709 P04278
Q9Y5X5 O15130
P38398 P0CG47
O95257 P54257
Q13042 P84022
Q15833 P62318
P59998 P61158
Q05655 P26010
Q08116 Q9BWH2
P55075 P22607
O95832 Q8NI35
O00560 P42263
P11216 P12814
P54259 O75093
P07948 P19235
O75096 Q9P202
P54259 Q99973
Q96ST3 Q09028
O95343 Q04726
P56524 P63104
Q14500 Q12959
Q02363 Q13432
P06493 Q07666
P30530 P31785
Q13702 P11230
P12956 A1L0T0
P22735 Q02383
P55010 O14602
Q9Y3C5 Q9NRR5
Q14721 P60880
P43364 Q9BQ70
P19784 Q13547
Q15427 Q13435
O15294 P68400
Q8WTV0 P02647
P01229 P04899
Q9NWQ8 P41240
P17482 Q9BQ66
P38936 P49715
Q8N0Z2 P68032
P09874 P19338
Q9BXS5 P51116
P26641 Q9BW27
Q92793 P06454
Q9UI14 P62834
P61981 Q9Y6A4
O43290 Q9BZL1
P26885 P46379
Q15544 P49848
Q13303 P16389
Q8N436 O15198
Q9UBK2 Q07869
P05019 P08069
P46531 P49810
Q9NS61 Q9NZV8
Q86X55 P84243
Q15223 P55196
P48067 Q16623
Q9H1K0 Q9NRW7
P22455 P11487
O60894 P32241
P63208 O00221
Q04721 P49810
P60174 Q15047
Q7L5N1 Q9Y4P8
Q05586 P29323
O14493 Q07157
P38435 P08709
Q15102 Q05516
O43815 Q6VMQ6
P06241 P15391
P61764 P10636
P62805 P24522
Q9H840 P62316
O95059 Q96B26
P63172 Q13873
P25391 P14543
P51116 Q9Y3Q8
Q01344 P05113
O76027 Q9NRX3
P42773 O60383
P05129 P17302
Q08752 P11142
Q92597 P62249
P12236 Q9NRL3
P01730 P07339
P67809 P05549
P31946 P19634
Q96KG7 Q9P2E3
Q02078 P15173
P62979 Q15796
P21579 P63244
Q96B26 O00409
Q9UDY8 Q9Y4K3
P32242 Q9UKJ5
P68400 O00170
P16871 P06241
Q92597 P12830
Q9NQS1 Q9HCE7
P43405 P20273
Q9UGI8 P50552
Q15819 Q5T3J3
Q8N4C6 P63165
P31749 Q92934
Q5T2W1 Q16348
Q15573 P04637
Q6EEV6 P09211
P55060 P35268
Q07820 Q96LC9
P50750 P28799
Q08345 P02458
P09327 P63261
Q16181 O14613
Q96RT1 Q03001
P16220 Q86YV9
O00303 Q7L2H7
Q15560 O94967
P24928 Q9UKF6
P11473 P60520
P84022 Q9Y297
Q15036 P16109
P63244 Q8NBJ4
Q02297 Q9H2S9
P63244 P05771
P62380 O60664
P49757 P05106
Q03164 P48023
P05060 P22607
Q9BQA1 P62304
Q9Y3I1 P63208
P49918 P11802
P24522 P06493
Q13616 P63208
Q9UBF6 Q8NCC3
P15882 Q15078
Q92730 O43157
P26367 P20226
P12757 P30260
O15379 Q9UIS9
Q9UJY4 P20645
Q9NQX3 P48167
Q9Y253 P63167
Q9H0M0 P31785
P00750 P25391
Q9C0A0 O14936
Q13287 P04198
Q9Y580 Q9NP66
O15143 P61160
O15554 P54619
P63279 P25445
P04792 Q15181
Q9NWQ8 P06239
Q15818 Q14257
P42345 Q8N122
P58876 P54198
Q86WX3 P39019
P12757 Q9UNN5
P17252 Q01844
Q96A00 P49674
Q9BVA0 P36897
Q14289 P16389
P31947 Q96HA8
P00451 Q07954
O00144 Q99750
P01732 P09382
O00189 O60359
Q96LM6 Q93062
Q03001 Q9NYQ7
P04843 Q9NYS7
O95257 P03372
P49757 P18084
P19338 P04150
Q8N8S7 Q9NQX3
P48039 P61026
Q99666 P55197
O95639 Q6UN15
Q99836 P51617
P42701 Q14765
Q9Y2U9 Q9NRL3
O15399 P35222
P38432 Q96KG9
Q9Y297 Q00839
Q16576 P38398
P26368 Q9NVV9
O94972 Q9UBZ4
P12757 Q96C36
O75369 P16473
Q00975 P09471
O43390 Q16637
P31994 O15357
Q96T58 O94776
P42229 P20963
Q9Y6U3 P68032
P48730 P17302
P30876 O15514
Q6ZVK8 O75525
O96017 Q99638
O14944 P00533
O00755 Q13467
Q7L5N1 Q96SN7
Q8IZH2 B2RD01
O75925 O15350
Q96NL6 Q9Y5Y9
P08670 Q9BVI4
O60343 Q9NTZ6
P29317 P33151
P48048 Q15599
O00220 Q15628
Q9UMX0 Q5VSY0
P54259 P98160
Q99459 Q12972
P80370 P54826
Q96IP4 Q16557
Q9Y6Q9 P18075
O14543 Q15370
Q02156 P48751
Q8N668 Q13617
O75446 P42858
Q99972 P19438
P40306 P21246
Q99698 Q96DF8
P07737 Q5T3J3
P17252 P04637
Q8N8S7 Q15942
Q13432 P08631
Q9BUL9 O75817
Q16665 P27695
P43250 P30411
Q8WWG1 Q15303
Q6PUV4 Q13277
P54259 P02686
P02768 Q9Y383
P02647 Q03591
P17600 P27361
Q00653 P56524
Q7Z7C8 Q16514
P06400 P63244
Q5TD97 P11831
Q8NFQ8 O14656
P49841 P04637
Q12962 P49848
P13747 Q96I34
P46934 P51170
Q14181 Q8NAV1
P35070 P04626
O94776 P04637
P46777 P68400
Q13596 P25116
P01127 P09619
Q9UIB8 O60880
Q5FBB7 P62424
Q13901 Q99598
P49286 O14654
Q9BQ66 Q9BUY5
P47989 Q13410
P08138 Q96GC6
P50402 P02545
P62913 Q13867
Q71DI3 P06454
Q96CG3 Q9GZT8
O75817 P04792
Q05513 P41594
Q96JE9 Q13885
Q15654 Q14990
P41143 P19086
Q13042 O60566
Q9Y572 Q8IUC6
Q12933 Q9NRR5
Q12933 P28908
Q9BZK7 O75376
P37198 P06454
Q04724 Q9BX70
P09429 P26358
P02794 Q99062
O00186 Q12846
Q5SW96 P05549
P07948 P0CG47
Q13485 P25686
P61981 Q12778
Q6EEV6 P42224
P06753 P0C1Z6
Q9UKX7 P62826
Q9BQ95 Q15797
P62993 Q9H400
P13688 P21333
Q99497 Q9UER7
Q04724 P06493
Q08211 Q07666
Q05516 Q9C0J8
Q9UIG8 O14745
Q96PK6 Q14686
O14901 Q13547
Q9UMX1 P10070
Q01844 Q9UEE9
Q13451 O15111
P13984 P27540
Q9Y6Q6 Q13191
Q13045 P03372
Q9NRR5 Q86UW9
Q14831 P0DPH8
P36542 Q96IZ0
P09529 P27037
P13693 P68104
P63279 Q13547
Q9Y6Q6 Q13114
Q8N6S5 Q9H0F7
Q09472 P29372
Q9BTA9 Q9NRR5
P10767 P22607
P42261 P11021
P60953 Q9UKR5
Q13137 P60520
Q15642 P42768
P50616 O15198
Q02246 P25208
Q9UQ03 P68133
Q5MJ70 P24941
Q9UBI6 P62879
P21453 P08754
P49356 P62070
Q9H228 Q03113
Q9HC77 P18627
P02766 Q08345
O00308 P08887
Q13216 Q13888
Q96A56 P04637
Q6QNY1 O95295
Q15303 Q02297
Q96D09 P08172
Q96AE4 Q13155
P19838 P01589
Q5JWF2 P13945
P06239 P24666
P17612 Q9H3Z4
O75791 P63244
O60232 P51946
Q9NZL9 P31153
Q8TCG2 P41180
Q15303 P35070
Q13017 P08648
P30876 P19387
Q9NYJ8 Q9Y6Q6
Q9Y286 Q06124
Q9H0E2 O00206
P51149 P53611
P17612 Q86UN6
Q9GZY6 P62993
Q15149 P63244
P63215 P62873
Q13790 P02652
P17612 P14410
P35613 Q9NR12
P32418 P31946
O95777 P52209
Q8WTS1 Q99541
Q9BVJ6 Q9GZM7
Q9NZQ3 O00401
Q13224 Q13557
P61289 Q9BXC9
P01042 P02792
P56524 O14593
Q12789 O75618
Q13363 P42858
O95477 Q9HAP6
O60921 P12004
O95886 Q12959
Q15404 P48059
P09960 O15145
Q9NT62 O95352
O14717 Q5RL73
Q92633 P08754
Q13257 Q9UJX6
P06454 P14635
P50552 P07737
P21246 Q9UNI6
P46531 Q06330
P60022 Q5UIP0
O95704 Q06481
Q99623 P06454
P04278 O95295
P20226 Q04864
Q04721 Q06330
Q6UX06 P01024
P04637 Q9BWC9
Q9C0C4 Q92796
Q9UBC3 O75530
Q15102 Q9UKY1
Q13432 Q8TDN6
P17252 Q13224
P04156 Q9Y3Q8
Q99436 Q9Y244
O95219 Q53H12
P04179 Q9UGY1
Q9UDY8 Q12933
Q9GZP4 Q6P1J9
P43489 O15304
Q9Y6C5 Q14623
P28223 O60674
P14209 Q14974
Q96D09 P30988
P68400 Q9UHC3
O95751 Q9H5V7
P20273 P23634
P51159 Q5RL73
P35568 Q8N122
Q9NVP2 P62805
Q9UK53 Q13547
Q16778 P06454
Q9BYR7 Q9BQ66
Q96FJ2 Q9P2Z0
P55345 Q96MA1
Q06124 P24394
P35240 P05556
P0DP25 P35612
P10809 Q15399
P10144 O95155
P17252 P13569
Q6IA86 P40763
Q07812 Q9BXH1
P29590 O15379
Q9NRD5 Q14CW9
P04792 P43320
P09429 Q9UKR5
P05386 Q86YJ7
Q00535 P04637
P59998 Q8IXH7
P43403 P06127
P68104 P55774
P27361 P60983
Q92736 Q13936
P23229 P62993
Q9Y383 Q9NRX3
O00273 Q9NRL3
P23458 P26951
Q5JWF2 P47871
Q15750 Q16539
Q5JY77 P32241
P36575 Q8IZ40
P54252 P51665
Q9UJ70 O75716
Q15582 P08572
Q03164 Q15291
Q9P287 P51587
Q05586 P05771
P53779 O43521
P23588 Q14152
P10144 P55211
O60568 Q9UHL3
P61088 P0CG47
Q01085 Q16637
P01344 P17936
Q12933 Q02223
P19784 Q9UNN4
O43815 P03372
Q92466 P23025
Q92841 P08621
Q9NPQ8 P08754
Q9UNE7 Q00613
P32780 P19447
O14908 P08648
Q12815 Q13895
P51665 P62820
O95967 Q9BUY5
P54132 P04637
P30872 O14744
Q9H228 P09471
Q99700 P46379
O43524 Q13485
O14610 P48050
Q04724 Q15014
O00206 Q9NPH5
P50148 P21731
P32780 Q92889
P31947 O43916
P54259 Q93062
Q9Y2Y9 P50454
Q06787 P67809
O95373 P46777
P68400 P32004
Q9BQY4 Q8N2M8
Q9NYV4 Q07955
P04278 Q05086
P78504 Q9H488
O60566 P30260
Q9UPW5 P99999
