proteinA,proteinB,interaction
Q08955,P47818,0
Q08955,P47075,0
Q08955,Q12324,0
Q08955,P38301,0
Q08955,Q04562,0
Q08955,P39968,0
Q99332,P43601,0
Q99332,P39923,0
Q99332,P32366,0
Q99332,Q04749,0
Q99332,P37302,0
Q99332,P47114,0
Q99332,Q12527,0
Q99332,P33894,0
Q99332,Q05902,0
Q99332,P34756,0
P41912,P47082,0
P41912,P38959,0
P41912,P47114,0
P41912,P38176,0
P41912,P12868,0
P41912,P53882,0
P41912,Q04491,0
P41912,P38316,0
P41912,P32318,0
P41912,P53290,0
P48415,P42836,0
P48415,Q12241,0
P48415,P32600,0
P48415,P34756,0
P48415,P32939,0
P48415,P32366,0
P48415,P43601,0
P48415,P12868,0
P48415,Q04602,0
P48415,P09232,0
P39543,P32913,0
P39543,Q04562,0
P39543,Q04749,0
P39543,Q03899,0
P39543,P32386,0
P39543,P53191,0
P39543,Q12527,0
P39543,P53838,0
P39543,P12868,0
P39543,P42951,0
Q06541,P43601,0
Q06541,Q03899,0
Q06541,P32842,0
Q06541,P32578,0
Q06541,P39923,0
Q06541,Q12380,0
Q06541,P53950,0
Q06541,P42951,0
Q06541,Q12527,0
Q06541,Q04749,0
P53199,P43601,0
P53199,P32318,0
P53199,P53129,0
P53199,P38932,0
P53199,P53129,0
P53199,P34240,0
P53199,Q12301,0
P53199,P32578,0
P53199,P35845,0
P53199,P53838,0
Q06096,Q04602,0
Q06096,P53273,0
Q06096,P14772,0
Q06096,P40857,0
Q06096,P17261,0
Q06096,P47818,0
Q06096,P22855,0
Q06096,P38329,0
Q06096,Q12255,0
Q06096,Q08921,0
Q12232,P50944,0
Q12232,P47082,0
Q12232,P17255,0
Q12232,P38301,0
Q12232,P09232,0
Q12232,Q04749,0
Q12232,P14359,0
Q12232,P38142,0
Q12232,P53882,0
Q12232,Q04602,0
P38842,P53290,0
P38842,P39981,0
P38842,Q12527,0
P38842,P35845,0
P38842,P53129,0
P38842,P38176,0
P38842,Q12255,0
P38842,P14772,0
P38842,P47818,0
P38842,P36051,0
P38206,P14904,0
P38206,Q03897,0
P38206,P47170,0
P38206,P00729,0
P38206,P40501,0
P38206,P25568,0
P38206,P53104,0
P38206,P22855,0
P38206,P38932,0
P38206,P42951,0
Q03103,P38821,0
Q03103,Q04301,0
Q03103,P38929,0
Q03103,Q12527,0
Q03103,Q05899,0
Q03103,P32913,0
Q03103,Q03730,0
Q03103,Q12003,0
Q03103,P09232,0
Q03103,P32912,0
P40318,P12868,0
P40318,P53011,0
P40318,P34756,0
P40318,P38932,0
P40318,Q12096,0
P40318,Q08236,0
P40318,Q07468,0
P40318,P42951,0
P40318,P32842,0
P40318,P41318,0
P38875,P42836,0
P38875,P22203,0
P38875,P38358,0
P38875,Q12408,0
P38875,P47075,0
P38875,P40451,0
P38875,P34240,0
P38875,Q08236,0
P38875,P53104,0
P38875,Q04301,0
P32339,P00729,0
P32339,Q02725,0
P32339,P38865,0
P32339,P36051,0
P32339,Q08001,0
P32339,P38176,0
P32339,P43560,0
P32339,P36062,0
P32339,P31412,0
P32339,P32842,0
P32368,P38778,0
P32368,P47040,0
P32368,P32318,0
P32368,P14772,0
P32368,P47082,0
P32368,P38742,0
P32368,P41807,0
P32368,Q12241,0
P32368,P50944,0
P32368,P39981,0
P53223,P40451,0
P53223,P14359,0
P53223,P53104,0
P53223,P32609,0
P53223,P38316,0
P53223,Q12096,0
P53223,P47170,0
P53223,Q08474,0
P53223,Q12003,0
P53223,P42951,0
P53847,P38821,0
P53847,P38358,0
P53847,Q12241,0
P53847,Q05899,0
P53847,Q12241,0
P53847,P32343,0
P53847,P47170,0
P53847,Q12042,0
P53847,Q04602,0
P53847,P14904,0
Q12284,Q12473,0
Q12284,P25591,0
Q12284,P33894,0
Q12284,P27614,0
Q12284,Q04749,0
Q12284,Q12527,0
Q12284,P47082,0
Q12284,Q04991,0
Q12284,P32837,0
Q12284,Q12380,0
Q12520,P32913,0
Q12520,Q04562,0
Q12520,Q06651,0
Q12520,P38932,0
Q12520,P25613,0
Q12520,Q04562,0
Q12520,P53950,0
Q12520,P42951,0
Q12520,P38929,0
Q12520,P38959,0
P53954,Q12241,0
P53954,Q06708,0
P53954,Q12241,0
P53954,Q05521,0
P53954,Q03897,0
P53954,Q02205,0
P53954,Q07549,0
P53954,Q99190,0
P53954,Q12121,0
P53954,P40152,0
P53337,P32386,0
P53337,P40003,0
P53337,Q12473,0
P53337,P27614,0
P53337,Q05899,0
P53337,Q08001,0
P53337,Q12241,0
P53337,P42951,0
P53337,P38932,0
P53337,P50944,0
P53845,Q99385,0
P53845,P38142,0
P53845,P42951,0
P53845,P17255,0
P53845,P17255,0
P53845,Q00582,0
P53845,Q02205,0
P53845,P14772,0
P53845,Q04272,0
P53845,P38329,0
Q08227,Q12408,0
Q08227,P32609,0
Q08227,P36051,0
Q08227,P42951,0
Q08227,P38316,0
Q08227,P50944,0
Q08227,P40061,0
Q08227,Q08236,0
Q08227,P40501,0
Q08227,Q06708,0
P39107,Q04562,0
P39107,P38244,0
P39107,P38316,0
P39107,Q12331,0
P39107,P34756,0
P39107,Q12042,0
P39107,P18962,0
P39107,Q04991,0
P39107,P40061,0
P39107,Q04934,0
P23642,Q12408,0
P23642,P38244,0
P23642,P53273,0
P23642,P38929,0
P23642,P40451,0
P23642,P14772,0
P23642,Q02205,0
P23642,P53747,0
P23642,P12868,0
P23642,Q12473,0
P32629,Q12473,0
P32629,P53129,0
P32629,P09232,0
P32629,Q02205,0
P32629,P53104,0
P32629,P47114,0
P32629,Q06651,0
P32629,Q12241,0
P32629,P20795,0
P32629,P27514,0
Q08109,P32318,0
Q08109,P09232,0
Q08109,Q02948,0
Q08109,P38778,0
Q08109,Q04272,0
Q08109,P42839,0
Q08109,P38959,0
Q08109,Q03897,0
Q08109,Q12527,0
Q05359,P32912,0
Q05359,P20795,0
Q05359,Q12003,0
Q05359,P12868,0
Q05359,P41807,0
Q05359,Q03899,0
Q05359,P47075,0
Q05359,P31412,0
Q05359,P32842,0
Q05359,P38356,0
P32803,P37302,0
P32803,P32842,0
P32803,P53947,0
P32803,Q05637,0
P32803,P42951,0
P32803,Q08236,0
P32803,P34756,0
P32803,Q12042,0
P32803,Q08743,0
P32803,P38182,0
Q3E790,P38329,0
Q3E790,P53011,0
Q3E790,Q04329,0
Q3E790,Q04329,0
Q3E790,P32386,0
Q3E790,P47170,0
Q3E790,P53191,0
Q3E790,Q12408,0
Q3E790,P38836,0
Q3E790,P40003,0
P40557,P38358,0
P40557,P38742,0
P40557,P17255,0
P40557,P53290,0
P40557,P32939,0
P40557,P53011,0
P40557,P40003,0
P40557,P00729,0
P40557,Q04329,0
P40557,P32939,0
Q06551,P40003,0
Q06551,P39981,0
Q06551,P38356,0
Q06551,P14772,0
Q06551,P25613,0
Q06551,P39981,0
Q06551,P43560,0
Q06551,P38358,0
Q06551,P38821,0
Q06551,P38270,0
P47013,Q03308,0
P47013,Q12096,0
P47013,P47082,0
P47013,P38358,0
P47013,P47170,0
P47013,P39923,0
P47013,P38778,0
P47013,P39923,0
P47013,Q05899,0
P47013,Q06708,0
P38843,Q05899,0
P38843,P00729,0
P38843,P25613,0
P38843,P32609,0
P38843,P38316,0
P38843,P50944,0
P38843,Q12121,0
P38843,P40857,0
P38843,P53273,0
P38843,Q12331,0
P40367,P38929,0
P40367,Q12016,0
P40367,P38164,0
P40367,P27801,0
P40367,P38164,0
P40367,P40003,0
P40367,Q02205,0
P40367,P38865,0
P40367,P32366,0
P40367,P40061,0
P28496,P09232,0
P28496,P38836,0
P28496,P31412,0
P28496,P17255,0
P28496,P32939,0
P28496,Q12473,0
P28496,Q12324,0
P28496,P53838,0
P28496,Q99385,0
P28496,Q12121,0
P28791,Q04602,0
P28791,Q99385,0
P28791,P32913,0
P28791,P40857,0
P28791,P53950,0
P28791,P40061,0
P28791,Q12408,0
P28791,Q12003,0
P28791,Q12255,0
P28791,P38310,0
P16603,Q00582,0
P16603,P38821,0
P16603,P38273,0
P16603,Q12473,0
P16603,P38176,0
P16603,P53273,0
P16603,Q12324,0
P16603,P38358,0
P16603,P22203,0
P16603,P25613,0
Q12006,P38836,0
Q12006,P47040,0
Q12006,P43601,0
Q12006,P53129,0
Q12006,Q03899,0
Q12006,P33894,0
Q12006,Q03308,0
Q12006,Q05902,0
Q12006,Q12255,0
Q12006,Q05637,0
Q99287,P38182,0
Q99287,P38742,0
Q99287,P50944,0
Q99287,P12868,0
Q99287,P38836,0
Q99287,P53191,0
Q99287,Q08001,0
Q99287,Q03897,0
Q99287,P38247,0
Q99287,P37302,0
P38286,P36051,0
P38286,P42951,0
P38286,Q05899,0
P38286,P53747,0
P38286,Q04749,0
P38286,P38836,0
P38286,P17255,0
P38286,P17255,0
P38286,P38329,0
P38286,Q04991,0
P41800,P38164,0
P41800,P38244,0
P41800,P22203,0
P41800,Q12096,0
P41800,P32343,0
P41800,P40501,0
P41800,P38742,0
P41800,Q04602,0
P41800,P38778,0
P41800,P17261,0
P38819,P38873,0
P38819,Q04602,0
P38819,P38310,0
P38819,Q07468,0
P38819,Q04562,0
P38819,P38329,0
P38819,P32939,0
P38819,P53191,0
P38819,P35845,0
P38819,Q12096,0
P39704,Q04272,0
P39704,Q12324,0
P39704,P53104,0
P39704,P38959,0
P39704,P53950,0
P39704,P47114,0
P39704,P32600,0
P39704,P37302,0
P39704,Q04749,0
P39704,P53838,0
P27825,P47040,0
P27825,P53838,0
P27825,P38164,0
P27825,P34240,0
P27825,P38742,0
P27825,Q12003,0
P27825,P53129,0
P27825,Q08001,0
P27825,P38932,0
P27825,P34756,0
Q92316,P32386,0
Q92316,Q12121,0
Q92316,P14904,0
Q92316,P53747,0
Q92316,P32837,0
Q92316,P47040,0
Q92316,P40061,0
Q92316,Q08236,0
Q92316,P53191,0
P40526,P38959,0
P40526,P25568,0
P40526,P38142,0
P40526,P32343,0
P40526,P53950,0
P40526,P41807,0
P40526,P32578,0
P40526,P14359,0
P40526,P18962,0
P40526,Q05521,0
Q02795,P25613,0
Q02795,P32842,0
Q02795,Q08743,0
Q02795,Q07376,0
Q02795,Q02205,0
Q02795,Q12003,0
Q02795,Q07376,0
Q02795,P40003,0
Q02795,Q03308,0
Q02795,Q04301,0
Q03723,Q04934,0
Q03723,P32609,0
Q03723,P32842,0
Q03723,Q03899,0
Q03723,Q12408,0
Q03723,P33894,0
Q03723,Q12331,0
Q03723,Q04301,0
Q03723,P22203,0
Q03723,P42951,0
P48439,P38316,0
P48439,P53882,0
P48439,P41807,0
P48439,P32913,0
P48439,P43601,0
P48439,P47075,0
P48439,P17255,0
P48439,P32913,0
P48439,Q12527,0
P48439,P38959,0
P53868,Q05902,0
P53868,P32318,0
P53868,P47075,0
P53868,Q12527,0
P53868,P35845,0
P53868,P53950,0
P53868,Q08001,0
P53868,Q12016,0
P53868,P34240,0
P53868,P53747,0
P30777,P50944,0
P30777,Q03899,0
P30777,P40501,0
P30777,P38742,0
P30777,P43560,0
P30777,P50944,0
P30777,P41807,0
P30777,P40857,0
P30777,P53104,0
P30777,Q05902,0
Q06644,P09232,0
Q06644,P53290,0
Q06644,P40003,0
Q06644,Q04491,0
Q06644,P38959,0
Q06644,Q05899,0
Q06644,Q12121,0
Q06644,Q08474,0
Q06644,P40003,0
Q06644,Q03899,0
P31382,Q04491,0
P31382,P32318,0
P31382,Q12324,0
P31382,Q02948,0
P31382,P53290,0
P31382,P53747,0
P31382,P33894,0
P31382,Q02205,0
P31382,P38865,0
P31382,P40152,0
P46971,Q12003,0
P46971,Q99190,0
P46971,P38873,0
P46971,P32600,0
P46971,P42839,0
P46971,P42836,0
P46971,P53273,0
P46971,P32343,0
P46971,Q12121,0
P46971,Q99385,0
P35176,P14359,0
P35176,P25613,0
P35176,P12868,0
P35176,P38176,0
P35176,Q05521,0
P35176,Q08474,0
P35176,P37302,0
P35176,P53104,0
P35176,P43560,0
P35176,P40857,0
Q08199,Q04301,0
Q08199,P14772,0
Q08199,Q12324,0
Q08199,P42839,0
Q08199,Q06708,0
Q08199,P38244,0
Q08199,P39923,0
Q08199,P27614,0
Q08199,Q12003,0
Q08199,Q12408,0
P36016,P38959,0
P36016,Q12473,0
P36016,P47082,0
P36016,P53838,0
P36016,P47040,0
P36016,P53838,0
P36016,P41807,0
P36016,Q04749,0
P36016,P47082,0
P36016,Q05521,0
P22023,P38164,0
P22023,P38329,0
P22023,Q12241,0
P22023,Q04749,0
P22023,P53947,0
P22023,P32837,0
P22023,P34756,0
P22023,P31412,0
P22023,Q03899,0
P22023,P07267,0
P38888,P32343,0
P38888,P38821,0
P38888,P47075,0
P38888,P33894,0
P38888,Q12003,0
P38888,Q12527,0
P38888,P42951,0
P38888,P20795,0
P38888,P38821,0
P38888,P41318,0
Q12404,P53011,0
Q12404,P38932,0
Q12404,P38836,0
Q12404,Q12408,0
Q12404,P38356,0
Q12404,Q08921,0
Q12404,Q08001,0
Q12404,Q03308,0
Q12404,P38865,0
Q12404,Q02948,0
P17967,P38836,0
P17967,P27514,0
P17967,P38873,0
P17967,P38182,0
P17967,P32343,0
P17967,P47075,0
P17967,Q99385,0
P17967,P53882,0
P17967,P47114,0
P17967,P39968,0
P38301,Q03694,0
P38301,P33760,0
P38301,P53112,0
P38301,P25584,0
P38301,Q05568,0
P38301,P32796,0
P38301,Q05871,0
P38301,P32796,0
P38301,P46983,0
P38301,P36168,0
Q04338,P41909,0
Q04338,P53112,0
Q04338,P24004,0
Q04338,P36168,0
Q04338,Q05871,0
Q04338,Q04370,0
Q04338,Q03824,0
Q04338,P33760,0
Q04338,P29340,0
Q04338,Q07418,0
Q12142,P23542,0
Q12142,Q05568,0
Q12142,Q03370,0
Q12142,Q06497,0
Q12142,Q05568,0
Q12142,Q02969,0
Q12142,P28795,0
Q12142,Q03370,0
Q12142,P40155,0
Q12142,P41903,0
Q01590,Q05568,0
Q01590,Q12462,0
Q01590,P46983,0
Q01590,Q03370,0
Q01590,P53112,0
Q01590,Q12527,0
Q01590,Q02969,0
Q01590,P41903,0
Q01590,P53184,0
Q01590,Q03824,0
P22214,Q03370,0
P22214,P36168,0
P22214,P41909,0
P22214,P41909,0
P22214,P53248,0
P22214,P28795,0
P22214,P40155,0
P22214,P46983,0
P22214,P29340,0
P22214,P32800,0
P11076,P28795,0
P11076,Q04370,0
P11076,P80667,0
P11076,P53248,0
P11076,P32800,0
P11076,P28795,0
P11076,P25584,0
P11076,Q03824,0
P11076,P23542,0
P11076,Q05568,0
Q02804,P38137,0
Q02804,P28795,0
Q02804,P24004,0
Q02804,Q06497,0
Q02804,P32573,0
Q02804,P13711,0
Q02804,P36168,0
Q02804,P28795,0
Q02804,P36168,0
Q02804,P32573,0
P38817,Q12524,0
P38817,P38292,0
P38817,Q04370,0
P38817,Q04370,0
P38817,Q03694,0
P38817,P29340,0
P38817,Q03824,0
P38817,P32800,0
P38817,P46983,0
P38817,P32796,0
Q08144,P23542,0
Q08144,P27796,0
Q08144,P28795,0
Q08144,P39718,0
Q08144,P39108,0
Q08144,P13711,0
Q08144,P53184,0
Q08144,P35056,0
Q08144,Q06497,0
Q08144,P24004,0
P32319,P53248,0
P32319,P13711,0
P32319,P46983,0
P32319,P28795,0
P32319,Q03370,0
P32319,Q06169,0
P32319,P53112,0
P32319,Q08215,0
P32319,P32573,0
P32319,P36168,0
Q06815,P41903,0
Q06815,Q03824,0
Q06815,Q03694,0
Q06815,P27796,0
Q06815,Q12405,0
Q06815,P33760,0
Q06815,P50091,0
Q06815,P24004,0
Q06815,Q06169,0
Q06815,Q06169,0
P13134,Q06169,0
P13134,Q07418,0
P13134,P53248,0
P13134,Q03370,0
P13134,Q07418,0
P13134,P50091,0
P13134,P33760,0
P13134,P36168,0
P13134,Q03694,0
P13134,P46983,0
Q12071,P46983,0
Q12071,P34230,0
Q12071,P35056,0
Q12071,P32573,0
Q12071,Q03694,0
Q12071,P35056,0
Q12071,P39108,0
Q12071,Q02969,0
Q12071,P25584,0
Q12071,P53248,0
P39904,Q12405,0
P39904,P53248,0
P39904,P23542,0
P39904,P53184,0
P39904,P27796,0
P39904,P33760,0
P39904,P41909,0
P39904,Q03824,0
P39904,Q08215,0
P39904,Q04370,0
Q05919,Q03694,0
Q05919,Q06497,0
Q05919,Q03824,0
Q05919,Q05871,0
Q05919,P33760,0
Q05919,Q12524,0
Q05919,P32800,0
Q05919,Q12524,0
Q05919,Q05871,0
Q05919,P39718,0
P47061,P32800,0
P47061,P41909,0
P47061,Q08215,0
P47061,P33760,0
P47061,P25584,0
P47061,P53184,0
P47061,P36168,0
P47061,P34230,0
P47061,P38855,0
P47061,Q12405,0
P38995,P28795,0
P38995,Q06169,0
P38995,P80667,0
P38995,P39718,0
P38995,Q02969,0
P38995,Q12527,0
P38995,Q05568,0
P38995,P23542,0
P38995,Q07418,0
P38995,P53248,0
P22219,P38855,0
P22219,P38137,0
P22219,Q07418,0
P22219,Q08215,0
P22219,P50091,0
P22219,P40155,0
P22219,P33760,0
P22219,P35056,0
P22219,Q12527,0
P22219,P32800,0
Q03322,P41903,0
Q03322,P32800,0
Q03322,P34230,0
Q03322,P39108,0
Q03322,P50091,0
Q03322,P38137,0
Q03322,Q08215,0
Q03322,Q03370,0
Q03322,P29340,0
Q03322,P25584,0
P38745,Q05871,0
P38745,P32796,0
P38745,P29340,0
P38745,Q03824,0
P38745,P53248,0
P38745,P53184,0
P38745,Q12524,0
P38745,Q06169,0
P38745,Q03824,0
P38745,Q04370,0
Q08754,P41909,0
Q08754,P32800,0
Q08754,P50091,0
Q08754,Q03694,0
Q08754,P53184,0
Q08754,P24004,0
Q08754,Q07418,0
Q08754,P25584,0
Q08754,P32796,0
Q08754,P23542,0
P40955,P32800,0
P40955,P53112,0
P40955,P13711,0
P40955,P39108,0
P40955,Q03694,0
P40955,P38137,0
P40955,Q03824,0
P40955,P32796,0
P40955,Q12405,0
P40955,P25584,0
Q12114,P53184,0
Q12114,P53248,0
Q12114,P53248,0
Q12114,Q05568,0
Q12114,P32796,0
Q12114,Q07418,0
Q12114,P36168,0
Q12114,P32800,0
Q12114,P33760,0
Q12114,Q05568,0
P36116,P32800,0
P36116,P38292,0
P36116,Q12405,0
P36116,Q05871,0
P36116,Q05871,0
P36116,Q02969,0
P36116,P33760,0
P36116,Q06169,0
P36116,Q08215,0
P36116,P13711,0
P39524,Q05871,0
P39524,P29340,0
P39524,P25584,0
P39524,P29340,0
P39524,P32573,0
P39524,Q05871,0
P39524,P27796,0
P39524,Q12405,0
P39524,P32800,0
P39524,Q12527,0
P22543,Q12527,0
P22543,Q02969,0
P22543,Q06169,0
P22543,P27796,0
P22543,P46983,0
P22543,P32800,0
P22543,Q05871,0
P22543,Q05568,0
P22543,P32796,0
P22543,Q08215,0
Q07878,P41903,0
Q07878,Q05568,0
Q07878,P32796,0
Q07878,Q03370,0
Q07878,P34230,0
Q07878,P46983,0
Q07878,P41909,0
Q07878,P28795,0
Q07878,P29340,0
Q07878,Q12462,0
P32613,P39718,0
P32613,P27796,0
P32613,P32800,0
P32613,P25584,0
P32613,P39718,0
P32613,P29340,0
P32613,P35056,0
P32613,P38292,0
P32613,P41909,0
P32613,P36168,0
P39702,Q12527,0
P39702,P53184,0
P39702,Q12527,0
P39702,P38855,0
P39702,Q03694,0
P39702,P38292,0
P39702,P13711,0
P39702,P80667,0
P39702,Q06169,0
P39702,P33760,0
Q06385,Q06497,0
Q06385,P34230,0
Q06385,P23542,0
Q06385,P53112,0
Q06385,P41909,0
Q06385,Q06497,0
Q06385,Q05568,0
Q06385,Q06497,0
Q06385,P41909,0
Q06385,P32800,0
P36107,P53248,0
P36107,Q08215,0
P36107,P34230,0
P36107,P39718,0
P36107,Q04370,0
P36107,Q03694,0
P36107,P23542,0
P36107,P53248,0
P36107,Q12462,0
P36107,Q03824,0
Q08484,P41909,0
Q08484,P29340,0
Q08484,P53248,0
Q08484,Q06497,0
Q08484,P28795,0
Q08484,Q12527,0
Q08484,P13711,0
Q08484,P39108,0
Q08484,P33760,0
Q08484,P41903,0
Q03630,Q12462,0
Q03630,P53184,0
Q03630,P38292,0
Q03630,Q07418,0
Q03630,P32796,0
Q03630,P39108,0
Q03630,P35056,0
Q03630,P80667,0
Q03630,Q12405,0
Q03630,Q03370,0
P38334,P80667,0
P38334,Q12527,0
P38334,Q06169,0
P38334,P29340,0
P38334,P36168,0
P38334,P29340,0
P38334,P36168,0
P38334,Q02969,0
P38334,Q06169,0
P38334,P38137,0
P36149,P32573,0
P36149,Q06169,0
P36149,P39108,0
P36149,P46983,0
P36149,Q08215,0
P36149,Q05568,0
P36149,P34230,0
P36149,P41903,0
P36149,Q06497,0
P36149,P28795,0
Q03784,P80667,0
Q03784,P53184,0
Q03784,Q07418,0
Q03784,Q02969,0
Q03784,Q05568,0
Q03784,Q12462,0
Q03784,P40155,0
Q03784,P24004,0
Q03784,P32573,0
Q03784,P32796,0
Q99394,P38855,0
Q99394,P41909,0
Q99394,P25584,0
Q99394,P32800,0
Q99394,Q06497,0
Q99394,Q03694,0
Q99394,P25584,0
Q99394,P24004,0
Q99394,P32573,0
Q99394,Q06497,0
Q03337,P53112,0
Q03337,P35056,0
Q03337,P38137,0
Q03337,Q06169,0
Q03337,P80667,0
Q03337,P39718,0
Q03337,P28795,0
Q03337,P25584,0
Q03337,P36168,0
Q03337,P50091,0
Q08280,Q12462,0
Q08280,P36168,0
Q08280,Q04370,0
Q08280,Q05568,0
Q08280,Q05568,0
Q08280,Q04370,0
Q08280,P25584,0
Q08280,P46983,0
Q08280,Q07418,0
Q08280,P41903,0
P47124,P24004,0
P47124,Q07418,0
P47124,Q03694,0
P47124,Q06497,0
P47124,P46983,0
P47124,P40155,0
P47124,Q05568,0
P47124,P39108,0
P47124,Q03824,0
P47124,P41903,0
P46985,Q07418,0
P46985,Q07418,0
P46985,P38292,0
P46985,Q03824,0
P46985,Q12462,0
P46985,P24004,0
P46985,P38292,0
P46985,P39108,0
P46985,P53248,0
P46985,Q12462,0
P46982,P32800,0
P46982,Q05871,0
P46982,Q05871,0
P46982,Q12527,0
P46982,Q08215,0
P46982,Q03694,0
P46982,Q07418,0
P46982,P36168,0
P46982,P38855,0
P46982,Q06497,0
Q04183,Q06497,0
Q04183,P32800,0
Q04183,P53248,0
Q04183,Q05568,0
Q04183,P24004,0
Q04183,P32800,0
Q04183,Q12524,0
Q04183,Q04370,0
Q04183,P38137,0
Q04183,P25584,0
P26725,P34230,0
P26725,P32796,0
P26725,P53248,0
P26725,Q05871,0
P26725,P39718,0
P26725,P53248,0
P26725,Q12527,0
P26725,P27796,0
P26725,Q12524,0
P26725,Q12462,0
P43555,Q12527,0
P43555,Q06169,0
P43555,P27796,0
P43555,Q06169,0
P43555,P38137,0
P43555,Q03370,0
P43555,P28795,0
P43555,P13711,0
P43555,P24004,0
P43555,Q06497,0
P24280,P53248,0
P24280,Q02969,0
P24280,P27796,0
P24280,Q07418,0
P24280,P50091,0
P24280,P32796,0
P24280,Q04370,0
P24280,P39718,0
P24280,P41903,0
P24280,P24004,0
P40107,P32796,0
P40107,P39718,0
P40107,Q03694,0
P40107,P39108,0
P40107,P50091,0
P40107,P29340,0
P40107,P39718,0
P40107,P36168,0
P40107,Q05871,0
P40107,P23542,0
P41544,P53248,0
P41544,P46983,0
P41544,Q12462,0
P41544,Q12405,0
P41544,P29340,0
P41544,P46983,0
P41544,P41909,0
P41544,Q12405,0
P41544,P38137,0
P41544,Q12405,0
Q12067,P32573,0
Q12067,P53184,0
Q12067,P53112,0
Q12067,P38292,0
Q12067,P39108,0
Q12067,P36168,0
Q12067,Q03694,0
Q12067,P39718,0
Q12067,P46983,0
Q12067,P46983,0
P13586,P41909,0
P13586,P34230,0
P13586,P34230,0
P13586,P39108,0
P13586,P80667,0
P13586,Q12405,0
P13586,Q12527,0
P13586,Q06497,0
P13586,P28795,0
P13586,Q06169,0
P22804,Q06169,0
P22804,Q12524,0
P22804,Q02969,0
P22804,P32573,0
P22804,Q06169,0
P22804,P29340,0
P22804,P53112,0
P22804,P50091,0
P22804,P38292,0
P22804,P13711,0
P25385,Q03370,0
P25385,P41903,0
P25385,Q03824,0
P25385,P28795,0
P25385,P50091,0
P25385,Q05568,0
P25385,P35056,0
P25385,Q02969,0
P25385,P28795,0
P25385,Q12524,0
Q12096,P38292,0
Q12096,Q04370,0
Q12096,Q02969,0
Q12096,P36168,0
Q12096,Q05568,0
Q12096,P36168,0
Q12096,P34230,0
Q12096,P46983,0
Q12096,P41903,0
Q12096,P28795,0
P40549,Q03370,0
P40549,P24004,0
P40549,P53184,0
P40549,Q12524,0
P40549,P39718,0
P40549,P32796,0
P40549,P53112,0
P40549,P39718,0
P40549,Q08215,0
P40549,P39108,0
P39106,P32800,0
P39106,Q12527,0
P39106,P25584,0
P39106,P32800,0
P39106,P38855,0
P39106,P25584,0
P39106,P35056,0
P39106,Q06169,0
P39106,P39718,0
P39106,Q12462,0
P37020,Q12527,0
P37020,P38137,0
P37020,Q12524,0
P37020,P41903,0
P37020,Q03370,0
P37020,P23542,0
P37020,P50091,0
P37020,P32796,0
P37020,P36168,0
P37020,P33760,0
P38555,P53248,0
P38555,P36168,0
P38555,P32800,0
P38555,P38855,0
P38555,P38137,0
P38555,Q07418,0
P38555,Q08215,0
P38555,P46983,0
P38555,P53184,0
P38555,P53112,0
P32621,Q12462,0
P32621,P53184,0
P32621,Q07418,0
P32621,Q03370,0
P32621,P53248,0
P32621,Q05871,0
P32621,P32796,0
P32621,P34230,0
P32621,P50091,0
P32621,P34230,0
P43682,P38855,0
P43682,P80667,0
P43682,P23542,0
P43682,Q12527,0
P43682,Q05568,0
P43682,P41903,0
P43682,Q06497,0
P43682,Q12527,0
P43682,P40155,0
P43682,P38137,0
P53093,P32800,0
P53093,P33760,0
P53093,P39108,0
P53093,Q03824,0
P53093,Q08215,0
P53093,Q06497,0
P53093,Q02969,0
P53093,Q03824,0
P53093,P25584,0
P53093,P25584,0
P38069,P28795,0
P38069,P41903,0
P38069,P23542,0
P38069,P40155,0
P38069,P23542,0
P38069,P39718,0
P38069,P34230,0
P38069,P39108,0
P38069,Q07418,0
P38069,P24004,0
P38962,P32800,0
P38962,P39108,0
P38962,P53248,0
P38962,P80667,0
P38962,P32796,0
P38962,Q05568,0
P38962,Q07418,0
P38962,P53112,0
P38962,P38855,0
P38962,P80667,0
P38736,P25584,0
P38736,P25584,0
P38736,Q07418,0
P38736,P35056,0
P38736,P35056,0
P38736,P41903,0
P38736,P32800,0
P38736,P29340,0
P38736,Q12524,0
P38736,P38292,0
P36029,Q05568,0
P36029,P38137,0
P36029,Q05568,0
P36029,P28795,0
P36029,Q05871,0
P36029,P33760,0
P36029,Q12524,0
P36029,Q06169,0
P36029,P80667,0
P36029,P41903,0
Q12270,Q04370,0
Q12270,P24004,0
Q12270,P41903,0
Q12270,P27796,0
Q12270,Q05871,0
Q12270,Q12462,0
Q12270,Q12405,0
Q12270,P53184,0
Q12270,P46983,0
Q12270,P29340,0
Q03697,P50091,0
Q03697,Q04370,0
Q03697,P34230,0
Q03697,P41909,0
Q03697,Q03824,0
Q03697,P46983,0
Q03697,P50091,0
Q03697,P38137,0
Q03697,P36168,0
Q03697,P39718,0
P53633,P38855,0
P53633,P53184,0
P53633,P33760,0
P53633,Q03370,0
P53633,P53184,0
P53633,P41903,0
P53633,Q12405,0
P53633,P33760,0
P53633,P33760,0
P53633,Q12524,0
Q04396,P53112,0
Q04396,Q12524,0
Q04396,Q03824,0
Q04396,Q08215,0
Q04396,P38855,0
Q04396,Q04370,0
Q04396,P25584,0
Q04396,P36168,0
Q04396,P40155,0
Q04396,P41903,0
Q12239,P38855,0
Q12239,Q06169,0
Q12239,P32573,0
