Q9UKA4 P10644
Q13501 P54725
Q92973 P09132
Q13501 P41743
O95747 P36897
Q13485 Q8IZD4
P03372 Q13885
P48730 P04637
Q12888 P62805
P41180 Q9NV58
P32241 P63096
Q9HAP6 Q9UQB8
O43708 P48637
O75334 Q8ND30
P51692 Q13287
O14795 Q9UNE2
Q16610 P23142
P42680 P48426
Q16637 Q96HA8
P48736 Q13480
Q9UI14 P20336
P50570 Q6FIF0
Q13555 O60266
O60383 Q99417
Q9UBY5 P04899
Q12874 Q15459
P30101 Q96HE7
Q13769 P07333
P06239 P48023
P48023 O43586
O95273 P24385
Q4LDE5 O95405
P84022 Q14213
Q9UJ70 O95777
Q9Y618 P62258
P08651 Q96J77
P23582 P17342
Q96RU7 Q7L5N1
P10114 P04049
Q7KZF4 P11309
O60282 O95295
Q13526 P68400
Q9NQ94 O14787
Q08209 P53805
P11309 Q14980
Q8NHW3 Q13562
Q9BX70 P11387
O60383 P27037
Q6QNY1 Q9NUP1
Q8TF65 Q9NPG1
P52566 P15311
P43403 Q13885
Q01780 O94842
Q6EEV6 P30101
Q10570 P48634
Q16799 Q07817
Q14974 Q12772
P20273 Q13094
P62258 O94875
P01135 P04626
Q9Y616 P51617
Q13136 P10586
Q9UHV2 Q9P2K6
P29972 O95967
Q9HAU4 Q9NWM3
Q9UHF0 P29371
Q99972 P30613
O15116 O43776
Q93038 O43508
P31749 P49815
O14964 Q13596
P38432 Q9Y4C2
Q9HCU9 Q5T3J3
P27701 P28067
P56524 Q06413
Q15019 Q14141
P78543 P17482
P05556 P10809
Q15796 P12755
P50616 Q99717
Q96CS7 Q6VMQ6
P05164 P00450
Q96LW7 O95999
Q15102 Q9Y3C7
Q96G23 P07307
Q9P2R6 Q5JSZ5
Q8N137 Q99698
Q15118 P08559
Q15181 Q13432
Q7Z3T8 O60784
Q9Y5K6 P06729
Q9UPY6 P60709
Q02818 P08754
Q6W2J9 Q96A23
Q12929 Q9BYC9
Q8N6T3 P24390
P51693 Q13765
P06400 P14373
O96017 Q01094
P0CG47 Q9BXW9
P48730 O95295
Q99828 P60763
P25791 P42224
P49023 Q05209
Q9NX09 Q5T3J3
Q99704 P29350
P20151 P01023
Q92484 O60477
O94759 Q9Y210
Q01831 P19447
O60895 P10997
P43364 O14548
Q8IYU8 P02686
P15538 P19099
O75496 P28358
P05771 P06400
P30304 P39880
Q07889 P46108
Q02156 O75689
P48061 P08253
P24158 Q04206
Q5JY77 P41594
P62258 P49796
Q2TAL8 Q6VMQ6
O60674 P07332
Q8TF71 Q9H0H5
Q66K89 Q96KQ7
O14974 P61586
Q08170 Q99590
O14980 P50548
Q03135 P08138
P40238 Q06124
Q9BTU6 P08962
Q9Y620 Q9H8Y8
P23469 P28482
Q9BRR9 O15198
P20618 Q9Y244
Q07954 P08311
Q9GZU7 Q99618
Q9NRR5 Q96IX5
P28482 P49795
P05386 P56134
Q92793 P17480
Q9HBX9 P04808
Q15464 P43403
Q9HAU4 O15105
Q9BW71 Q16695
Q9NYV6 Q9H9Y6
Q12933 P26842
Q13368 Q502X0
Q9NPB3 Q13555
Q9UJX4 P36897
O60603 P09429
P22087 Q99558
P63261 Q9Y281
Q6EEV6 Q15181
P63244 P08069
Q92844 Q12933
Q09472 Q99626
P29323 P20936
P54368 P11926
P08133 P55327
P84243 Q9Y5B9
Q8TC92 P49888
P62879 O60262
Q5TD97 Q15797
Q13569 P05412
P17612 Q15256
P61962 Q9Y463
P17676 P49715
P14780 P02452
Q96F10 P36897
P48681 Q15078
Q9UK45 Q9Y4Y9
P46091 P63096
Q9H0D6 P68104
P78317 P17096
Q9NY61 Q13535
Q9UIF7 P27695
Q13136 Q9UPW5
P61981 P06576
P46108 Q7L190
Q96ME1 Q9BQ66
Q8N668 P98170
P09958 P10163
P35625 P14780
P27361 P05787
Q9HAZ1 Q16082
Q14344 P36897
P35900 Q15834
Q15185 P08235
P17480 P20248
Q9NZ81 Q9BQ66
Q9H772 P12643
O14578 Q9NRI5
Q8N1S5 Q96D05
O43639 Q16630
P56945 Q8N5H7
P19012 Q8IYI6
P28749 Q9BUH8
Q99616 P51681
O14777 Q9Y6D9
P43235 P29508
P16333 P48023
P39748 P26641
Q9HD36 Q16611
Q9UBU7 Q13416
P28069 P14921
Q13523 Q9Y2Y9
P22735 P21741
O75787 P00797
P46527 Q00526
Q03113 O95977
Q9UM47 Q06330
P41220 P17252
O43390 Q16637
P40763 Q14765
Q92558 P46108
O43924 P51153
P06858 Q9Y383
P37275 Q09472
P68104 P04278
Q99614 P04899
Q16594 Q6P1X5
P36542 P00533
Q13501 P42261
Q86X55 Q09472
P04637 P23511
P51668 Q9HCM9
P20265 P20226
P09619 P00533
Q9NYN1 P36897
O60244 Q9BZF9
O14744 P52333
P12757 Q4LDE5
P21860 P21333
O14948 P19484
P27986 P03372
P30086 Q9BTT4
Q92878 Q6NUQ1
P11473 O43593
P05386 P21673
Q8TEQ6 Q16637
O95059 Q969H6
O75369 P07359
O15492 P63096
Q9ULV0 P62491
P35227 Q99496
P15822 P54253
Q14203 P42574
P61289 Q7Z3B3
P30040 Q9NRR5
Q13485 Q01082
Q05516 Q9NPJ4
P24928 Q16587
P52434 P53803
Q9Y6K8 Q7Z4K8
Q14520 P29400
P98082 Q9UM54
Q93034 P36897
P29966 P0DP25
O43586 P42768
P20264 P35716
P07996 Q13751
Q16611 P10415
P21673 Q96F10
O43711 O00470
O43261 Q9GZT6
Q15599 Q01814
P12980 P15923
P31749 O14920
P07942 P22303
Q99972 P02792
Q9P2R6 Q15654
P48039 P04899
O94972 Q13114
Q92597 P00338
P28328 Q04724
P38432 Q9P2G9
P17600 P08670
Q13765 P20226
O00141 O43524
P25942 P27986
Q05586 Q05193
P09651 P46778
Q01844 Q15906
Q05655 Q09472
Q9Y5X4 Q12788
P01225 P0DN86
Q9NX74 P07814
Q6S5L8 P62993
O15539 P08754
Q99638 O60921
P40763 Q14289
O96017 P22897
P63010 P49407
O75369 Q9HAU4
Q13332 Q9BVJ6
Q99717 P09012
O75145 Q8ND30
Q7Z6B0 Q9UJY4
P10828 Q9Y618
O60224 Q16665
P25063 P16109
P08754 P50052
B2RTY4 P0CAP2
Q9H444 Q8WUM4
Q9BQ66 Q6UY14
Q9NRW4 P45983
Q9HDC9 P58215
O00311 P38936
P54762 P62993
Q99750 O60269
Q969P0 P27701
Q15464 Q12929
Q13765 Q5T3J3
Q9NY46 Q07954
Q7Z478 Q96BT3
O95622 P17252
O95238 P10275
P46779 O95793
Q8N1C3 O95166
Q03013 Q13432
Q6IA86 P40763
P16473 P22888
Q9UMX0 P25686
P61981 O14618
P39687 P54253
Q96MR6 P01100
P24941 P49715
Q9UIV1 P24941
P35968 P17948
Q06124 P32927
P62979 Q9HCE7
P56975 Q15303
O15235 Q13432
Q06124 Q01362
Q8TAI7 P31749
Q8N806 Q9NRR5
Q13368 Q99250
Q92834 Q9UBX3
P16157 P16070
Q9UMX0 Q9NPQ8
Q96RT1 Q9UQ13
O14908 P11166
P14373 Q9H2F5
P35222 P22223
P00533 Q02750
P49796 P98172
P81277 P49683
P28360 Q04724
Q05516 P15976
Q15637 Q92841
O75056 P21246
P01303 P32245
Q9BZL4 Q14005
Q99547 Q9Y5X1
P27701 P13612
P11831 P52952
Q01113 P23458
P24928 P35637
P08514 P04275
P36507 P28482
Q9GZR7 Q14181
O00231 Q9GZT6
Q6ZMK1 P17931
P46934 Q02543
O14737 Q5T3J3
Q99816 P04637
P17612 P06239
P17612 Q92736
P35568 P16591
Q9Y6H3 P12956
P06858 Q9H1I8
P62993 P22681
P21246 Q96NT1
Q14686 Q09472
P05771 Q9UQ80
Q9BQY4 Q9BTL3
Q9UKT7 P63208
Q8NHY2 P04637
Q8N2W9 P12268
Q9NPB9 P80075
P19784 P07910
Q5TCQ9 Q92823
Q969T4 O15111
Q9NQS1 Q07817
Q9Y223 Q05516
Q9UL45 Q9NUP1
Q9UHJ3 P78364
O14745 Q9UL62
O75936 Q12988
P17252 P35368
Q96QT4 P04083
Q96D98 Q13547
Q01844 P54652
P00734 P02671
P04150 P27797
Q13203 Q14324
P51959 P04637
P34947 O76070
O14832 O75674
Q8N436 O15198
Q14191 P16104
Q8TDC3 P30305
Q05086 P04637
Q9BRA2 P01185
O43561 Q08881
Q13485 Q99805
Q9Y6H8 P17302
Q05586 P19022
P35908 P84022
Q13002 P35222
P51532 Q92922
P20226 P17535
Q8N474 O60353
Q9BUZ4 P63279
Q15365 P84103
P10275 Q12778
O94992 O60563
P17612 P11168
Q12955 P27986
Q9P2W1 Q92731
Q9NYN1 P84022
P62820 Q16658
Q06124 P27361
O94875 P18206
P62070 P18031
P68400 P17677
P31749 Q13485
Q16625 P68133
P54296 Q8WZ42
Q9Y6X1 P61619
Q09472 Q13516
Q96B26 Q9Y2L1
Q9P286 Q9BRK4
Q13642 Q5T1R4
P22607 P11487
O60481 P10071
Q13643 Q9BTD8
Q99665 Q14765
P20151 Q02383
Q9Y239 P55211
P06400 Q02363
Q16612 Q96ID5
Q13330 P03372
P19525 Q15723
P25685 P16278
P35869 Q13620
Q96RL1 Q15406
Q9Y2U5 Q99683
Q9H427 P27348
Q9BV79 P19793
P16989 P25208
P35869 Q15596
O75582 P16220
Q13885 P42858
P05937 Q9NQA5
Q5JVS0 P04637
P52298 P52597
Q12923 P25445
P84022 Q9Y692
P04049 P15056
Q99972 P06732
Q13315 P50542
Q9UBW7 Q8TAD8
Q16539 P05783
P02647 P04114
P08697 P59665
P54253 Q8N196
Q9Y3C7 Q13310
Q8N2W9 Q14974
P78344 Q14152
P12757 P12755
P25963 P62837
Q13535 O43324
O95754 O60462
P51946 P33993
Q9BQY4 Q8NEK8
O14802 Q9NVU0
P14314 P41220
Q02548 Q92793
O76081 P19086
P19338 P12544
Q04771 Q969T4
O14777 Q13257
Q14789 Q9UEU0
P07996 P27797
Q9UBS5 P63104
P09471 P63096
Q12923 P25054
P57060 Q9UMR2
Q8WYK2 Q92793
Q8N6I1 Q13485
Q99959 Q02413
Q8TEL6 Q15628
O15350 P45983
Q05516 Q9C0J8
P42680 P16471
Q9Y613 P68133
P54259 A7E2V4
P63244 P23458
P03886 Q16762
O00238 Q9NW38
O14713 P05556
P06239 P16070
O00231 Q05516
P60033 O14817
Q16254 P06400
Q9Y2H0 O15399
Q9HCB6 P05067
P36406 P55040
Q12968 P01100
P49841 P05067
O75909 Q8N6Y0
Q08211 P07910
P10321 P27797
P27448 Q9H8H0
Q15796 Q8WVM7
Q09472 P40763
P28482 Q13322
P25440 Q8N257
Q9Y6N8 Q7L5N1
Q92569 P35568
P29597 P29350
O14901 P28482
P36957 P68371
Q9BXY8 P47874
P60510 P19838
O43707 Q13555
P35606 Q02156
Q99607 Q9UKT5
O15205 Q9Y5A7
Q05586 Q00839
P08253 P12111
P59780 Q92572
P98164 P01308
Q16559 P25791
O76064 Q969T4
Q92743 P20674
Q13094 P08631
P57073 Q13285
Q9C0D5 Q86YM7
P08567 Q14642
Q9NQ87 Q9H422
O43261 Q7L5N1
O14817 P05556
Q9UNE2 Q15942
Q8IZ57 P00995
Q92793 P09629
P15927 Q9P2H0
P48058 Q9NRD5
P08574 P99999
Q92793 P28360
P30304 P62258
P61981 P19532
Q96EV8 Q9Y4J8
P59998 Q9BPX5
P03372 Q14192
P49368 P40337
Q8NC51 Q9UBT2
Q9UNE2 O95716
P53365 P61204
O15514 P53803
P10144 P42263
Q15599 Q01970
Q8WXI9 Q92831
Q99708 P25791
Q9UKV3 Q9BSF8
Q15375 P52797
Q9Y217 Q96QG7
P21810 P04054
P13010 P35548
P49759 P61981
Q9NRA8 Q96R06
Q8TEL6 O15111
Q92481 Q93077
P04437 P20963
P68104 P17028
P13645 P84022
Q9NY61 Q96IZ0
Q00534 P36897
P05386 O60925
O60237 Q14005
P22234 Q8TAP6
O75534 Q14103
P51668 O15151
Q9Y5K3 P68133
P37173 P16070
Q13177 Q8TEJ3
P30153 Q9NP72
Q6EEV6 Q9Y3F4
Q99583 P61244
Q9ULB1 O15018
P56945 P07332
Q99814 P27540
P06400 Q00534
Q8IWZ3 P0CAP2
P42574 P10809
Q92793 P48443
Q9UBP4 Q9NRR5
P43364 Q8N715
P23471 P21741
P06213 P22681
Q13137 Q96S44
O00471 P62330
Q12959 P35609
O15427 P35613
P52434 P36954
Q15109 P23297
P08069 Q9H4M9
O14763 Q9UBN6
Q9NQC3 P10415
O95631 P43146
P07384 Q8NF91
P52789 Q13105
O60381 P06400
P26006 P16035
O75146 Q00610
P24385 P35222
P36575 P23945
P36897 Q12931
Q8TCX5 Q9HAT0
Q92793 Q01892
Q9HC98 O00141
P25054 P49841
Q05586 O14578
P18146 P08047
P45984 P35568
P14780 P29323
P05386 O95563
O00238 Q9H4E5
Q15329 Q08999
P17612 P10644
Q9UER7 P20591
Q07065 Q9H1I8
Q7Z7C8 Q12962
Q9UQ90 Q5T3J3
P38432 Q8TAP6
Q14831 P0DP25
Q9NQT5 Q9NPD3
P12757 Q13569
Q9P021 Q12959
P48304 P46379
Q02156 P04049
Q9Y265 P00747
P10124 P02768
Q9P2M7 P61981
Q12860 P24821
P32004 P15311
Q9UHD8 P61026
Q05655 Q16658
P31947 Q14258
Q14680 P20700
Q8IYB3 P35637
O14813 Q99941
Q9BVJ6 O43261
Q8TEL6 Q9Y6K9
Q14031 P13725
Q9HCN6 P07948
Q99608 Q01094
Q9BST9 Q9HD26
Q99081 O95084
Q11203 O15127
Q96RK0 Q969Y2
Q99750 Q14213
P05109 Q14690
Q15596 P10828
Q96SB4 Q99590
Q15256 P28482
Q9Y689 P52292
Q92831 Q13772
Q00532 Q9HCE7
P18827 P10145
P24928 Q16637
Q14147 Q14181
Q9NRG0 Q9NRF9
Q12962 P24928
P09544 P56704
O15085 Q03113
Q9NZJ5 O14920
O00231 Q9Y3C7
Q5T8A7 O75691
P33402 Q92796
Q12967 P49407
P21673 Q9NUT2
P07996 P02671
P41235 Q9UBK2
Q99717 P69892
Q16587 Q13263
P41220 Q5JWF2
Q9H4L4 Q09472
Q9UMX0 P42345
P35813 P27986
Q13023 P13861
O75173 P16112
Q92796 Q13224
Q00535 Q05193
Q8TEW0 Q15796
P05129 P28329
O00628 P50542
P15927 P05386
O75888 P34741
Q01201 Q00653
P10124 Q9NRR5
O15151 P04637
Q13765 Q9UKY1
Q13105 P18084
Q5JR98 P17813
Q9ULJ8 P41236
Q13114 Q99558
Q16864 Q9P2H0
Q8WTR2 P45984
Q15819 Q9Y3A3
O15111 P19438
O75052 P98164
Q8NEV9 Q6UWB1
P09669 P21246
Q92597 P17844
O60573 Q9Y4X5
P07858 O43291
Q13261 P31785
Q9BUH8 Q9H0I2
Q99836 Q9UGK3
O95628 P62837
P18206 P06396
P35568 P06748
P51636 P21728
Q9H307 P08727
Q12929 P05106
Q9ULB1 Q86SS6
Q04759 P26038
P16112 P08254
Q8WXI2 Q07157
P01569 P48551
Q7L5N1 P14174
Q6VY07 P05412
Q8IZH2 Q14839
P11912 P15391
Q92830 Q9Y6A5
P52757 P36897
P49286 O14654
Q9H4B7 P33981
Q9H814 O14980
Q5PRF9 P61981
P28482 Q07889
P43405 P22681
P60880 O75558
P08243 Q9NRL3
Q15796 Q96FJ0
P22459 P35609
Q13492 P42574
Q6KF10 Q99717
O95477 Q9HAP6
Q99741 P49736
Q96IZ0 Q05513
P10415 P49023
Q9ULB1 O43166
P03952 P00748
P18827 P08311
P06241 P10586
O95243 Q13158
P11836 P07948
Q9UQE7 Q92845
P40933 P14784
P31946 Q9H0H5
Q13873 Q13885
Q8IUC8 Q15477
P78337 P28069
P14598 Q15080
Q9NSC5 Q14643
Q9NRD5 P17252
O95365 Q02447
Q8WUM4 P54259
P57103 P62258
Q08945 Q99417
P24723 P06241
Q14157 O75051
Q04771 Q9GZS3
P17612 P49840
P49639 Q99750
Q9UM47 O15111
Q04637 Q9BUB5
Q13137 Q9Y4E5
P08519 P27824
P46940 P68133
Q03135 P06213
P54725 Q9NRR5
Q96KG7 Q5JTZ9
Q16288 P08138
P10451 Q9NUQ8
O43172 P36897
O14543 P06213
P49247 Q9GZT8
P33151 P14923
P27701 Q99075
P26717 P13747
P62310 Q01831
Q96Q15 P33151
Q13643 Q14192
Q9UBW8 P60228
P40189 P26441
Q14344 Q02156
Q9UHD8 Q15019
Q92636 P63244
Q96R06 O95295
O00194 Q96C24
P29375 P25791
Q92574 Q04917
P15927 Q7L5N1
Q8WXE9 P42566
P49137 P49815
P23921 P31350
P19838 P38398
Q9UBW8 Q9BT78
Q9UNS2 P05107
Q9Y6B7 Q9UPM8
P57087 Q07157
Q16513 P61586
Q9UL26 Q8NEU8
Q9BQG0 P12004
Q15303 O00459
Q9UHQ9 Q9NRR5
P0CG47 P04150
Q99615 Q9HCE7
Q15113 P02461
P06239 Q13588
P10276 O95257
Q8IV36 Q9BUH8
Q09472 P52292
O95999 Q15819
Q16526 P49674
Q16658 P68032
P42684 P08631
P40189 P29597
P78314 Q96B97
O60828 Q9Y3C7
Q92973 P35658
P55209 Q9BTV5
P0DPB3 P01100
Q9H0C5 Q9C035
P51693 Q99547
P07384 P01583
P10809 P05091
P0CG47 Q8TF42
P29972 Q99750
P49721 P53350
O15155 Q8N6Y0
P50281 Q07021
P63104 P00533
O60506 Q14103
P49910 Q86V42
Q9Y2Y4 Q00597
Q05516 Q8NHQ1
Q00534 P49736
Q5VVH5 P51617
Q9NZJ7 P49768
Q9NYJ8 P51617
Q8TD19 Q08945
Q8WUH2 P09917
P04637 Q15102
P17612 P25098
P23945 Q05516
P00533 P16070
Q9NX58 Q9UKY1
Q14686 Q92793
P55040 P31946
P32246 O43889
P21810 P01375
P30153 P06493
Q9NXF1 Q05209
P16410 Q15172
Q15120 P08559
Q8N6Q3 P04278
P43351 Q92889
P63165 P56524
Q13547 P06400
O14924 P36507
P31751 P23945
O94762 O43312
P23468 Q13332
P10243 P19338
P41134 P15923
P14174 Q9H8Y8
O00255 Q99717
P62314 Q16637
Q8IXI1 O95405
Q15102 Q5RL73
P17535 P28482
P54253 Q6UWE0
O43679 Q9NQ69
Q8IU60 Q9HAU5
P17252 Q9UQ80
Q92597 P13010
Q15833 P62316
Q15038 O15162
P46108 P17948
Q96B26 Q8IZH2
P53779 Q9UPT6
O75340 Q8NDC0
O95630 Q9BZF9
P68431 O43463
P30530 P31785
O95997 P04637
Q5RKV6 Q9NPD3
Q9NPQ8 P63096
Q12772 P08047
Q8N2W9 Q9H213
Q8TF01 Q9H307
Q13393 P61764
P38936 Q8IYF3
Q6H3X3 Q9BZM6
Q13045 P03372
O75817 P04792
P49023 P16581
O14662 Q15836
P61812 P36897
P43405 P0CG47
P10600 P17813
Q15797 P84022
P47900 P30542
P10275 P40189
P20963 P43403
Q99750 Q9H7H0
O60760 P52790
P00533 O60716
P19012 Q9P2A4
Q969H4 Q7Z569
Q02742 P05771
Q99941 O43462
Q9NQS3 Q8TEW0
P68400 Q01892
P08651 Q8WYQ9
P19793 Q9NRR5
P42680 P42768
O14910 O14936
Q86UP2 P60953
P08581 P42574
Q9Y624 P23467
Q9NSA0 O14745
Q9NXR1 P23258
Q16539 O43318
Q12933 P21333
P05412 P04150
P52824 P61586
P46108 P27986
P61981 P55060
O00629 P46063
Q6EEV6 P14866
P41222 P04278
Q9UMX0 Q9P2K6
O15162 Q9H0I2
O95866 P29350
P49802 P08754
Q16637 P62314
Q15542 Q10570
P23771 Q8WW38
O95985 P14678
O15379 Q9UHL9
Q9UM13 P84022
P33240 Q9P2H0
O14842 P50148
Q8IYF3 Q96GY3
Q15047 Q8N5U6
P63104 Q9UDY2
P11362 P19174
P35568 Q14449
Q5EG05 O43353
P61218 P62487
P24666 P29317
Q9BXP8 Q13485
Q9H6I2 P35222
O76094 P42574
P43220 P01275
Q969H4 O14733
P24534 P12081
Q9Y3E7 Q16270
Q13114 O95551
Q9UQE7 Q05195
Q92558 P07737
P00742 P00451
Q12933 Q6FIF0
O43752 O00161
P25205 P24928
P78364 O75496
Q86SG2 Q8WZ42
P51946 P04637
P55036 Q9UHD9
P31749 P35568
P43405 Q01362
P0CG47 Q99626
O00212 Q15796
Q66GS9 O15198
Q9UBQ5 Q99613
P32927 P07332
Q99547 P52888
O43615 Q99595
P06493 P49418
Q8IYM9 Q96RK0
P16284 P41240
P20339 P26374
Q7Z7L7 Q13617
Q8TEW6 P20936
P10721 O60674
P24394 P42226
P46379 Q09472
P04004 P15151
P48788 P60709
P53567 P49716
Q9BR39 P56539
O95405 P36897
P35716 P20265
P84243 O14646
P12544 P26583
P30153 P10809
O95219 P48357
Q969F8 Q15726
P04637 Q99547
Q9NPD3 Q13868
Q96NL6 Q9Y5Y9
P26012 P06756
Q9UJY4 Q9UMZ2
P49757 P05106
Q9Y3C5 Q13191
P16671 P05106
Q96SR6 Q13263
P51116 O95197
O75582 Q16695
Q96HB5 Q99750
P37198 Q13114
Q92831 Q09472
P35222 O14907
Q9NS56 P63165
Q14151 P03372
P11940 P63244
Q9BTV5 Q96I34
P06493 O95835
P21675 P05412
Q9UNE7 P0CG47
P63279 P04637
Q16531 Q92466
Q9BXA6 P08238
P05412 P35638
P19174 P25774
Q9C0K0 O43463
Q09472 P05549
P10276 Q9UKP3
Q99836 O43791
P14598 O75496
Q9BT78 P04637
Q4G0F5 Q96QK1
P0DP25 Q14832
P48436 Q14974
Q7Z465 P55789
Q8WUH2 P37023
P57078 Q05655
Q8TEU7 P62834
O15083 O75145
O15205 Q13257
Q9HD67 O15496
Q06124 Q14289
P35916 P08648
Q04637 Q14240
P60510 P30153
Q92851 P55212
Q9NRR5 P50454
Q13618 P62877
Q9BTW9 P36404
P50570 P51681
P17252 P31431
Q9HC77 P63104
O43559 P04629
P05129 P60953
P49703 P14314
Q13555 Q96NW7
Q99750 Q9BUY5
O00712 P22670
P31749 P98170
Q9ULH0 P46109
Q13319 Q00535
P27635 P62380
P60022 Q5UIP0
Q9NT62 Q9GZQ8
Q9NRF2 Q16620
Q9NZN8 O75175
Q16637 P10415
Q6TDP4 P68032
Q96A00 P48729
Q07889 Q8TE68
P06493 O95997
O14594 Q02246
Q14831 P0DPH8
Q14103 P63279
Q9Y6K8 Q9NRL3
Q6EEV6 P60891
P08581 P19174
Q13322 P07949
Q9UBW7 P26599
Q7Z6G3 Q9BU64
Q99062 P06239
Q09472 Q9H3D4
Q8N6I1 Q09472
P36575 O14733
Q9UJY4 Q00610
P51116 P35900
P27361 Q05513
Q5JVS0 Q9UGU5
Q9Y2U8 Q15797
P63241 P21980
P19784 P84090
P10124 O43765
Q92835 Q06124
P56945 Q15654
Q93062 Q8N4T4
O75694 Q53GS7
P02585 P48788
Q99933 P06400
P30153 P53041
Q92529 P05067
Q16695 P45973
Q10570 P49736
Q9UBC3 O43463
Q9BRP4 P62333
Q8N3Y1 Q14999
P53672 Q9P1Z2
O95696 Q9P2H0
Q6PI77 Q16537
P35244 P15927
Q08345 Q7L4P6
P53350 O94762
P11831 P28324
Q9Y6Y9 O60603
O95257 P57060
Q14061 Q5T3J3
P12956 Q96FF9
P16410 P42229
P53350 P30291
O15392 P11802
Q15672 P15172
Q15388 Q8NEY8
Q8IW41 P45984
O14980 P52594
Q9UHD8 Q14141
Q9UNE7 P51668
P05771 P25098
Q9HCY8 Q96FQ6
Q9Y3C5 P21580
P16333 P42768
O14737 P26641
P63104 Q13469
P25685 Q13217
Q9UGI8 Q9Y615
Q13137 Q53FD0
Q15797 P35711
P48730 P35222
Q9UMN6 P84022
Q9UBK2 Q96EB6
O15297 P46777
O60496 Q02763
Q96MP8 P62979
P08476 P27037
P01116 P49356
P07315 P02511
Q9NRP7 P08151
P48995 Q03135
O14965 Q9Y6A5
P33240 O95163
P26641 Q9NPF8
Q13432 Q9NXU5
P20823 P61457
P26367 O95343
P61981 Q9Y2X7
P43364 Q05516
P05107 P06734
P27487 Q07325
P00533 O14939
P16455 P68400
P30518 P32121
Q9UKX2 Q14289
Q9Y2D4 P11233
P12956 P46531
P13693 P68104
O00206 Q8N129
P38432 P51116
O43184 O95633
P10721 P05771
Q13162 Q06830
Q13526 P10636
Q09472 P20265
Q04724 P55774
P03956 P16070
P20226 P78317
O95999 Q9HAT8
Q9UHY1 P60763
O95248 O43463
P50750 P24928
Q13469 Q9BZS1
P52292 P04150
Q16543 Q9Y6K9
Q08397 Q9UBX5
O60318 Q9NPA8
P04920 P00918
P08138 P28482
P42574 Q4V328
O14653 P84077
Q99961 Q9H788
Q16558 A8K7I4
Q16891 O95295
P35579 P35580
Q9HAU4 P98082
P41252 P41250
Q9NR55 P18847
Q7L5N1 Q9UNS2
P42166 P02545
O14503 Q9C0J9
P54259 Q3KQU3
P27448 Q9H270
P63104 Q13885
P54646 O00763
Q96GG9 Q13571
Q6STE5 Q96RI1
Q14500 P11532
O95988 O14787
P02778 P13611
P49840 P49023
P11166 P27105
O75962 P61586
Q00403 P35998
P51512 Q15726
Q8WXE1 P33993
Q9Y3C5 Q15025
Q05516 P10276
P35240 P49023
P35900 Q53FD0
P00740 P08709
Q9Y4K3 P08138
O95059 O95707
P78314 Q9UKW4
O75155 O75175
P40189 P13725
Q9UBN4 O14745
Q04206 Q13526
P06241 P13591
P56537 P08559
P07858 P05019
Q9Y6K9 O15111
P15927 Q5RL73
P11532 Q13424
O14672 O00548
Q5RL73 O95257
Q9UHV9 P61758
Q15019 Q16623
P17535 P84022
P55058 P02652
P12757 P08572
Q9Y4H2 P24394
O60861 P68133
Q9UMX0 Q14469
Q15173 O15169
Q9UMF0 P49768
O43426 P29323
Q01844 Q96FJ2
P49757 Q16555
Q9NX52 Q15768
Q8TDJ6 P20336
Q96S96 Q02750
O95810 Q9H8W4
Q16514 Q6P1X5
O15381 P46777
P17081 Q15642
P06493 Q8TEM1
P19320 P05556
P15884 P13010
Q14722 P16389
O76070 P45983
P01112 Q07889
P68431 P83916
P13010 Q9BXJ9
Q9H0D6 P62310
P28482 P04150
Q8WWW8 P12931
Q07011 Q13114
Q96GM5 P05412
Q13526 Q13469
P43364 P30048
Q9H422 P10275
Q9H8W4 Q15834
Q9Y6R4 O15169
Q99584 P21579
Q00534 P30279
P17612 Q14643
P28715 P24928
Q13526 Q9NRR5
Q15642 P18545
Q9UHE5 P36897
Q6DJT9 P52292
P43034 P68400
P62316 P26641
O60496 Q96EK5
Q99436 Q9Y244
Q15080 P26038
P32780 P03372
Q14289 P21860
Q04844 P02708
Q96FA3 P51617
Q9UL26 Q9HAU4
P15559 P04637
O95059 P78345
P30101 P04439
P54259 Q6ZWJ1
P18564 P04004
Q9NR28 P36941
Q99698 P31946
Q6EEV6 O43396
P31749 Q9UKG1
P28289 P20929
Q13503 P10828
P16870 Q9BVJ6
P19438 O60674
P38570 P12830
P51955 Q9BV73
O60296 P47870
Q96B26 Q9NQT4
Q01718 P42127
P04233 P01903
P13631 Q15466
O60315 Q99717
Q08828 Q08462
P22459 P16389
P50591 O00300
Q7LBR1 Q9H9A5
O15392 P55211
Q15139 P45984
Q13257 P32927
O76064 Q96LR5
Q14031 P02751
P05090 P0CAP2
O60506 P11940
Q92585 Q04721
P49757 P05067
Q9UKY1 Q13838
P23469 P27361
P04629 Q96EY1
O76080 Q9Y6K9
P49454 Q02224
Q969H4 P04049
Q8N2H9 Q9Y4K3
P08294 Q9UBX5
Q9BY84 Q16539
Q92793 P10243
P35222 P49810
P38398 P07602
Q92831 P04637
O00499 P39880
P35968 P32927
Q8NAP8 Q7L590
Q8NG08 P09884
Q15306 P41182
P08631 P22681
O60869 Q13133
P16519 P10997
P51948 P09086
O75943 Q07864
O75293 P03372
O14836 Q9Y4K3
Q9NYF8 Q07817
P47897 O15198
P10828 P24385
P10644 P04439
P11831 Q01543
P56524 O60673
P49023 O75914
O75915 P43005
